chr	start	end	enhancer_class	n_abc_pairs	mean_delta_abc	mean_delta_unnorm	n_gained	n_lost
chr16	31570320	31571071	Activity_Lost	1	-0.01549	-0.165115	0	1
chr4	98546599	98547167	Activity_Lost	1	-0.013662	-0.060805	0	1
chr18	64791173	64791489	Activity_Lost	2	-0.0212145	-0.2151995	0	2
chr17	88400210	88400777	Activity_Lost	2	-0.022337	-0.457939	0	2
chr10	108868029	108868639	Activity_Lost	1	-0.012787	-0.062565	0	1
chr17	88421322	88421763	Activity_Lost	2	-0.010799	-0.248103	0	1
chr18	39039128	39039846	Activity_Lost	1	-0.025446	-0.025371	0	1
chr9	66733146	66733664	Activity_Lost	1	-0.028064	-0.342513	0	1
chr19	17214754	17215178	Activity_Lost	1	-0.008186	-0.080596	0	0
chr17	88401118	88401385	Activity_Lost	2	-0.0108815	-0.311845	0	1
chr16	33940220	33940643	Activity_Lost	2	-0.022421	-0.230986	0	2
chr4	3692233	3692423	Activity_Lost	1	-0.010063	-0.065744	0	1
chr14	105730841	105731003	Activity_Lost	6	-0.0146233333333333	-0.0761295	0	5
chr4	62515621	62515721	Activity_Lost	3	-0.0136756666666667	-0.212659333333333	0	3
chr8	57842982	57843382	Activity_Lost	3	-0.0242626666666667	-0.0240256666666667	0	3
chr18	64873433	64873800	Activity_Lost	1	-0.011652	-0.172302	0	1
chr4	142077924	142078137	Activity_Lost	1	-0.020469	-0.563475	0	1
chr11	99280073	99280281	Activity_Lost	1	-0.026	-0.406163	0	1
chr12	29533127	29533529	Activity_Lost	2	-0.0231885	-0.509107	0	2
chr9	75789940	75790247	Activity_Lost	1	-0.037123	-0.118042	0	1
chr8	57498920	57499544	Activity_Lost	3	-0.0143866666666667	-0.182897333333333	0	3
chr3	136994326	136995003	Activity_Lost	1	-0.010178	-0.072273	0	1
chr18	31316059	31316429	Activity_Lost	1	-0.010932	-0.229151	0	1
chr14	27237759	27238239	Activity_Lost	2	-0.0134895	-0.0754475	0	2
chr2	57960735	57961413	Activity_Lost	3	0.00454933333333333	-0.016895	1	2
chr18	64790018	64790388	Activity_Lost	1	-0.014512	-0.214083	0	1
chr11	3507194	3507805	Activity_Lost	3	-0.048478	-1.06271866666667	0	3
chr13	84065515	84065791	Activity_Lost	1	-0.011672	-0.269866	0	1
chr2	3739397	3740181	Activity_Lost	6	-0.0104646666666667	-0.150251166666667	0	2
chr4	82589450	82589899	Activity_Lost	4	-0.018375	-0.057385	0	4
chr4	62516150	62516353	Activity_Lost	8	-0.020550375	-0.291484375	1	7
chr4	62518634	62519007	Activity_Lost	9	-0.0324308888888889	-0.421914444444444	1	8
chr16	33704329	33704668	Activity_Lost	1	-0.005939	-0.161978	0	0
chr2	78036533	78036935	Activity_Lost	5	-0.0094386	-0.0176888	1	4
chr4	98619225	98619555	Activity_Lost	1	-0.015563	-0.071347	0	1
chr13	84758408	84758811	Activity_Lost	7	-0.0204537142857143	-0.550555	0	6
chr4	137041246	137041655	Activity_Lost	1	-0.041307	-0.656181	0	1
chr9	75430942	75431551	Activity_Lost	3	-0.0118163333333333	-0.125612666666667	0	2
chr2	136699851	136700192	Activity_Lost	1	-0.021835	-0.512987	0	1
