chr	Boundary	Gap_Score	TAD_Score1	TAD_Score2	Differential	Enriched_In	Type	robust_in_ctrl	robust_in_mut	robustness	shift_distance	shift_distance_kb
chr1	3175000	-1.5839432442555752	1.5366539354925877	1.887667505885412	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	3200000	-1.600679727381389	1.1979273687898255	1.5604027233274995	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	3500000	5.426507017385627	1.805857370066006	0.4488775765529409	Differential	Matrix 1	Complex	FALSE	FALSE	Neither	NA	NA
chr1	3675000	-9.205042398694046	-0.29759334813280103	1.9438596371161836	Differential	Matrix 2	Complex	FALSE	FALSE	Neither	NA	NA
chr1	3925000	-1.155327637007962	1.3299636584584729	1.5814251896361573	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	4350000	-0.6253187493060883	1.4413230009182467	1.5616679356820449	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	4750000	-1.3517081155125663	2.8926075129948328	3.157619414326386	Non-Differential	Matrix 2	Non-Differential	TRUE	TRUE	Both	NA	NA
chr1	4775000	-1.4356614777471337	3.037027520514157	3.3192686960972484	Non-Differential	Matrix 2	Non-Differential	TRUE	TRUE	Both	NA	NA
chr1	5150000	-0.8056857085064765	1.5457408533210544	1.7075976560002797	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	5825000	1.8098323524683344	1.7230880707450402	1.2460324426797371	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	6175000	-0.8049595135074413	2.8913355169344284	3.0236264887150166	Non-Differential	Matrix 2	Non-Differential	TRUE	TRUE	Both	NA	NA
chr1	6200000	0.5909326958777961	2.0737496589221296	1.8849798465936127	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	6475000	-0.9503881915477734	1.814867977277408	2.0059799719364344	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	6850000	1.200892506502608	1.599802485298731	1.2732881078281215	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	6875000	0.03674268240035017	4.9011459303014995	4.785177618323253	Non-Differential	Matrix 1	Non-Differential	TRUE	TRUE	Both	NA	NA
chr1	7225000	-0.46541491362452603	2.5143810877003907	2.572464947085933	Non-Differential	Matrix 2	Non-Differential	FALSE	TRUE	Mutant_only	NA	NA
chr1	7250000	0.9200215968419736	1.8843202685593337	1.6197861648202072	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	8800000	0.994213970578968	1.757138017598312	1.4773680798941722	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	9500000	0.8573606535367478	1.520314290642937	1.2789444094355256	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	9525000	-1.5927121860185858	3.935062708998632	4.235821025170246	Non-Differential	Matrix 2	Non-Differential	TRUE	TRUE	Both	NA	NA
chr1	9775000	1.9684522358018923	2.5568468320532696	2.0230684720728584	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	9800000	0.7195053296672217	1.9304239461511696	1.7135675505299697	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	9925000	1.0698934765094437	1.717894203258468	1.4206066726830828	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	10000000	2.2669865536758302	2.157899783715952	1.5603518161312366	Differential	Matrix 1	Strength Change	FALSE	FALSE	Neither	NA	NA
chr1	10025000	-1.8128267589884728	1.2741434814668524	1.6864627601916509	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	10250000	-0.2644784601986975	3.1091368615124333	3.105443800643961	Non-Differential	Matrix 2	Non-Differential	TRUE	TRUE	Both	NA	NA
chr1	11475000	-1.4214808931894127	1.1825436656902415	1.5018461491050945	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	11775000	0.7798716364979833	1.5781003365328294	1.354282405256482	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	12550000	-1.6933546217137083	1.2100543625200384	1.5947659988980871	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	12850000	-3.4315402919777696	1.6563591091005072	2.453348479973474	Differential	Matrix 2	Strength Change	FALSE	FALSE	Neither	NA	NA
chr1	13150000	0.060227436526608	1.6801272050063254	1.6288080541361474	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	13175000	-2.8038308532970535	1.174212362273629	1.8293267075329969	Differential	Matrix 2	Complex	FALSE	FALSE	Neither	NA	NA
chr1	13375000	-3.410525564087566	4.592207833589255	5.3199721981631365	Shifted	Matrix 2	Shifted	TRUE	TRUE	Both	1	0.001
chr1	13400000	2.5692952268089586	3.758290882512756	3.052388797301378	Shifted	Matrix 1	Shifted	TRUE	TRUE	Both	1	0.001
chr1	13675000	0.2300395062570109	1.796489064753761	1.701398625368714	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	13725000	-0.21501696487666536	1.6249314084352977	1.6416462143932244	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
