chr	Boundary	Gap_Score	TAD_Score1	TAD_Score2	Differential	Enriched_In	Type	robust_in_ctrl	robust_in_mut	robustness	shift_distance	shift_distance_kb	H3K27ac_overlap	H3K27me3_overlap	H3K4me1_overlap	H3K4me3_overlap	bivalent_overlap	CTCF_overlap	CTCF_motif_overlap	distance_to_tss	chromatin_state
chr1	3230000	0.577318417642496	1.5794604359081	1.38483463395012	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	428997	Poised_Enhancer
chr1	3350000	-1.81678434399823	1.62231168677911	2.20694059174796	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	308997	Poised_Enhancer
chr1	3500000	-1.13722076356978	1.67228721704292	2.03546302564232	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	158997	Poised_Enhancer
chr1	3670000	-2.69478978785433	2.03252475527994	2.90126873759474	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only	NA	NA	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	0	Active_Promoter
chr1	3680000	-3.16152520077057	1.61947032967289	2.64191158700281	Differential	Matrix 2	Strength Change	FALSE	FALSE	Neither	NA	NA	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	0	Active_Promoter
chr1	3830000	-2.95615737956075	1.0032484880103	1.96143195878584	Differential	Matrix 2	Complex	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	146001	CTCF_Site
chr1	3960000	-0.904470380232516	1.45902509645034	1.74732632444555	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	276001	Other
chr1	3970000	-0.0508793793123597	1.79204901691023	1.80104441710038	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	286001	Other
chr1	4080000	-1.20327385341023	1.22357296815414	1.61014859016364	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	316740	Other
chr1	4110000	-0.210372561605615	1.60751654769966	1.66921673731248	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	286740	Other
chr1	4120000	-0.493571965946018	1.38860511749749	1.54342970134402	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	276740	Other
chr1	4280000	-0.864961066948581	1.34956697513204	1.6254676815092	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	116740	CTCF_Site
chr1	4420000	0.107982521749812	2.16723874407237	2.12292959240359	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	0	CTCF_Site
chr1	4560000	4.47548900319403	4.09129133275174	2.61694891685228	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	50145	Poised_Enhancer
chr1	4750000	-2.15497143354094	1.34383493594565	2.03974188049502	Differential	Matrix 2	Complex	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	23238	Other
