loop_id	direction	loop_type	anchor	gene
loop_3362	up_in_mutant	Other-Other	anchor1_nearest_gene	69419
loop_3362	up_in_mutant	Other-Other	anchor2_nearest_gene	236193
loop_3909	up_in_mutant	Other-Other	anchor1_nearest_gene	216613
loop_3909	up_in_mutant	Other-Other	anchor2_nearest_gene	216613
loop_7340	up_in_mutant	Promoter-Active_Enhancer	anchor1_nearest_gene	78849
loop_7340	up_in_mutant	Promoter-Active_Enhancer	anchor2_nearest_gene	18536
loop_15623	down_in_mutant	Promoter-Active_Enhancer	anchor1_nearest_gene	17475
loop_15623	down_in_mutant	Promoter-Active_Enhancer	anchor2_nearest_gene	18028
loop_16094	up_in_mutant	Other-Other	anchor1_nearest_gene	14799
loop_16094	up_in_mutant	Other-Other	anchor2_nearest_gene	67726
loop_1298	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	23965
loop_1298	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	100039954
loop_40	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	378466
loop_40	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	378466
loop_16964	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	75996
loop_16964	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	109215
loop_51	down_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	58198
loop_51	down_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	54352
loop_11648	down_in_mutant	Other-Other	anchor1_nearest_gene	50913
loop_11648	down_in_mutant	Other-Other	anchor2_nearest_gene	20465
loop_849	down_in_mutant	Other-Other	anchor1_nearest_gene	27428
loop_849	down_in_mutant	Other-Other	anchor2_nearest_gene	12452
loop_9583	down_in_mutant	Other-Other	anchor1_nearest_gene	244813
loop_9583	down_in_mutant	Other-Other	anchor2_nearest_gene	387236
loop_2344	up_in_mutant	Poised_Enhancer-Other	anchor1_nearest_gene	319520
loop_2344	up_in_mutant	Poised_Enhancer-Other	anchor2_nearest_gene	67276
loop_2361	down_in_mutant	Active_Enhancer-Active_Enhancer	anchor1_nearest_gene	97165
loop_2361	down_in_mutant	Active_Enhancer-Active_Enhancer	anchor2_nearest_gene	108150
