stripe_id	chr	pos1	pos2	chr2	pos3	pos4	direction_type	source	pval_ctrl	pval_mut	stripiness_ctrl	stripiness_mut	mean_ctrl	mean_mut	stripe_length	stripe_width	anchor_center	logFC	logCPM	F	PValue	FDR	significant_FDR05	significant_FDR10	direction_edgeR	direction	direction_confidence	direction_consistent	effect_category
stripe_0002	chr1	13770001	13810000	chr1	13770001	15690000	3prime	shared	0.0815	0.052	0.60886021448708	5.49718625880438	260154.524033694	342817.882495858	1920000	40000	13790000.5	0.164173175160999	7.99544694776813	89.2783029914272	9.71690975166373e-07	5.09566179035777e-05	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal
stripe_0004	chr1	16090001	16130000	chr1	16090001	17170000	3prime	shared	0.03	0.031	7.5906592061323	4.88203041667512	599402.68352902	466599.091595595	1080000	40000	16110000.5	-0.0020150918110395	7.61218692446327	0.00828967547466909	0.929032090016074	0.955560551773095	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_0006	chr1	21380001	21420000	chr1	21380001	23540000	3prime	shared	0.021	0.016	5.15243381343873	4.70987824978254	361395.631035156	280280.506809562	2160000	40000	21400000.5	0.0802047540229356	7.78192418556266	16.2222680307589	0.00184728526629691	0.00849989581885776	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal
stripe_0007	chr1	22240001	22280000	chr1	20790001	22280000	5prime	shared	0.054	0.015	1.25413365142423	8.77130540284535	423300.020393229	447115.258719901	1490000	40000	22260000.5	0.0748571599652766	7.90821999779631	14.4743785643862	0.00273426585681678	0.0113906449128605	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal
stripe_0009	chr1	23230001	23280000	chr1	22260001	23280000	5prime	shared	0.033	0.036	-1.39556552897931	-0.649803665468317	589945.893981766	489705.299002263	1020000	50000	23255000.5	-0.067339732265314	8.14541045597136	13.5767658941296	0.00338228758975271	0.0134013750500646	TRUE	TRUE	down_in_mutant	unchanged	high	NA	minimal
stripe_0013	chr1	23810001	23850000	chr1	23810001	25830000	3prime	shared	0.068	0.056	-0.337005164722993	0.810627688375939	464952.601381326	410389.187262185	2020000	40000	23830000.5	-0.0390485140577245	8.0927447659436	4.55504175107616	0.0552690695197367	0.116603830667522	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_0015	chr1	23990001	24030000	chr1	22300001	24030000	5prime	shared	0.054	0.081	0.516920135958477	-2.39063802251133	469454.435128848	755099.116405693	1730000	40000	24010000.5	-0.00909560098825246	8.0097536941919	0.283364455957597	0.604706277685738	0.711968977749766	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_0016	chr1	24350001	24400000	chr1	24350001	25870000	3prime	shared	0.0485	0.027	-0.655405383600371	2.08843561183656	423974.083548831	394256.106150048	1520000	50000	24375000.5	-0.0827276516413757	8.51904021113199	27.2377905924719	0.000252903905093815	0.00200438420560737	TRUE	TRUE	down_in_mutant	unchanged	high	NA	minimal
stripe_0018	chr1	24850001	24910000	chr1	24850001	25840000	3prime	shared	0.053	0.043	-0.252899530844562	-0.0882974400508658	578148.699699929	532242.647567667	990000	60000	24880000.5	-0.0374902427080935	8.51900099500154	4.44882028877642	0.0577504830634657	0.120625398632746	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_0021	chr1	26660001	26700000	chr1	26660001	28980000	3prime	shared	0.045	0.027	2.72836261039283	4.57151068218422	235860.900357101	227404.15682012	2320000	40000	26680000.5	0.125292165608691	7.63762103651061	21.5051978201069	0.00065208420539661	0.00392130232115398	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal
stripe_0022	chr1	26670001	26710000	chr1	24330001	26710000	5prime	shared	0.064	0.052	1.21710409431892	2.33573418298926	223624.961040912	514163.529258773	2380000	40000	26690000.5	0.179686662221081	7.49766188974749	45.6262440448474	2.60266598821264e-05	0.000410668447520631	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal
stripe_0023	chr1	28320001	28360000	chr1	25030001	28360000	5prime	shared	0.088	0.052	0.860183021055819	2.19468207197496	153593.127036864	156897.74134935	3330000	40000	28340000.5	0.0350812845563335	8.08966325223523	2.80395077574481	0.121170584798902	0.212058802818894	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_0027	chr1	35640001	35680000	chr1	33570001	35680000	5prime	shared	0.061	0.0335	0.44313436501917	1.80080907705036	434418.608523274	684171.167177356	2110000	40000	35660000.5	0.0653531060515988	7.94346375901902	10.8263232882453	0.00686628915067426	0.0236115594130226	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal
stripe_0028	chr1	35640001	35690000	chr1	35640001	36300000	3prime	shared	0.062	0.081	-0.45204900139719	0.188938841687419	1188904.74241907	744796.410440656	660000	50000	35665000.5	-0.0287753706774468	8.00827754140198	3.26349536260703	0.0972341517580066	0.178914853028406	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_0032	chr1	35960001	36000000	chr1	35010001	36000000	5prime	shared	0.046	0.05	-2.09537456294512	-2.10338935488283	885822.162902569	491251.223415081	990000	40000	35980000.5	-0.0195882556976254	8.00437919609628	1.07911345834257	0.320389712447377	0.438920366725834	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_0036	chr1	37850001	37890000	chr1	36100001	37890000	5prime	shared	0.053	0.0655	0.699488307164997	0.35192009145941	386353.584212699	306201.497989315	1790000	40000	37870000.5	-0.0509626753217638	7.92313911589112	8.10826265024753	0.0153431906378797	0.0435619568588208	TRUE	TRUE	down_in_mutant	unchanged	high	NA	minimal
stripe_0037	chr1	38720001	38790000	chr1	38280001	38790000	5prime	shared	0.06	0.047	1.94046317054396	4.22926012219645	1159073.66733816	1032004.1020755	510000	70000	38755000.5	0.0947930083959408	8.5500793516552	39.1752119879844	5.2340069120305e-05	0.000638750672710977	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal
stripe_0038	chr1	38980001	39020000	chr1	38980001	40090000	3prime	shared	0.099	0.0995	7.2044279704433	3.80627623765486	757702.981509899	624219.708898398	1110000	40000	39000000.5	-0.0151932303134289	8.03621349924615	0.642250761299718	0.4392528917098	0.557230811752809	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_0040	chr1	40070001	40110000	chr1	37280001	40110000	5prime	shared	0.085	0.089	0.0800658267907405	0.254881740189585	294006.641272431	303915.377259909	2830000	40000	40090000.5	-0.0471990071929103	7.67653895993377	3.55231825543381	0.0851534336277891	0.161347053738273	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_0041	chr1	40340001	40380000	chr1	39600001	40380000	5prime	shared	0.0625	0.062	1.82672714080579	2.7602118951978	692322.087158237	555908.938569334	780000	40000	40360000.5	-0.0432131870085007	7.56647034958153	5.51837177831019	0.0377599463397329	0.0866486284732866	FALSE	TRUE	unchanged	unchanged	medium	NA	minimal
stripe_0043	chr1	43250001	43310000	chr1	43250001	44060000	3prime	shared	0.087	0.055	1.73688378926698	1.85007120571577	692836.564583188	599180.607830764	810000	60000	43280000.5	-0.00561811034699492	8.24185311853674	0.089876177342672	0.76972075635476	0.841970618761066	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_0045	chr1	47780001	47820000	chr1	47780001	49570000	3prime	shared	0.065	0.095	-0.147766646861883	-1.00527940645792	227994.277998695	184781.053613534	1790000	40000	47800000.5	-0.107444977082322	7.9024400584134	28.0742203603987	0.000223002595639153	0.00182810863459591	TRUE	TRUE	down_in_mutant	unchanged	high	NA	minimal
stripe_0046	chr1	48500001	48540000	chr1	48500001	49270000	3prime	shared	0.067	0.071	0.903505651598723	0.601040406134863	685495.817143004	601325.157520932	770000	40000	48520000.5	-0.00290755254438378	7.70025456977258	0.010841819238119	0.918877036854874	0.947301391565331	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_0048	chr1	51320001	51370000	chr1	49040001	51370000	5prime	shared	0.068	0.068	-1.57478848644334	-1.02113003398605	409984.455707018	348280.023230369	2330000	50000	51345000.5	-0.0855376022291214	8.42307785521247	25.4236372427202	0.00033560462240112	0.00249246177515427	TRUE	TRUE	down_in_mutant	unchanged	high	NA	minimal
stripe_0050	chr1	51580001	51630000	chr1	50500001	51630000	5prime	shared	0.044	0.033	2.2367748763657	4.31151239267481	651841.254903175	811200.118023095	1130000	50000	51605000.5	-0.0849575029161188	8.18883525318908	21.3898419144908	0.000665784092037981	0.00399694624950747	TRUE	TRUE	down_in_mutant	unchanged	high	NA	minimal
stripe_0052	chr1	52260001	52300000	chr1	52260001	52970000	3prime	shared	0.074	0.092	-1.97079344431573	-1.99569175842694	1035375.54469658	543608.763997314	710000	40000	52280000.5	-0.116569630350481	7.61132581017309	34.8622952120224	8.80447798587468e-05	0.000966054415311665	TRUE	TRUE	down_in_mutant	unchanged	high	NA	minimal
stripe_0054	chr1	53010001	53050000	chr1	52100001	53050000	5prime	shared	0.097	0.055	-2.39127326379826	-1.28039810068046	663846.810979095	647756.226341458	950000	40000	53030000.5	0.0474229842543768	7.90248860230148	4.77169616090845	0.0505962263734135	0.108744614153376	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_0055	chr1	54310001	54370000	chr1	53670001	54370000	5prime	shared	0.099	0.0805	-4.05610397031355	-0.982752338340278	636301.272750203	706431.804309168	700000	60000	54340000.5	0.0299566323526846	8.4438973725491	3.01806272161888	0.109202082442278	0.195489270074882	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_0057	chr1	55960001	55990000	chr1	55960001	57420000	3prime	shared	0.0505	0.0545	1.29565982476444	0.653867558081332	281898.453049983	285631.205049062	1460000	30000	55975000.5	0.100091415266614	7.29729913721379	18.891475984661	0.00106553634757633	0.0056208618571852	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal
stripe_0058	chr1	57370001	57420000	chr1	57370001	60580000	3prime	shared	0.053	0.081	1.73526469525806	0.810058935795798	210375.513328581	184453.138714528	3210000	50000	57395000.5	-0.0599838991048534	7.98687245269418	10.5369137916803	0.00743910303969507	0.0249781984044536	TRUE	TRUE	down_in_mutant	unchanged	high	NA	minimal
stripe_0059	chr1	60840001	60880000	chr1	59850001	60880000	5prime	shared	0.016	0.015	6.87190519889151	7.3841469422505	505925.848256703	544753.620990975	1030000	40000	60860000.5	0.0766110886287353	7.87242554625466	16.8271568798371	0.00162286433990201	0.00777840623130452	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal
stripe_0064	chr1	63630001	63670000	chr1	63630001	65070000	3prime	shared	0.029	0.025	2.35530824589835	6.44335117283323	517829.646432681	514593.325406326	1440000	40000	63650000.5	0.00146995897808575	8.08480517508496	0.00438254965223919	0.948362660404568	0.967645982467315	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_0066	chr1	64410001	64450000	chr1	63660001	64450000	5prime	shared	0.004	0.005	15.3722963733355	0.364446324865715	1610975.57976045	1217715.24464844	790000	40000	64430000.5	-0.0363726708766284	8.46245069915152	5.22629619289809	0.0422513532294558	0.0944629000728772	FALSE	TRUE	unchanged	unchanged	medium	NA	minimal
stripe_0067	chr1	64690001	64730000	chr1	62690001	64730000	5prime	shared	0.069	0.072	0.020173487071847	-0.019727192289445	305891.469200398	308827.171725111	2040000	40000	64710000.5	-0.014750949766586	7.73664599048872	0.500197916607884	0.493592505836678	0.607339916637284	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
