chr	pos1	pos2	chr2	pos3	pos4	direction_type	source	pval_ctrl	pval_mut	stripiness_ctrl	stripiness_mut	mean_ctrl	mean_mut	stripe_length	stripe_width	anchor_center	stripe_id
chr1	6360001	6430000	chr1	6360001	7190000	3prime	mutant_only	NA	0.03	NA	1.58294551557528	NA	627383.780178366	830000	70000	6395000.5	stripe_0001
chr1	13770001	13810000	chr1	13770001	15690000	3prime	shared	0.0815	0.052	0.60886021448708	5.49718625880438	260154.524033694	342817.882495858	1920000	40000	13790000.5	stripe_0002
chr1	15970001	16020000	chr1	15090001	16020000	5prime	control_only	0.092	NA	0.55768076323328	NA	539891.427832441	NA	930000	50000	15995000.5	stripe_0003
chr1	16090001	16130000	chr1	16090001	17170000	3prime	shared	0.03	0.031	7.5906592061323	4.88203041667512	599402.68352902	466599.091595595	1080000	40000	16110000.5	stripe_0004
chr1	16650001	16690000	chr1	16650001	17130000	3prime	mutant_only	NA	0.0885	NA	-0.95826326098254	NA	1082944.41707253	480000	40000	16670000.5	stripe_0005
chr1	21380001	21420000	chr1	21380001	23540000	3prime	shared	0.021	0.016	5.15243381343873	4.70987824978254	361395.631035156	280280.506809562	2160000	40000	21400000.5	stripe_0006
chr1	22240001	22280000	chr1	20790001	22280000	5prime	shared	0.054	0.015	1.25413365142423	8.77130540284535	423300.020393229	447115.258719901	1490000	40000	22260000.5	stripe_0007
chr1	22370001	22410000	chr1	22370001	23130000	3prime	control_only	0.0815	NA	-11.3182860859616	NA	800697.68380443	NA	760000	40000	22390000.5	stripe_0008
chr1	23230001	23280000	chr1	22260001	23280000	5prime	shared	0.033	0.036	-1.39556552897931	-0.649803665468317	589945.893981766	489705.299002263	1020000	50000	23255000.5	stripe_0009
chr1	23320001	23390000	chr1	23320001	24240000	3prime	control_only	0.0765	NA	-1.26821639672488	NA	575638.556434703	NA	920000	70000	23355000.5	stripe_0010
chr1	23620001	23660000	chr1	22250001	23660000	5prime	control_only	0.072	NA	0.339451487770242	NA	439774.042964498	NA	1410000	40000	23640000.5	stripe_0011
chr1	23730001	23770000	chr1	23730001	25470000	3prime	mutant_only	NA	0.086	NA	-1.07553693283185	NA	307334.744599014	1740000	40000	23750000.5	stripe_0012
chr1	23810001	23850000	chr1	23810001	25830000	3prime	shared	0.068	0.056	-0.337005164722993	0.810627688375939	464952.601381326	410389.187262185	2020000	40000	23830000.5	stripe_0013
chr1	23810001	23850000	chr1	22280001	23850000	5prime	control_only	0.083	NA	-0.648736461230423	NA	504756.614507419	NA	1570000	40000	23830000.5	stripe_0014
chr1	23990001	24030000	chr1	22300001	24030000	5prime	shared	0.054	0.081	0.516920135958477	-2.39063802251133	469454.435128848	755099.116405693	1730000	40000	24010000.5	stripe_0015
chr1	24350001	24400000	chr1	24350001	25870000	3prime	shared	0.0485	0.027	-0.655405383600371	2.08843561183656	423974.083548831	394256.106150048	1520000	50000	24375000.5	stripe_0016
chr1	24730001	24770000	chr1	24730001	25840000	3prime	control_only	0.072	NA	-5.54386157211357	NA	559841.065693004	NA	1110000	40000	24750000.5	stripe_0017
chr1	24850001	24910000	chr1	24850001	25840000	3prime	shared	0.053	0.043	-0.252899530844562	-0.0882974400508658	578148.699699929	532242.647567667	990000	60000	24880000.5	stripe_0018
chr1	25770001	25830000	chr1	25040001	25830000	5prime	mutant_only	NA	0.02	NA	3.10230003473532	NA	1279485.43376904	790000	60000	25800000.5	stripe_0019
chr1	25830001	25890000	chr1	25830001	28900000	3prime	mutant_only	NA	0.079	NA	-4.54430122121338	NA	172462.006274136	3070000	60000	25860000.5	stripe_0020
chr1	26660001	26700000	chr1	26660001	28980000	3prime	shared	0.045	0.027	2.72836261039283	4.57151068218422	235860.900357101	227404.15682012	2320000	40000	26680000.5	stripe_0021
chr1	26670001	26710000	chr1	24330001	26710000	5prime	shared	0.064	0.052	1.21710409431892	2.33573418298926	223624.961040912	514163.529258773	2380000	40000	26690000.5	stripe_0022
chr1	28320001	28360000	chr1	25030001	28360000	5prime	shared	0.088	0.052	0.860183021055819	2.19468207197496	153593.127036864	156897.74134935	3330000	40000	28340000.5	stripe_0023
chr1	34390001	34460000	chr1	33740001	34460000	5prime	mutant_only	NA	0.0285	NA	4.17719747292898	NA	821741.38865362	720000	70000	34425000.5	stripe_0024
chr1	34560001	34600000	chr1	33700001	34600000	5prime	mutant_only	NA	0.0305	NA	2.0013295597718	NA	861829.57750724	900000	40000	34580000.5	stripe_0025
chr1	34650001	34710000	chr1	34650001	35620000	3prime	mutant_only	NA	0.098	NA	-0.463874742024096	NA	617320.034241624	970000	60000	34680000.5	stripe_0026
chr1	35640001	35680000	chr1	33570001	35680000	5prime	shared	0.061	0.0335	0.44313436501917	1.80080907705036	434418.608523274	684171.167177356	2110000	40000	35660000.5	stripe_0027
chr1	35640001	35690000	chr1	35640001	36300000	3prime	shared	0.062	0.081	-0.45204900139719	0.188938841687419	1188904.74241907	744796.410440656	660000	50000	35665000.5	stripe_0028
chr1	35830001	35880000	chr1	35830001	36570000	3prime	control_only	0.0875	NA	0.139518789545915	NA	1200990.08319033	NA	740000	50000	35855000.5	stripe_0029
chr1	35830001	35860000	chr1	34560001	35860000	5prime	control_only	0.056	NA	-3.0967675541897	NA	730763.311657906	NA	1300000	30000	35845000.5	stripe_0030
chr1	35830001	35860000	chr1	34670001	35860000	5prime	mutant_only	NA	0.036	NA	-2.79368595804659	NA	661728.331844295	1190000	30000	35845000.5	stripe_0031
chr1	35960001	36000000	chr1	35010001	36000000	5prime	shared	0.046	0.05	-2.09537456294512	-2.10338935488283	885822.162902569	491251.223415081	990000	40000	35980000.5	stripe_0032
chr1	36050001	36090000	chr1	34130001	36090000	5prime	control_only	0.016	NA	-6.30004386836298	NA	660584.617760486	NA	1960000	40000	36070000.5	stripe_0033
chr1	36050001	36090000	chr1	34430001	36090000	5prime	mutant_only	NA	0.0125	NA	-2.94220013262555	NA	634886.404340987	1660000	40000	36070000.5	stripe_0034
chr1	36510001	36560000	chr1	36510001	38120000	3prime	mutant_only	NA	0.099	NA	-1.18108158297059	NA	557460.830053089	1610000	50000	36535000.5	stripe_0035
chr1	37850001	37890000	chr1	36100001	37890000	5prime	shared	0.053	0.0655	0.699488307164997	0.35192009145941	386353.584212699	306201.497989315	1790000	40000	37870000.5	stripe_0036
chr1	38720001	38790000	chr1	38280001	38790000	5prime	shared	0.06	0.047	1.94046317054396	4.22926012219645	1159073.66733816	1032004.1020755	510000	70000	38755000.5	stripe_0037
chr1	38980001	39020000	chr1	38980001	40090000	3prime	shared	0.099	0.0995	7.2044279704433	3.80627623765486	757702.981509899	624219.708898398	1110000	40000	39000000.5	stripe_0038
chr1	39500001	39560000	chr1	38000001	39560000	5prime	mutant_only	NA	0.0565	NA	0.319584201387225	NA	622774.987549789	1560000	60000	39530000.5	stripe_0039
chr1	40070001	40110000	chr1	37280001	40110000	5prime	shared	0.085	0.089	0.0800658267907405	0.254881740189585	294006.641272431	303915.377259909	2830000	40000	40090000.5	stripe_0040
chr1	40340001	40380000	chr1	39600001	40380000	5prime	shared	0.0625	0.062	1.82672714080579	2.7602118951978	692322.087158237	555908.938569334	780000	40000	40360000.5	stripe_0041
chr1	43070001	43110000	chr1	43070001	44220000	3prime	control_only	0.074	NA	1.34937511552859	NA	653033.456088401	NA	1150000	40000	43090000.5	stripe_0042
chr1	43250001	43310000	chr1	43250001	44060000	3prime	shared	0.087	0.055	1.73688378926698	1.85007120571577	692836.564583188	599180.607830764	810000	60000	43280000.5	stripe_0043
chr1	47260001	47320000	chr1	47260001	50980000	3prime	control_only	0.083	NA	-2.40150311877438	NA	119089.665132675	NA	3720000	60000	47290000.5	stripe_0044
chr1	47780001	47820000	chr1	47780001	49570000	3prime	shared	0.065	0.095	-0.147766646861883	-1.00527940645792	227994.277998695	184781.053613534	1790000	40000	47800000.5	stripe_0045
chr1	48500001	48540000	chr1	48500001	49270000	3prime	shared	0.067	0.071	0.903505651598723	0.601040406134863	685495.817143004	601325.157520932	770000	40000	48520000.5	stripe_0046
chr1	50020001	50060000	chr1	47290001	50060000	5prime	control_only	0.073	NA	0.707488136298083	NA	147489.29904448	NA	2770000	40000	50040000.5	stripe_0047
chr1	51320001	51370000	chr1	49040001	51370000	5prime	shared	0.068	0.068	-1.57478848644334	-1.02113003398605	409984.455707018	348280.023230369	2330000	50000	51345000.5	stripe_0048
chr1	51450001	51490000	chr1	51450001	53370000	3prime	control_only	0.0985	NA	0.670501900418848	NA	437596.586099043	NA	1920000	40000	51470000.5	stripe_0049
chr1	51580001	51630000	chr1	50500001	51630000	5prime	shared	0.044	0.033	2.2367748763657	4.31151239267481	651841.254903175	811200.118023095	1130000	50000	51605000.5	stripe_0050
chr1	51610001	51650000	chr1	51610001	52680000	3prime	control_only	0.082	NA	0.393257272594347	NA	623315.302672009	NA	1070000	40000	51630000.5	stripe_0051
chr1	52260001	52300000	chr1	52260001	52970000	3prime	shared	0.074	0.092	-1.97079344431573	-1.99569175842694	1035375.54469658	543608.763997314	710000	40000	52280000.5	stripe_0052
chr1	52480001	52520000	chr1	52480001	53350000	3prime	mutant_only	NA	0.071	NA	0.52796280451255	NA	764958.698636401	870000	40000	52500000.5	stripe_0053
chr1	53010001	53050000	chr1	52100001	53050000	5prime	shared	0.097	0.055	-2.39127326379826	-1.28039810068046	663846.810979095	647756.226341458	950000	40000	53030000.5	stripe_0054
chr1	54310001	54370000	chr1	53670001	54370000	5prime	shared	0.099	0.0805	-4.05610397031355	-0.982752338340278	636301.272750203	706431.804309168	700000	60000	54340000.5	stripe_0055
chr1	54640001	54680000	chr1	54640001	55250000	3prime	mutant_only	NA	0.097	NA	0.710016441292832	NA	539058.173929529	610000	40000	54660000.5	stripe_0056
chr1	55960001	55990000	chr1	55960001	57420000	3prime	shared	0.0505	0.0545	1.29565982476444	0.653867558081332	281898.453049983	285631.205049062	1460000	30000	55975000.5	stripe_0057
chr1	57370001	57420000	chr1	57370001	60580000	3prime	shared	0.053	0.081	1.73526469525806	0.810058935795798	210375.513328581	184453.138714528	3210000	50000	57395000.5	stripe_0058
chr1	60840001	60880000	chr1	59850001	60880000	5prime	shared	0.016	0.015	6.87190519889151	7.3841469422505	505925.848256703	544753.620990975	1030000	40000	60860000.5	stripe_0059
chr1	61130001	61180000	chr1	61130001	63210000	3prime	control_only	0.087	NA	-1.76666374160207	NA	255424.045746092	NA	2080000	50000	61155000.5	stripe_0060
chr1	61900001	61950000	chr1	61900001	62980000	3prime	mutant_only	NA	0.0765	NA	2.16430790329718	NA	455242.914177691	1080000	50000	61925000.5	stripe_0061
chr1	62550001	62590000	chr1	60370001	62590000	5prime	mutant_only	NA	0.087	NA	-1.22884395953533	NA	204809.419704518	2220000	40000	62570000.5	stripe_0062
chr1	62740001	62810000	chr1	62740001	63180000	3prime	control_only	0.099	NA	-7.41617724657468	NA	2047849.2860674	NA	440000	70000	62775000.5	stripe_0063
chr1	63630001	63670000	chr1	63630001	65070000	3prime	shared	0.029	0.025	2.35530824589835	6.44335117283323	517829.646432681	514593.325406326	1440000	40000	63650000.5	stripe_0064
chr1	63730001	63770000	chr1	63730001	65010000	3prime	control_only	0.048	NA	-3.29757531414736	NA	634782.194224848	NA	1280000	40000	63750000.5	stripe_0065
chr1	64410001	64450000	chr1	63660001	64450000	5prime	shared	0.004	0.005	15.3722963733355	0.364446324865715	1610975.57976045	1217715.24464844	790000	40000	64430000.5	stripe_0066
chr1	64690001	64730000	chr1	62690001	64730000	5prime	shared	0.069	0.072	0.020173487071847	-0.019727192289445	305891.469200398	308827.171725111	2040000	40000	64710000.5	stripe_0067
chr1	64890001	64930000	chr1	63040001	64930000	5prime	control_only	0.061	NA	-5.15437116340332	NA	401396.667606132	NA	1890000	40000	64910000.5	stripe_0068
chr1	65160001	65190000	chr1	63260001	65190000	5prime	control_only	0.082	NA	0.20995472882066	NA	317538.827939881	NA	1930000	30000	65175000.5	stripe_0069
chr1	65270001	65320000	chr1	65270001	66710000	3prime	mutant_only	NA	0.087	NA	-13.2985420588051	NA	572736.156428791	1440000	50000	65295000.5	stripe_0070
chr1	65520001	65560000	chr1	65520001	66830000	3prime	shared	0.048	0.052	3.82883573459455	0.965250107640479	571653.418979569	530947.01135698	1310000	40000	65540000.5	stripe_0071
chr1	66060001	66110000	chr1	65230001	66110000	5prime	shared	0.0825	0.079	-0.554818431291298	-0.220631572794654	426652.683781622	410542.61521997	880000	50000	66085000.5	stripe_0072
chr1	66410001	66450000	chr1	65010001	66450000	5prime	control_only	0.071	NA	-4.46256334722429	NA	651254.344823025	NA	1440000	40000	66430000.5	stripe_0073
chr1	66780001	66830000	chr1	66090001	66830000	5prime	control_only	0.095	NA	-0.430250429227466	NA	779230.677496687	NA	740000	50000	66805000.5	stripe_0074
chr1	67610001	67650000	chr1	67610001	69160000	3prime	shared	0.058	0.0495	3.24517160918537	3.15910000586196	241164.1401648	211439.232337804	1550000	40000	67630000.5	stripe_0075
