chr	50kb	100kb	opt_binsize
chr1	0.78555	0.79938	50kb
chr2	0.82856	0.8384	50kb
chr3	0.75702	0.75531	50kb
chr4	0.78466	0.77196	50kb
chr5	0.74158	0.72789	50kb
chr6	0.79069	0.78251	50kb
chr7	0.826	0.80469	50kb
chr8	0.79144	0.78684	50kb
chr9	0.77698	0.75996	50kb
chr10	0.71862	0.73758	50kb
chr11	0.81985	0.79929	50kb
chr12	0.8252	0.82078	50kb
chr13	0.68619	0.66843	50kb
chr14	0.75137	0.74523	50kb
chr15	0.7123	0.70096	50kb
chr16	0.73978	0.72156	50kb
chr17	0.81132	0.7962	50kb
chr18	0.78369	0.77926	50kb
chr19	0.84603	0.84068	50kb
