stripe_id	chr	pos1	pos2	pos3	pos4	direction_type	source	pval_ctrl	pval_mut	stripe_length	coord_string	logFC	logCPM	F	PValue	FDR	significant_FDR05	significant_FDR10	direction_edgeR	plot_color
stripe_0002	chr1	13770001	13810000	13770001	15690000	3prime	shared	0.0815	0.052	1920000	chr1:13770001-13810000->13770001-15690000	0.164173175160999	7.99544694776813	89.2783029914272	9.71690975166373e-07	5.09566179035777e-05	TRUE	TRUE	up_in_mutant	firebrick3
stripe_0006	chr1	21380001	21420000	21380001	23540000	3prime	shared	0.021	0.016	2160000	chr1:21380001-21420000->21380001-23540000	0.0802047540229356	7.78192418556266	16.2222680307589	0.00184728526629691	0.00849989581885776	TRUE	TRUE	up_in_mutant	firebrick3
stripe_0007	chr1	22240001	22280000	20790001	22280000	5prime	shared	0.054	0.015	1490000	chr1:22240001-22280000->20790001-22280000	0.0748571599652766	7.90821999779631	14.4743785643862	0.00273426585681678	0.0113906449128605	TRUE	TRUE	up_in_mutant	firebrick3
stripe_0009	chr1	23230001	23280000	22260001	23280000	5prime	shared	0.033	0.036	1020000	chr1:23230001-23280000->22260001-23280000	-0.067339732265314	8.14541045597136	13.5767658941296	0.00338228758975271	0.0134013750500646	TRUE	TRUE	down_in_mutant	steelblue3
stripe_0010	chr1	23320001	23390000	23320001	24240000	3prime	control_only	0.0765	NA	920000	chr1:23320001-23390000->23320001-24240000	-0.0731550668684336	8.8464715047354	23.283070633058	0.000477742437960298	0.00317249447628757	TRUE	TRUE	down_in_mutant	steelblue3
stripe_0014	chr1	23810001	23850000	22280001	23850000	5prime	control_only	0.083	NA	1570000	chr1:23810001-23850000->22280001-23850000	-0.0639128100697638	7.7394301799927	9.16685808357255	0.0110568677622633	0.0337864528193923	TRUE	TRUE	down_in_mutant	steelblue3
stripe_0016	chr1	24350001	24400000	24350001	25870000	3prime	shared	0.0485	0.027	1520000	chr1:24350001-24400000->24350001-25870000	-0.0827276516413757	8.51904021113199	27.2377905924719	0.000252903905093815	0.00200438420560737	TRUE	TRUE	down_in_mutant	steelblue3
stripe_0020	chr1	25830001	25890000	25830001	28900000	3prime	mutant_only	NA	0.079	3070000	chr1:25830001-25890000->25830001-28900000	0.250186214981105	8.62490407130836	83.0936258818573	1.40038764263147e-06	6.05004302179883e-05	TRUE	TRUE	up_in_mutant	firebrick3
stripe_0021	chr1	26660001	26700000	26660001	28980000	3prime	shared	0.045	0.027	2320000	chr1:26660001-26700000->26660001-28980000	0.125292165608691	7.63762103651061	21.5051978201069	0.00065208420539661	0.00392130232115398	TRUE	TRUE	up_in_mutant	firebrick3
stripe_0022	chr1	26670001	26710000	24330001	26710000	5prime	shared	0.064	0.052	2380000	chr1:26670001-26710000->24330001-26710000	0.179686662221081	7.49766188974749	45.6262440448474	2.60266598821264e-05	0.000410668447520631	TRUE	TRUE	up_in_mutant	firebrick3
stripe_0027	chr1	35640001	35680000	33570001	35680000	5prime	shared	0.061	0.0335	2110000	chr1:35640001-35680000->33570001-35680000	0.0653531060515988	7.94346375901902	10.8263232882453	0.00686628915067426	0.0236115594130226	TRUE	TRUE	up_in_mutant	firebrick3
stripe_0029	chr1	35830001	35880000	35830001	36570000	3prime	control_only	0.0875	NA	740000	chr1:35830001-35880000->35830001-36570000	-0.0522832116499705	8.08462024785681	9.378277500898	0.010380842299424	0.0321337531595017	TRUE	TRUE	down_in_mutant	steelblue3
stripe_0036	chr1	37850001	37890000	36100001	37890000	5prime	shared	0.053	0.0655	1790000	chr1:37850001-37890000->36100001-37890000	-0.0509626753217638	7.92313911589112	8.10826265024753	0.0153431906378797	0.0435619568588208	TRUE	TRUE	down_in_mutant	steelblue3
stripe_0037	chr1	38720001	38790000	38280001	38790000	5prime	shared	0.06	0.047	510000	chr1:38720001-38790000->38280001-38790000	0.0947930083959408	8.5500793516552	39.1752119879844	5.2340069120305e-05	0.000638750672710977	TRUE	TRUE	up_in_mutant	firebrick3
stripe_0044	chr1	47260001	47320000	47260001	50980000	3prime	control_only	0.083	NA	3720000	chr1:47260001-47320000->47260001-50980000	-0.177045514960669	8.65670969894102	83.745272003668	1.34597616720836e-06	5.99968876533128e-05	TRUE	TRUE	down_in_mutant	steelblue3
stripe_0045	chr1	47780001	47820000	47780001	49570000	3prime	shared	0.065	0.095	1790000	chr1:47780001-47820000->47780001-49570000	-0.107444977082322	7.9024400584134	28.0742203603987	0.000223002595639153	0.00182810863459591	TRUE	TRUE	down_in_mutant	steelblue3
stripe_0047	chr1	50020001	50060000	47290001	50060000	5prime	control_only	0.073	NA	2770000	chr1:50020001-50060000->47290001-50060000	-0.104322319163205	7.99379337813691	24.0820373417758	0.000417659242837009	0.00282613445912101	TRUE	TRUE	down_in_mutant	steelblue3
stripe_0048	chr1	51320001	51370000	49040001	51370000	5prime	shared	0.068	0.068	2330000	chr1:51320001-51370000->49040001-51370000	-0.0855376022291214	8.42307785521247	25.4236372427202	0.00033560462240112	0.00249246177515427	TRUE	TRUE	down_in_mutant	steelblue3
stripe_0049	chr1	51450001	51490000	51450001	53370000	3prime	control_only	0.0985	NA	1920000	chr1:51450001-51490000->51450001-53370000	-0.10148447114165	7.80293995515326	27.9644063371158	0.000226681139667031	0.00184553640194665	TRUE	TRUE	down_in_mutant	steelblue3
stripe_0050	chr1	51580001	51630000	50500001	51630000	5prime	shared	0.044	0.033	1130000	chr1:51580001-51630000->50500001-51630000	-0.0849575029161188	8.18883525318908	21.3898419144908	0.000665784092037981	0.00399694624950747	TRUE	TRUE	down_in_mutant	steelblue3
stripe_0051	chr1	51610001	51650000	51610001	52680000	3prime	control_only	0.082	NA	1070000	chr1:51610001-51650000->51610001-52680000	-0.19661777495149	7.60513741836742	63.1200582902499	5.51835996028485e-06	0.000140560511559827	TRUE	TRUE	down_in_mutant	steelblue3
stripe_0052	chr1	52260001	52300000	52260001	52970000	3prime	shared	0.074	0.092	710000	chr1:52260001-52300000->52260001-52970000	-0.116569630350481	7.61132581017309	34.8622952120224	8.80447798587468e-05	0.000966054415311665	TRUE	TRUE	down_in_mutant	steelblue3
