loop_id	logFC	FDR	direction	anchor1_chr	anchor1_start	anchor1_end	anchor1_annotation	anchor1_all_genes	anchor1_gene_count	anchor2_chr	anchor2_start	anchor2_end	anchor2_annotation	anchor2_all_genes	anchor2_gene_count
loop_3362	1.07804968332282	4.28464397930854e-05	up	chr8	71175000	71180000	Distal Intergenic	NA	0	chr8	71815000	71820000	Distal Intergenic	NA	0
loop_3909	0.738853083718689	0.0246137874788143	up	chr11	27750000	27755000	Distal Intergenic	NA	0	chr11	28580000	28585000	Promoter (<=1kb)	Ccdc85a	1
loop_7340	0.515500086064682	0.0246137874788143	up	chr8	41050000	41055000	Promoter (<=1kb)	Mtus1	1	chr8	41235000	41240000	Promoter (<=1kb)	Pcm1	1
loop_15623	-0.623738072808033	0.022620335524039	down	chr4	81570000	81580000	Distal Intergenic	NA	0	chr4	82700000	82710000	Promoter (<=1kb)	Nfib	1
loop_16094	0.553261047906869	0.0246137874788143	up	chr11	57015000	57020000	Promoter (1-2kb)	Gria1	1	chr11	57310000	57315000	Exon (ENSMUST00000036315.15/14799, exon 14 of 16)	Gria1	1
loop_1298	-0.531581037913629	0.0048740438696912	down	chr8	49525000	49550000	Exon (ENSMUST00000212179.1/ENSMUST00000212179.1, exon 9 of 10)	NA	0	chr8	49825000	49850000	Exon (ENSMUST00000210742.1/ENSMUST00000210742.1, exon 3 of 3)	NA	0
loop_40	0.589016452185087	0.0125381759837717	up	chr8	69420000	69430000	3' UTR	NA	0	chr8	69500000	69510000	Intron (ENSMUST00000201500.1/ENSMUST00000201500.1, intron 6 of 9)	NA	0
loop_16964	-1.2421109892696	0.0015617840610222	down	chr8	57325000	57350000	Promoter (<=1kb)	Hdnr	1	chr8	108700000	108725000	Promoter (<=1kb)	Zfhx3	1
loop_51	-1.12582663455864	0.0180706558798058	down	chr8	89040000	89050000	Promoter (<=1kb)	Sall1	1	chr8	92360000	92370000	3' UTR	Irx5	1
loop_11648	-0.746737347898773	0.0063626537700636	down	chr16	91225000	91250000	Promoter (<=1kb)	Olig2	1	chr16	94075000	94100000	Promoter (<=1kb)	Sim2	1
loop_849	-0.493827442657958	0.0224640146024451	down	chr5	92720000	92730000	Intron (ENSMUST00000113055.8/27428, intron 1 of 10)	Shroom3	1	chr5	93320000	93330000	Distal Intergenic	NA	0
