gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score	ABC.Score_WT	ABC.Score_KO	logFC_AxC	loop_logFC_signed	boundary_flag	ATAC_FC	H2AK119ub_FC	H3K27ac_FC	H3K27me3_FC
Ccnh	-0.081585	0.761632	548.785985	FALSE	-0.157695	-0.68803	14	3	4	FALSE	NA	21	21	0	0.612568739230376	-0.4739264264963379	TRUE	TRUE	2	0	24.35253982308057	3.692554580222123	-0.092778596531445	27.95231580677125	0.056616	0.030324	-0.9007276609485966	-0.4739264264963379	0	-0.891652589309763	1.73289478275902	-2.28577947322599	3.7874095366139
Nfib	-0.568485	0	9412.190052	TRUE	-0.171981	-1.116769	15	6	5	FALSE	NA	16	16	0	1.07260396941961	-0.5589828940009702	TRUE	TRUE	2	0	18.490524569803373	6.727134960368486	-0.03186619309575648	25.185793337076102	0.046419	0.01049	-2.1455943208129726	-0.5589828940009702	0	-1.88598913176902	1.61251338915299	-2.99562570958817	3.35685408390087
Col15a1	1.817056	0	44.216867	TRUE	3.85691	4.045585	7	1	5	TRUE	Control	5	0	5	0.479875209847958	0.3846496748612338	TRUE	TRUE	3	1	5.594091012593551	2.817253832775837	15.679871303745092	25.09121614911448	9.6e-5	0.616794	12.63451870245652	0.3846496748612338	1	1.41077813172704	0.410164593499302	-1.26206754433801	-1.46218297162362
Kcnd2	-0.41309	0.24892	75150.29471	FALSE	-0.249376	-0.638637	9	1	5	FALSE	NA	18	18	0	0.593720340707453	-0.43849546054451594	TRUE	TRUE	2	0	20.835330671114253	3.5682228408218295	0.29812928946795025	24.701682801404033	0.115	0.083849	-0.4557637173871159	-0.43849546054451594	0	-0.71576612302895	2.02687306472107	-2.73413328189076	NA
Ankrd37	0.177347	0.722512	31.106649	FALSE	-5.491494	-7.057749	7	0	7	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	22.649382717543322	23.033259315689335	0.641402	0	-19.290871576072625	0	1	0.128037717322502	NA	-0.0189315715000813	NA
Igf2bp3	0.158671	0.488685	1130.412664	FALSE	-0.175437	-0.731635	7	0	7	FALSE	NA	13	13	0	1.25053334219114	-0.8516971239612657	TRUE	TRUE	2	0	14.97331541783706	7.900829817264838	-0.01713055916927317	22.85701467593262	0.086477	0	-16.400045537411014	-0.8516971239612657	0	0.133899350062721	-0.370675791668403	-0.0502191003360139	-0.0554908984933841
Cln8	-0.145609	0.552035	107.157646	FALSE	2.792182	3.376369	5	5	0	FALSE	NA	6	1	5	0.794676913275492	0.21885697166622417	TRUE	TRUE	2	0	6.76649406324899	4.893814518062685	11.140102195158098	22.800410776469775	0	0.490286	18.90326698339026	0.21885697166622417	0	0.516604897950846	1.07885684505816	-0.955701460727313	-0.497610697689839
Gm28703	-4.178071	0	20.269202	TRUE	-0.064023	-2.777171	23	6	7	FALSE	NA	14	14	0	1.08587365750228	-0.5076436956837523	TRUE	TRUE	2	0	16.145718468492497	6.814667245862727	-0.4921756744138346	22.46821003994139	0.039271	0.088761	1.1764411031267807	-0.5076436956837523	0	-2.01916598441361	1.91259480614662	-2.4124046707494	NA
Kcnma1	0.477031	0.004516	6091.765956	FALSE	0.207418	0.72615	11	7	2	FALSE	NA	14	2	12	0.915881479768368	0.4730537920396436	TRUE	TRUE	2	0	16.145718468492497	5.693329371114552	0.11922948382923965	21.95827732343629	0.066736	0.123456	0.8874498992361826	0.4730537920396436	0	2.95181329606951	1.26008131688382	1.01461113319809	-1.72743386401775
Rit2	-2.171989	0	1848.728267	TRUE	-0.782313	-2.38166	9	2	4	TRUE	Mutant	12	12	0	0.513502405322124	-0.4140519198382188	TRUE	TRUE	3	1	13.80091236718162	3.0390725564924423	2.5704569914003	20.41044191507436	0.162285	0.112343	-0.5306154716298768	-0.4140519198382188	1	1.45169043705594	2.62808864577791	-2.5020674098174	3.32917097086441
Tgfbr1	0.567855	0.007753	126.344675	TRUE	0.238017	0.745526	6	4	1	TRUE	Mutant	11	3	8	0.895790040121369	0.1248056840965	TRUE	TRUE	3	1	12.628509316526182	5.560798024468342	0.24969697877034525	19.43900431976487	0.033191	0.070379	1.0843299517653766	0.1248056840965	1	2.05814775395947	-0.404880669277746	NA	-1.34414307673124
Spry2	-0.81884	0	144.716643	TRUE	-1.002492	-2.487185	5	1	4	TRUE	Control	10	9	1	0.551784655775839	-0.298969753032956	TRUE	TRUE	3	1	11.456106265870744	3.2915979252275855	3.509252460815564	19.256956651913892	0.142779	0.070937	-1.009163345943652	-0.298969753032956	1	-1.5123456947673	1.70111298287073	-2.11989265995376	1.98744417092436
Fat3	1.273253	0	2476.533639	TRUE	0.951272	1.094372	4	1	2	TRUE	Mutant	7	1	6	1.00175099495454	0.21977147928039756	TRUE	TRUE	3	1	7.938897113904428	6.259759785431842	3.290861497356516	18.489518396692787	0.237936	0.305463	0.36042273029324545	0.21977147928039756	1	1.90333444733768	0.927009231098364	2.00092751131678	-1.75873791362627
Ptgds	0.121156	0.712828	376.17499	FALSE	-4.6529	-7.52174	6	1	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	19.073799905927206	18.45767650407322	0.38712	0.339168	-0.19078025726280412	0	0	0.84158211461488	0.566384956911982	-1.44775130227429	NA
Csmd1	1.022854	0	9476.166884	TRUE	-0.050666	0.230981	7	0	3	TRUE	Control	11	6	5	0.840195182073115	-0.07626230254285273	TRUE	TRUE	3	1	12.628509316526182	5.194071620925604	-0.5491270234751878	18.2734539139766	0.027904	7.46e-4	-5.223271593148471	-0.07626230254285273	1	1.79699250755827	1.40678767674466	1.53093785163189	-1.92523468175376
Wwc1	1.00892	0	656.226297	TRUE	0.590751	0.998604	5	2	1	FALSE	NA	10	8	2	0.770657394987635	-0.30351115520429717	TRUE	TRUE	2	0	11.456106265870744	4.735371959420133	1.7536781990898305	17.94515642438071	0.177701	0.239443	0.43022836620241484	-0.30351115520429717	0	1.07279903786843	1.32538335446488	1.25098228032308	1.4253545867031
Gm14061	-1.402463	4e-6	31.768423	TRUE	-0.247368	-1.137126	13	4	4	FALSE	NA	10	10	0	0.959745981857733	-0.4543702728836105	TRUE	TRUE	2	0	11.456106265870744	5.982677552927761	0.2895676132745538	17.728351432073058	0.060661	0.024247	-1.3229273065451437	-0.4543702728836105	0	-1.07275660319027	1.26772848507142	-2.06625545410128	NA
Gm31409	-1.075936	0	107.573027	TRUE	-0.567851	-2.007362	19	5	1	FALSE	NA	8	8	0	1.08587365750228	-0.467014678478136	TRUE	TRUE	2	0	9.111300164559866	6.814667245862727	1.656037569195019	17.58200497961761	0.02891	0.006583	-2.134582270055895	-0.467014678478136	0	-1.79050502819123	1.91259480614662	-2.11838000117106	NA
Ebf3	0.84326	0	170.934706	TRUE	-0.050767	0.06463	8	3	2	FALSE	NA	9	2	7	1.12192831598309	0.3493587405596668	TRUE	TRUE	2	0	10.283703215215304	7.05249850759835	-0.5486963813957391	16.787505341417916	0.036749	0.002472	-3.8934101051085137	0.3493587405596668	0	1.40280582331888	-0.325496476267585	1.01985094917766	-0.851414472609809
