chr1	2684
chr10	1556
chr11	1948
chr12	1796
chr13	1475
chr14	1745
chr15	1500
chr16	1311
chr17	1317
chr18	1309
chr19	849
chr1_GL456210_random	1
chr1_GL456211_random	2
chr1_GL456212_random	0
chr1_GL456213_random	0
chr1_GL456221_random	1
chr2	2710
chr3	1971
chr4	2241
chr4_GL456216_random	0
chr4_JH584292_random	0
chr4_GL456350_random	2
chr4_JH584293_random	1
chr4_JH584294_random	2
chr4_JH584295_random	0
chr5	2215
chr5_JH584296_random	0
chr5_JH584297_random	0
chr5_JH584298_random	0
chr5_GL456354_random	0
chr5_JH584299_random	10
chr6	2121
chr7	1994
chr7_GL456219_random	2
chr8	1749
chr9	2131
chrM	9
chrX	638
chrX_GL456233_random	0
chrY	206
chrY_JH584300_random	0
chrY_JH584301_random	0
chrY_JH584302_random	0
chrY_JH584303_random	3
chrUn_GL456239	0
chrUn_GL456367	0
chrUn_GL456378	0
chrUn_GL456381	0
chrUn_GL456382	0
chrUn_GL456383	1
chrUn_GL456385	0
chrUn_GL456390	0
chrUn_GL456392	0
chrUn_GL456393	4
chrUn_GL456394	1
chrUn_GL456359	0
chrUn_GL456360	0
chrUn_GL456396	0
chrUn_GL456372	0
chrUn_GL456387	4
chrUn_GL456389	0
chrUn_GL456370	0
chrUn_GL456379	0
chrUn_GL456366	0
chrUn_GL456368	0
chrUn_JH584304	19
phage_T4	0
phage_Xp12	0
phage_lambda	6
plasmid_puc19c	2
