chr1	3110
chr10	2034
chr11	2042
chr12	1889
chr13	1705
chr14	2119
chr15	1871
chr16	1698
chr17	1313
chr18	1650
chr19	860
chr1_GL456210_random	4
chr1_GL456211_random	0
chr1_GL456212_random	5
chr1_GL456213_random	0
chr1_GL456221_random	1
chr2	3143
chr3	2403
chr4	2697
chr4_GL456216_random	0
chr4_JH584292_random	0
chr4_GL456350_random	0
chr4_JH584293_random	1
chr4_JH584294_random	0
chr4_JH584295_random	0
chr5	2523
chr5_JH584296_random	0
chr5_JH584297_random	0
chr5_JH584298_random	0
chr5_GL456354_random	0
chr5_JH584299_random	1
chr6	2673
chr7	2214
chr7_GL456219_random	0
chr8	2094
chr9	2325
chrM	11
chrX	732
chrX_GL456233_random	2
chrY	191
chrY_JH584300_random	1
chrY_JH584301_random	0
chrY_JH584302_random	0
chrY_JH584303_random	1
chrUn_GL456239	5
chrUn_GL456367	0
chrUn_GL456378	0
chrUn_GL456381	0
chrUn_GL456382	0
chrUn_GL456383	0
chrUn_GL456385	0
chrUn_GL456390	0
chrUn_GL456392	0
chrUn_GL456393	2
chrUn_GL456394	0
chrUn_GL456359	0
chrUn_GL456360	0
chrUn_GL456396	0
chrUn_GL456372	0
chrUn_GL456387	1
chrUn_GL456389	0
chrUn_GL456370	4
chrUn_GL456379	0
chrUn_GL456366	0
chrUn_GL456368	0
chrUn_JH584304	22
phage_T4	0
phage_Xp12	0
phage_lambda	4
plasmid_puc19c	2
