#peakID	chr	start	end	strand	PC1
chr10-3075000	chr10	3075000	3100000	+	-0.556951470184304
chr10-3100000	chr10	3100000	3125000	+	-0.605525418921286
chr10-3125000	chr10	3125000	3150000	+	-0.388433226056079
chr10-3150000	chr10	3150000	3175000	+	-0.0459604881458241
chr10-3175000	chr10	3175000	3200000	+	-0.0511538462317907
chr10-3200000	chr10	3200000	3225000	+	-0.478802185438093
chr10-3225000	chr10	3225000	3250000	+	-0.507854665360263
chr10-3250000	chr10	3250000	3275000	+	-0.233368879805159
chr10-3275000	chr10	3275000	3300000	+	0.165784839127359
chr10-3300000	chr10	3300000	3325000	+	0.498360540942635
chr10-3325000	chr10	3325000	3350000	+	0.45570864144335
chr10-3350000	chr10	3350000	3375000	+	0.634004407075805
chr10-3375000	chr10	3375000	3400000	+	0.878080387836694
chr10-3400000	chr10	3400000	3425000	+	0.800089878319738
chr10-3425000	chr10	3425000	3450000	+	0.468704121043768
chr10-3450000	chr10	3450000	3475000	+	0.119679317259336
chr10-3475000	chr10	3475000	3500000	+	-0.215735795903991
chr10-3500000	chr10	3500000	3525000	+	-0.171207206485741
chr10-3525000	chr10	3525000	3550000	+	-0.158449497814392
chr10-3550000	chr10	3550000	3575000	+	-0.497775136620715
chr10-3575000	chr10	3575000	3600000	+	-0.709527253076061
chr10-3600000	chr10	3600000	3625000	+	-0.823966420800145
chr10-3625000	chr10	3625000	3650000	+	-0.822531212843852
chr10-3650000	chr10	3650000	3675000	+	-0.81712294868305
chr10-3675000	chr10	3675000	3700000	+	-0.783267745008811
chr10-3700000	chr10	3700000	3725000	+	-0.676259401148663
chr10-3725000	chr10	3725000	3750000	+	-0.586605005667603
chr10-3750000	chr10	3750000	3775000	+	-0.675676405000958
chr10-3775000	chr10	3775000	3800000	+	-0.7396817501279
chr10-3800000	chr10	3800000	3825000	+	-0.739940213575062
chr10-3825000	chr10	3825000	3850000	+	-0.721974935834086
chr10-3850000	chr10	3850000	3875000	+	-0.70147038977372
chr10-3875000	chr10	3875000	3900000	+	-0.625085834222517
chr10-3900000	chr10	3900000	3925000	+	-0.435734619651324
chr10-3925000	chr10	3925000	3950000	+	0.0751511283710333
chr10-3950000	chr10	3950000	3975000	+	1.06814304373449
chr10-3975000	chr10	3975000	4000000	+	1.3697792233741
chr10-4000000	chr10	4000000	4025000	+	1.23431229348375
chr10-4025000	chr10	4025000	4050000	+	1.42738666530172
chr10-4050000	chr10	4050000	4075000	+	1.55598765207885
chr10-4075000	chr10	4075000	4100000	+	1.43019943412623
chr10-4100000	chr10	4100000	4125000	+	1.18847955227437
chr10-4125000	chr10	4125000	4150000	+	1.02565158635262
chr10-4150000	chr10	4150000	4175000	+	0.748615876884933
chr10-4175000	chr10	4175000	4200000	+	0.383855663607124
chr10-4200000	chr10	4200000	4225000	+	0.373191251319271
chr10-4225000	chr10	4225000	4250000	+	0.806479828215844
chr10-4250000	chr10	4250000	4275000	+	1.36869243282004
chr10-4275000	chr10	4275000	4300000	+	1.38237558250042
chr10-4300000	chr10	4300000	4325000	+	1.25953011220203
chr10-4325000	chr10	4325000	4350000	+	1.31784298460809
chr10-4350000	chr10	4350000	4375000	+	1.42794636952928
chr10-4375000	chr10	4375000	4400000	+	1.5520324870681
chr10-4400000	chr10	4400000	4425000	+	1.55269888228995
chr10-4425000	chr10	4425000	4450000	+	1.29513693251837
chr10-4450000	chr10	4450000	4475000	+	0.472522495613265
chr10-4475000	chr10	4475000	4500000	+	-0.175813597356837
chr10-4500000	chr10	4500000	4525000	+	-0.475384130614299
chr10-4525000	chr10	4525000	4550000	+	-0.566735651643071
chr10-4550000	chr10	4550000	4575000	+	-0.506897301419757
chr10-4575000	chr10	4575000	4600000	+	-0.453198238068548
chr10-4600000	chr10	4600000	4625000	+	-0.415351097844715
chr10-4625000	chr10	4625000	4650000	+	-0.376219081838605
chr10-4650000	chr10	4650000	4675000	+	-0.337827893088444
chr10-4675000	chr10	4675000	4700000	+	-0.339605701442373
chr10-4700000	chr10	4700000	4725000	+	-0.424751526427435
chr10-4725000	chr10	4725000	4750000	+	-0.531895744713492
chr10-4750000	chr10	4750000	4775000	+	-0.631435024945751
chr10-4775000	chr10	4775000	4800000	+	-0.661351427167224
chr10-4800000	chr10	4800000	4825000	+	-0.625101547525648
chr10-4825000	chr10	4825000	4850000	+	-0.576175829180276
chr10-4850000	chr10	4850000	4875000	+	-0.531266086194105
chr10-4875000	chr10	4875000	4900000	+	-0.472319060496244
chr10-4900000	chr10	4900000	4925000	+	-0.363755169118291
chr10-4925000	chr10	4925000	4950000	+	-0.139614523643568
chr10-4950000	chr10	4950000	4975000	+	0.206218125837216
chr10-4975000	chr10	4975000	5000000	+	0.60066584198651
chr10-5000000	chr10	5000000	5025000	+	1.19126037988058
chr10-5025000	chr10	5025000	5050000	+	1.53301355284584
chr10-5050000	chr10	5050000	5075000	+	1.6414362602989
chr10-5075000	chr10	5075000	5100000	+	1.67271819573547
chr10-5100000	chr10	5100000	5125000	+	1.6443046279824
chr10-5125000	chr10	5125000	5150000	+	1.66004902776714
chr10-5150000	chr10	5150000	5175000	+	1.67185790764799
chr10-5175000	chr10	5175000	5200000	+	1.67949626620783
chr10-5200000	chr10	5200000	5225000	+	1.66849507297605
chr10-5225000	chr10	5225000	5250000	+	1.62924219858799
chr10-5250000	chr10	5250000	5275000	+	1.61062693974447
chr10-5275000	chr10	5275000	5300000	+	1.63844025073527
chr10-5300000	chr10	5300000	5325000	+	1.66968024885626
chr10-5325000	chr10	5325000	5350000	+	1.67083663807454
chr10-5350000	chr10	5350000	5375000	+	1.65354103643525
chr10-5375000	chr10	5375000	5400000	+	1.66001649800309
chr10-5400000	chr10	5400000	5425000	+	1.65404825607518
chr10-5425000	chr10	5425000	5450000	+	1.71395450489667
chr10-5450000	chr10	5450000	5475000	+	1.72344271141992
chr10-5475000	chr10	5475000	5500000	+	1.73751089059573
chr10-5500000	chr10	5500000	5525000	+	1.70748593106301
chr10-5525000	chr10	5525000	5550000	+	1.71466676475168
chr10-5550000	chr10	5550000	5575000	+	1.63134792653608
chr10-5575000	chr10	5575000	5600000	+	1.26399167063083
chr10-5600000	chr10	5600000	5625000	+	0.858488201401659
chr10-5625000	chr10	5625000	5650000	+	0.419569428422899
chr10-5650000	chr10	5650000	5675000	+	0.04888875066429
chr10-5675000	chr10	5675000	5700000	+	-0.211915575058271
chr10-5700000	chr10	5700000	5725000	+	-0.288750175113508
chr10-5725000	chr10	5725000	5750000	+	-0.247988544656429
chr10-5750000	chr10	5750000	5775000	+	0.0837313372699917
chr10-5775000	chr10	5775000	5800000	+	0.956282872564612
chr10-5800000	chr10	5800000	5825000	+	1.32465954865071
chr10-5825000	chr10	5825000	5850000	+	1.14130063118553
chr10-5850000	chr10	5850000	5875000	+	0.722564051802746
chr10-5875000	chr10	5875000	5900000	+	0.700869532000745
chr10-5900000	chr10	5900000	5925000	+	0.78680873644835
chr10-5925000	chr10	5925000	5950000	+	0.284892712336003
chr10-5950000	chr10	5950000	5975000	+	-0.393651743065228
chr10-5975000	chr10	5975000	6000000	+	-0.553197326517926
chr10-6000000	chr10	6000000	6025000	+	-0.453129574755271
chr10-6025000	chr10	6025000	6050000	+	-0.337555714436917
chr10-6050000	chr10	6050000	6075000	+	-0.521173094639775
chr10-6075000	chr10	6075000	6100000	+	-0.707058209507326
chr10-6100000	chr10	6100000	6125000	+	-0.72013819843919
chr10-6125000	chr10	6125000	6150000	+	-0.725084580340606
chr10-6150000	chr10	6150000	6175000	+	-0.765371102478906
chr10-6175000	chr10	6175000	6200000	+	-0.801183006836732
chr10-6200000	chr10	6200000	6225000	+	-0.78027864361891
chr10-6225000	chr10	6225000	6250000	+	-0.635830600791978
chr10-6250000	chr10	6250000	6275000	+	-0.465699562980472
chr10-6275000	chr10	6275000	6300000	+	0.233131871677986
chr10-6300000	chr10	6300000	6325000	+	0.187028794061264
chr10-6325000	chr10	6325000	6350000	+	-0.423622259469368
chr10-6350000	chr10	6350000	6375000	+	-0.604876410084738
chr10-6375000	chr10	6375000	6400000	+	-0.620299940216402
chr10-6400000	chr10	6400000	6425000	+	-0.649542682187049
chr10-6425000	chr10	6425000	6450000	+	-0.612468181954619
chr10-6450000	chr10	6450000	6475000	+	-0.522943263566381
chr10-6475000	chr10	6475000	6500000	+	-0.398085069584628
chr10-6500000	chr10	6500000	6525000	+	-0.53122067696892
chr10-6525000	chr10	6525000	6550000	+	-0.70907735634234
chr10-6550000	chr10	6550000	6575000	+	-0.751194089481168
chr10-6575000	chr10	6575000	6600000	+	-0.820487393105863
chr10-6600000	chr10	6600000	6625000	+	-0.804456379650055
chr10-6625000	chr10	6625000	6650000	+	-0.746350786859857
chr10-6650000	chr10	6650000	6675000	+	-0.636592370588408
chr10-6675000	chr10	6675000	6700000	+	-0.531271477605611
chr10-6700000	chr10	6700000	6725000	+	-0.55855845489017
chr10-6725000	chr10	6725000	6750000	+	-0.633546183913107
chr10-6750000	chr10	6750000	6775000	+	-0.651476415902141
chr10-6775000	chr10	6775000	6800000	+	-0.595436779721105
chr10-6800000	chr10	6800000	6825000	+	-0.422639213244794
chr10-6825000	chr10	6825000	6850000	+	-0.123721804525342
chr10-6850000	chr10	6850000	6875000	+	0.356427307322064
chr10-6875000	chr10	6875000	6900000	+	1.10477505782803
chr10-6900000	chr10	6900000	6925000	+	1.4077659657252
chr10-6925000	chr10	6925000	6950000	+	1.41465554849427
chr10-6950000	chr10	6950000	6975000	+	1.49803317221364
chr10-6975000	chr10	6975000	7000000	+	1.54688611084493
chr10-7000000	chr10	7000000	7025000	+	1.34814443244806
chr10-7025000	chr10	7025000	7050000	+	1.16950627659241
chr10-7050000	chr10	7050000	7075000	+	1.49961443693972
chr10-7075000	chr10	7075000	7100000	+	1.65672738804966
chr10-7100000	chr10	7100000	7125000	+	1.68563483689844
chr10-7125000	chr10	7125000	7150000	+	1.70730326122261
chr10-7150000	chr10	7150000	7175000	+	1.70295900959677
chr10-7175000	chr10	7175000	7200000	+	1.70100406303991
chr10-7200000	chr10	7200000	7225000	+	1.67162792964606
chr10-7225000	chr10	7225000	7250000	+	1.6576232034431
chr10-7250000	chr10	7250000	7275000	+	1.71333573184961
chr10-7275000	chr10	7275000	7300000	+	1.71923752462864
chr10-7300000	chr10	7300000	7325000	+	1.66641746766999
chr10-7325000	chr10	7325000	7350000	+	1.49886978764879
chr10-7350000	chr10	7350000	7375000	+	1.02430385918772
chr10-7375000	chr10	7375000	7400000	+	0.780917350362999
chr10-7400000	chr10	7400000	7425000	+	0.68034749683354
chr10-7425000	chr10	7425000	7450000	+	0.650695507095783
chr10-7450000	chr10	7450000	7475000	+	0.756004838895856
chr10-7475000	chr10	7475000	7500000	+	0.846772988456553
chr10-7500000	chr10	7500000	7525000	+	0.561850733447177
chr10-7550000	chr10	7550000	7575000	+	0.773888685419299
chr10-7575000	chr10	7575000	7600000	+	1.4588419634059
chr10-7600000	chr10	7600000	7625000	+	1.54386903369389
chr10-7625000	chr10	7625000	7650000	+	1.58139315630487
chr10-7650000	chr10	7650000	7675000	+	1.67207736554114
chr10-7675000	chr10	7675000	7700000	+	1.62583597130484
chr10-7700000	chr10	7700000	7725000	+	1.53096869455913
chr10-7725000	chr10	7725000	7750000	+	1.45356077375189
chr10-7750000	chr10	7750000	7775000	+	1.48694589108639
chr10-7775000	chr10	7775000	7800000	+	1.53192915095672
chr10-7800000	chr10	7800000	7825000	+	1.34281018595899
chr10-7825000	chr10	7825000	7850000	+	0.832627698038983
chr10-7850000	chr10	7850000	7875000	+	0.592182649303409
chr10-7875000	chr10	7875000	7900000	+	0.715565325694916
chr10-7900000	chr10	7900000	7925000	+	1.09363145255943
chr10-7925000	chr10	7925000	7950000	+	1.26908662676176
chr10-7950000	chr10	7950000	7975000	+	0.931012734472199
chr10-7975000	chr10	7975000	8000000	+	0.0595258251631307
chr10-8000000	chr10	8000000	8025000	+	-0.375408479908783
chr10-8025000	chr10	8025000	8050000	+	-0.585692354739987
chr10-8050000	chr10	8050000	8075000	+	-0.586696067208577
chr10-8075000	chr10	8075000	8100000	+	-0.557720967237162
chr10-8100000	chr10	8100000	8125000	+	-0.525163976850431
chr10-8125000	chr10	8125000	8150000	+	-0.522793833205307
chr10-8150000	chr10	8150000	8175000	+	-0.351769236587408
chr10-8175000	chr10	8175000	8200000	+	0.282589366133865
chr10-8200000	chr10	8200000	8225000	+	0.96951836309209
chr10-8225000	chr10	8225000	8250000	+	1.07022260122242
chr10-8250000	chr10	8250000	8275000	+	1.0835994440446
chr10-8275000	chr10	8275000	8300000	+	1.23529479271294
chr10-8300000	chr10	8300000	8325000	+	1.22713724089574
chr10-8325000	chr10	8325000	8350000	+	1.34619718774663
chr10-8350000	chr10	8350000	8375000	+	1.32547067583859
