loop_id	shift_detected	ctrl_peak_row	ctrl_peak_col	mut_peak_row	mut_peak_col	ctrl_centered	mut_centered
loop_1	TRUE	3	3	1	4	TRUE	FALSE
loop_2	FALSE	3	3	3	3	TRUE	TRUE
loop_3	FALSE	5	2	5	2	FALSE	FALSE
loop_4	FALSE	5	3	5	3	FALSE	FALSE
loop_5	FALSE	5	1	5	1	FALSE	FALSE
loop_6	TRUE	3	3	3	4	TRUE	FALSE
loop_7	TRUE	4	3	5	1	FALSE	FALSE
loop_8	TRUE	3	3	2	3	TRUE	FALSE
loop_9	FALSE	5	1	5	1	FALSE	FALSE
loop_10	TRUE	3	3	4	5	TRUE	FALSE
loop_11	FALSE	3	3	3	3	TRUE	TRUE
loop_12	TRUE	4	1	4	3	FALSE	FALSE
loop_13	TRUE	3	3	2	1	TRUE	FALSE
loop_14	TRUE	3	3	4	2	TRUE	FALSE
loop_15	TRUE	3	3	2	4	TRUE	FALSE
loop_16	TRUE	3	3	2	3	TRUE	FALSE
loop_17	FALSE	3	3	3	3	TRUE	TRUE
loop_18	TRUE	1	2	2	5	FALSE	FALSE
loop_19	TRUE	3	3	4	2	TRUE	FALSE
loop_20	FALSE	5	1	5	1	FALSE	FALSE
loop_21	TRUE	3	4	5	5	FALSE	FALSE
loop_22	TRUE	3	3	3	4	TRUE	FALSE
loop_23	TRUE	4	2	5	1	FALSE	FALSE
loop_24	TRUE	3	3	2	4	TRUE	FALSE
loop_25	FALSE	5	2	5	2	FALSE	FALSE
loop_26	TRUE	3	3	4	3	TRUE	FALSE
loop_27	TRUE	3	3	2	2	TRUE	FALSE
loop_28	FALSE	3	3	3	3	TRUE	TRUE
loop_29	TRUE	3	3	5	2	TRUE	FALSE
loop_30	TRUE	1	1	3	3	FALSE	TRUE
loop_31	TRUE	3	3	3	4	TRUE	FALSE
loop_32	TRUE	3	3	4	4	TRUE	FALSE
loop_33	TRUE	3	3	3	2	TRUE	FALSE
loop_34	TRUE	3	3	2	5	TRUE	FALSE
loop_35	FALSE	5	1	5	1	FALSE	FALSE
loop_36	TRUE	4	3	5	3	FALSE	FALSE
loop_37	TRUE	4	3	5	1	FALSE	FALSE
loop_38	FALSE	3	3	3	3	TRUE	TRUE
loop_39	TRUE	2	3	5	3	FALSE	FALSE
