TargetGene	log2FC	padj	baseMean	sum_delta_activity	sum_delta_contact	sum_delta_unnorm	sum_delta_abc	n_enhancers	is_de
0610009E02Rik	-0.333899	0.416098	77.816098	-4.088134	0.00370799999999999	-0.106707	-0.009379	3	FALSE
0610030E20Rik	-0.004591	0.989496	223.23571	-8.00118	0.029518	0.063139	-0.001999	15	FALSE
0610040J01Rik	-0.410215	0.080169	142.972051	5.53733	0.006731	0.024599	0.006764	12	FALSE
0610043K17Rik	0.271408	0.585818	41.93564	-5.414538	-0.00128700000000001	-0.04619	-0.002906	13	FALSE
1110002E22Rik	-0.041783	0.982414	6.030834	-19.707151	-0.015327	-0.98772	-0.035195	11	FALSE
1110002J07Rik	0.156335	0.945376	2.732645	-0.151200999999995	0.00138699999999999	-0.111744	0.031503	11	FALSE
1110004F10Rik	0.122802	0.530699	338.735746	9.340832	0.011005	0.453186	0.036694	7	FALSE
1110018N20Rik	0.920083	0.148889	7.40112	2.766783	0.035005	1.198916	0.074015	11	FALSE
1110019D14Rik	-0.622608	7e-05	157.279584	-5.534616	0.010559	-0.119015	0.096081	8	TRUE
1110038B12Rik	-0.052412	0.959898	16.839645	-3.473915	-0.00723300000000001	-0.10553	0.005256	12	FALSE
1110038F14Rik	-0.090599	0.896425	39.25877	2.470438	0.01274	0.307588	0.042101	5	FALSE
1110059E24Rik	-0.289425	0.00056	354.643936	-11.89107	0.00625	-0.423372	-0.012788	5	TRUE
1110059G10Rik	0.001786	0.998044	56.811989	-0.0427849999999954	-0.00565100000000001	-0.126243	-0.013865	9	FALSE
1110065P20Rik	-0.329356	0.756357	8.799343	2.764988	0.00117299999999999	0.051742	-0.007564	6	FALSE
1300002E11Rik	-0.006516	0.985649	375.11011	1.719556	0.00131999999999999	-0.219587	-0.048371	5	FALSE
1500004A13Rik	0.030705	0.943211	188.076355	9.640603	0.038719	0.693168	0.052132	7	FALSE
1500009L16Rik	0.304749	0.125404	78.783842	4.207583	0.022604	0.419595	0.049137	11	FALSE
1500012K07Rik	-1.099014	0.063366	9.304954	-22.574818	-0.00621000000000001	-1.744084	-0.009347	8	FALSE
1600012H06Rik	0.204943	0.582742	46.357459	12.901446	-0.049543	-0.00128	0.010104	7	FALSE
1600014C10Rik	0.46774	0.338925	14.20423	-24.887104	-0.069409	-1.222209	-0.033623	7	FALSE
1700001J03Rik	0.147465	0.934194	4.588423	-0.789281999999998	-0.000522000000000002	-0.426298	-0.004849	6	FALSE
1700001K19Rik	-0.279436	0.457765	46.982215	-3.966455	-0.005841	-0.094035	-0.01302	10	FALSE
1700001L05Rik	0.118206	0.95593	3.598531	-7.593892	0.009689	-0.08432	-0.027641	6	FALSE
1700001O22Rik	0.972422	0.086279	7.398984	2.37049	0.021565	0.334234	0.00688	10	FALSE
1700003E16Rik	-0.220752	0.839942	8.168685	3.791187	0.009659	0.222552	0.02179	16	FALSE
1700003M07Rik	-0.783961	0.278929	9.782634	1.098422	0.014337	0.160848	-0.018771	10	FALSE
1700008O03Rik	-0.142497	0.769906	32.319961	11.086442	0.005101	0.523637	0.017961	11	FALSE
1700010I14Rik	0.142969	0.915738	8.704775	-11.456101	-0.031257	-0.086473	-0.019925	9	FALSE
1700010L04Rik	-0.294644	0.901226	1.873634	2.936916	-0.000549000000000002	0.099542	0.010872	6	FALSE
1700012C14Rik	-1.223393	0.218478	3.02499	-4.383841	-0.007123	-0.769224	-0.001901	5	FALSE
1700016P03Rik	0.083286	0.961934	33.25538	-12.62764	-0.0132900000000001	-0.778907	-0.0169	9	FALSE
1700017B05Rik	-0.354845	0.115424	123.474073	5.59998999999999	0.00974499999999999	0.101609	0.00507	6	FALSE
1700017N19Rik	-1.394173	0.32043	1.886931	-3.226964	0.003242	-0.025793	0.011254	5	FALSE
1700019A02Rik	-0.960592	1.2e-05	66.904595	4.667714	-0.016856	-0.315254	-0.032178	11	TRUE
1700019D03Rik	0.287193	0.181769	129.856104	-1.338858	0.01928	0.208147	0.040063	13	FALSE
1700025G04Rik	-0.026949	0.950143	4518.728659	-23.186953	0.00431000000000002	-0.555538	0.008273	11	FALSE
1700028E10Rik	-0.001012	0.999193	7.93143	4.742423	0.004608	0.086418	0.00694	3	FALSE
1700028J19Rik	1.005886	0.271012	4.134035	6.459744	0.004961	0.084074	-0.002882	7	FALSE
1700029H14Rik	0.286376	0.616629	21.522236	-5.78036	0.015441	0.141257	-0.0126	11	FALSE
1700030J22Rik	-0.576874	0.175807	14.314119	-6.64927199999999	-0.000124999999999993	-0.157127	0.009371	6	FALSE
1700030K09Rik	-0.27058	0.353861	68.572057	1.14319	-0.00409699999999999	-0.034599	0.01201	8	FALSE
1700036A12Rik	-0.229216	0.680051	20.736492	-17.805778	0.00102599999999999	-0.160333	-0.029857	7	FALSE
1700040D17Rik	-0.193282	0.824627	12.924392	-0.966322999999992	-0.00864	-0.057492	-0.001728	6	FALSE
1700041G16Rik	-0.104045	0.95593	5.630959	4.99998	0.01122	0.44916	0.016845	6	FALSE
1700047M11Rik	0.305575	0.387222	40.844805	-0.282778999999999	-0.00176600000000001	-0.029784	0.037438	7	FALSE
1700056N10Rik	0.110946	0.830537	30.644451	7.742455	-0.02186	0.214409	0.056433	10	FALSE
1700057H15Rik	-0.030268	0.986842	5.268909	-1.063185	0.014738	0.034887	0.01864	10	FALSE
1700063D05Rik	-0.66388	0.02684	23.146441	-7.712312	-0.052468	-1.255617	-0.003401	10	TRUE
1700064H15Rik	-0.028785	0.986038	8.424604	3.908866	-0.00613	-0.036561	-0.031636	7	FALSE
1700066M21Rik	-0.212052	0.45257	86.056979	-1.80726	-0.00117800000000001	-0.005409	-0.000988000000000003	8	FALSE
1700067K01Rik	-0.434343	0.305749	20.796069	0.997569999999996	-0.00351200000000001	0.179173	0.005909	11	FALSE
1700069L16Rik	1.022794	3e-06	38.047383	-0.917020000000008	-0.00361	0.315005	-0.02148	6	TRUE
1700086O06Rik	0.086931	0.85738	44.148192	-10.218455	-0.015964	-0.598352	-0.017567	5	FALSE
1700086P04Rik	-0.397781	0.519236	10.280897	-5.99474	-0.002877	-0.420423	-0.005058	6	FALSE
1700088E04Rik	-0.791298	0.284712	5.650389	-5.832735	0.00923599999999999	-0.174668	-0.001944	7	FALSE
1700094M23Rik	-0.077683	0.933371	42.971023	-158.961963	-0.072313	-0.421008	-0.47055	16	FALSE
1700096K18Rik	-0.202471	0.865492	6.948306	1.874302	4.39999999999989e-05	0.074366	0.027768	3	FALSE
1700102P08Rik	0.195096	0.677939	24.474828	5.461356	0.016593	0.211091	0.033365	11	FALSE
1700109H08Rik	0.095056	0.63526	469.021583	-176.8039	-0.139696	-1.301384	-0.788833	13	FALSE
1700110C19Rik	-0.257876	0.488773	38.901904	-66.687049	-0.39777	-2.30644	-0.439606	7	FALSE
1700110I01Rik	0.440112	0.80571	2.671798	4.492557	-0.003056	0.073626	0.091634	12	FALSE
1700112J16Rik	-1.102814	0.003524	12.971077	-14.176247	-0.000434999999999991	-0.357967	-0.057871	8	TRUE
1700120C14Rik	0.359416	0.748531	5.510147	1.89275	0.00938300000000001	0.081078	-0.013441	5	FALSE
1700123J17Rik	-0.232954	0.90701	3.061949	3.20728	-0.016911	0.259573	-0.015647	5	FALSE
1700123M08Rik	0.056835	0.927578	49.192622	8.83069	-0.006657	-0.026074	-0.006835	5	FALSE
1700123O20Rik	-0.107375	0.837819	33.860613	-2.458521	-0.006794	-0.113107	-0.006927	5	FALSE
1810010H24Rik	-0.447462	0.116138	35.82194	9.296177	0.013137	0.382429	0.039331	9	FALSE
1810010K12Rik	0.17709	0.935144	3.415496	-2.80933599999999	0.040966	0.130594	0.024249	14	FALSE
1810019N24Rik	-0.79064	0.181732	7.808709	-0.0228429999999999	-0.029644	-0.865584	0.035646	11	FALSE
1810024B03Rik	-0.018906	0.989708	7.722327	9.732691	-0.024084	-0.162631	-0.019988	7	FALSE
1810030O07Rik	0.130309	0.504058	137.751007	-7.974178	-0.029406	-0.499678	-0.030344	7	FALSE
