loop_id	anchor	start	end	midpoint	nearest_gene	distance_to_tss	is_promoter	anchor_num
loop_3407	chr8	71175000	71180000	71177500	69419	89241	FALSE	1
loop_32	chr8	49530000	49540000	49535000	23965	686048	FALSE	1
loop_40	chr8	69420000	69430000	69425000	378466	24460	FALSE	1
loop_17497	chr8	57325000	57350000	57337500	75996	0	FALSE	1
loop_1233	chr9	40880000	40890000	40885000	244813	5872	FALSE	1
loop_2388	chr8	34870000	34880000	34875000	319520	62702	FALSE	1
loop_4173	chr5	15540000	15550000	15545000	100861755	10777	FALSE	1
loop_4400	chr8	71140000	71150000	71145000	69419	54241	FALSE	1
loop_4402	chr8	34850000	34860000	34855000	319520	42702	FALSE	1
loop_4482	chr8	71210000	71220000	71215000	17925	52713	FALSE	1
loop_7624	chr8	34820000	34830000	34825000	319520	12702	FALSE	1
loop_8921	chr8	40180000	40190000	40185000	78506	117457	FALSE	1
loop_8976	chr8	36525000	36550000	36537500	319582	67451	FALSE	1
loop_8987	chr8	48220000	48230000	48225000	320685	120907	FALSE	1
loop_10730	chr13	9180000	9190000	9185000	217980	86118	FALSE	1
loop_12248	chr16	49010000	49020000	49015000	224171	15814	FALSE	1
loop_13109	chr1	79780000	79790000	79785000	69368	3856	FALSE	1
loop_15975	chr4	82510000	82520000	82515000	102635783	1983	TRUE	1
loop_16412	chr5	15520000	15530000	15525000	100861755	0	TRUE	1
loop_16947	chr7	131550000	131575000	131562500	12237	0	FALSE	1
loop_18278	chr8	40180000	40190000	40185000	78506	117457	FALSE	1
loop_18319	chr8	71190000	71200000	71195000	17925	72713	FALSE	1
loop_20492	chr7	56940000	56950000	56945000	14407	437187	FALSE	1
loop_22318	chr12	56680000	56690000	56685000	18511	1766	FALSE	1
loop_51	chr8	48200000	48225000	48212500	320685	100907	FALSE	1
loop_59	chr8	57300000	57325000	57312500	15111	0	FALSE	1
loop_62	chr8	57300000	57325000	57312500	15111	0	FALSE	1
loop_225	chr11	85825000	85850000	85837500	69909	0	FALSE	1
loop_1348	chr8	49475000	49500000	49487500	23965	631048	FALSE	1
loop_1364	chr8	48525000	48550000	48537500	23965	293950	FALSE	1
loop_1379	chr8	57325000	57350000	57337500	75996	0	FALSE	1
loop_1570	chr11	85875000	85900000	85887500	21387	0	FALSE	1
loop_2812	chr11	85825000	85850000	85837500	69909	0	FALSE	1
loop_4978	chr8	34200000	34225000	34212500	102465211	33287	FALSE	1
loop_5064	chr8	48550000	48575000	48562500	23965	268950	FALSE	1
loop_5073	chr8	70900000	70925000	70912500	270058	0	FALSE	1
loop_5077	chr8	49800000	49825000	49812500	100039954	543111	FALSE	1
loop_6819	chr4	32700000	32725000	32712500	100019	42880	FALSE	1
loop_7450	chr8	49650000	49675000	49662500	100039954	693111	FALSE	1
loop_8807	chr8	71125000	71150000	71137500	69419	39241	FALSE	1
loop_8870	chr8	34875000	34900000	34887500	21951	65689	FALSE	1
loop_9088	chr8	48200000	48225000	48212500	320685	100907	FALSE	1
loop_9154	chr8	12375000	12400000	12387500	434280	0	FALSE	1
loop_10464	chr11	85825000	85850000	85837500	69909	0	FALSE	1
loop_13418	chr19	43600000	43625000	43612500	18089	0	FALSE	1
loop_15022	chr3	96325000	96350000	96337500	100504145	0	FALSE	1
loop_19036	chr3	66975000	67000000	66987500	66880	0	FALSE	1
loop_19672	chr10	42575000	42600000	42587500	21907	0	FALSE	1
loop_20652	chr14	95950000	95975000	95962500	66732	68745	FALSE	1
loop_3407	chr8	71815000	71820000	71817500	236193	62018	FALSE	2
loop_32	chr8	49820000	49830000	49825000	100039954	538111	FALSE	2
loop_40	chr8	69500000	69510000	69505000	378466	104460	FALSE	2
loop_17497	chr8	108700000	108725000	108712500	109215	115404	FALSE	2
loop_1233	chr9	41570000	41580000	41575000	387236	1925	FALSE	2
loop_2388	chr8	35470000	35480000	35475000	67276	16195	FALSE	2
loop_4173	chr5	15590000	15600000	15595000	105242399	12666	FALSE	2
loop_4400	chr8	71830000	71840000	71835000	236193	42018	FALSE	2
loop_4402	chr8	35460000	35470000	35465000	67276	26195	FALSE	2
loop_4482	chr8	71780000	71790000	71785000	74015	54283	FALSE	2
loop_7624	chr8	35460000	35470000	35465000	67276	26195	FALSE	2
loop_8921	chr8	40380000	40390000	40385000	70546	33814	FALSE	2
loop_8976	chr8	37050000	37075000	37062500	414128	25761	FALSE	2
loop_8987	chr8	49820000	49830000	49825000	100039954	538111	FALSE	2
loop_10730	chr13	9840000	9850000	9845000	66505	74669	FALSE	2
loop_12248	chr16	49320000	49330000	49325000	667772	262513	FALSE	2
loop_13109	chr1	80100000	80110000	80105000	241128	108472	FALSE	2
loop_15975	chr4	82700000	82710000	82705000	18028	0	TRUE	2
loop_16412	chr5	15580000	15590000	15585000	105242399	2666	FALSE	2
loop_16947	chr7	137300000	137325000	137312500	13593	0	TRUE	2
loop_18278	chr8	40290000	40300000	40295000	78506	7457	FALSE	2
loop_18319	chr8	71810000	71820000	71815000	236193	62018	FALSE	2
loop_20492	chr7	57380000	57390000	57385000	791383	0	FALSE	2
loop_22318	chr12	57190000	57200000	57195000	217593	0	FALSE	2
loop_51	chr8	50275000	50300000	50287500	100039954	68111	FALSE	2
loop_59	chr8	108700000	108725000	108712500	109215	115404	FALSE	2
loop_62	chr8	89025000	89050000	89037500	58198	0	FALSE	2
loop_225	chr11	96325000	96350000	96337500	103889	1630	FALSE	2
loop_1348	chr8	49800000	49825000	49812500	100039954	543111	FALSE	2
loop_1364	chr8	49825000	49850000	49837500	100039954	518111	FALSE	2
loop_1379	chr8	89025000	89050000	89037500	58198	0	FALSE	2
loop_1570	chr11	96325000	96350000	96337500	103889	1630	FALSE	2
loop_2812	chr11	96300000	96325000	96312500	75395	0	FALSE	2
loop_4978	chr8	34375000	34400000	34387500	102465211	208287	FALSE	2
