loop_id	chr1	start1	end1	chr2	start2	end2	logFC	logCPM	FDR	PValue	significant	resolution_kb	n_overlaps	loop_distance	loop_type	direction	category
loop_3407	chr8	71175000	71180000	chr8	71815000	71820000	1.07826328357265	5.63801523485481	6.41805131343109e-05	3.87002611760196e-09	TRUE	5	3	640000	Other-Other	up_in_mutant	strong_differential
loop_32	chr8	49530000	49540000	chr8	49820000	49830000	-0.656745583497517	4.78133661017832	0.0151096569131776	4.67667131200227e-06	TRUE	10	2	290000	Poised_Enhancer-Other	down_in_mutant	moderate_differential
loop_40	chr8	69420000	69430000	chr8	69500000	69510000	0.59084196623847	7.67639541537817	0.0248298304142024	1.97619803438116e-05	TRUE	10	1	80000	Poised_Enhancer-Other	up_in_mutant	moderate_differential
loop_17497	chr8	57325000	57350000	chr8	108700000	108725000	-1.2395045022369	1.20084802620893	0.0105770426836539	4.24467514857828e-06	TRUE	25	2	51375000	Poised_Enhancer-Other	down_in_mutant	strong_differential
loop_1233	chr9	40880000	40890000	chr9	41570000	41580000	-0.746865476518875	3.8875052480666	0.0288629718344913	3.06292591098245e-05	TRUE	10	1	690000	Other-Other	down_in_mutant	moderate_differential
loop_2388	chr8	34870000	34880000	chr8	35470000	35480000	0.409405291407823	5.59657024642195	0.0203269185673291	1.31280553901219e-05	TRUE	10	1	6e+05	Poised_Enhancer-Other	up_in_mutant	weak_differential
loop_4173	chr5	15540000	15550000	chr5	15590000	15600000	0.461058202285715	7.23115180012578	0.0288629718344913	3.01120608974361e-05	TRUE	10	1	50000	Other-Other	up_in_mutant	weak_differential
loop_4400	chr8	71140000	71150000	chr8	71830000	71840000	0.584956492162266	5.7390896144676	0.0126927796230953	2.26249233725437e-06	TRUE	10	1	690000	Other-Other	up_in_mutant	moderate_differential
loop_4402	chr8	34850000	34860000	chr8	35460000	35470000	0.440323437127408	5.42334474839126	0.0126927796230953	2.80615042958421e-06	TRUE	10	1	610000	Poised_Enhancer-Other	up_in_mutant	weak_differential
loop_4482	chr8	71210000	71220000	chr8	71780000	71790000	1.49389800993366	4.73699026888783	0.0001443266581519	1.27632347145361e-08	TRUE	10	1	570000	Other-Other	up_in_mutant	strong_differential
loop_7624	chr8	34820000	34830000	chr8	35460000	35470000	0.571269203610204	4.70797537857336	0.016552702708463	6.58712081606681e-06	TRUE	10	1	640000	Poised_Enhancer-Other	up_in_mutant	moderate_differential
loop_8921	chr8	40180000	40190000	chr8	40380000	40390000	0.387186708723159	5.79552440937429	0.0194196443930101	1.03040207249788e-05	TRUE	10	1	2e+05	Poised_Enhancer-Poised_Enhancer	up_in_mutant	weak_differential
loop_8976	chr8	36525000	36550000	chr8	37050000	37075000	0.426450581847571	4.93273348477975	0.0152941059360189	8.85989331518526e-06	TRUE	25	2	525000	Poised_Enhancer-Other	up_in_mutant	weak_differential
loop_8987	chr8	48220000	48230000	chr8	49820000	49830000	-0.905794553208113	3.7898328490855	0.0148989415760903	3.95267286242227e-06	TRUE	10	1	1600000	Poised_Enhancer-Poised_Enhancer	down_in_mutant	moderate_differential
loop_10730	chr13	9180000	9190000	chr13	9840000	9850000	-0.402660339656195	4.98007848290458	0.0288629718344913	2.99598405296893e-05	TRUE	10	1	660000	Poised_Enhancer-Poised_Enhancer	down_in_mutant	weak_differential
loop_12248	chr16	49010000	49020000	chr16	49320000	49330000	0.565842434935131	4.36144638779271	0.0194196443930101	9.10114008353855e-06	TRUE	10	1	310000	Poised_Enhancer-Other	up_in_mutant	moderate_differential
loop_13109	chr1	79780000	79790000	chr1	80100000	80110000	0.40082827244254	5.46560249102939	0.0269648459335694	2.26535228483294e-05	TRUE	10	1	320000	Other-Other	up_in_mutant	weak_differential
loop_15975	chr4	82510000	82520000	chr4	82700000	82710000	-0.662704695005056	3.98462281283806	0.0203269185673291	1.32153234598747e-05	TRUE	10	1	190000	Promoter-Promoter	down_in_mutant	moderate_differential
