threshold	category	bp	n_regions	pct_genome
Standard (FDR<0.05, |Diff|>0.30)	Flipped A->B	42350000	1694	1.5507868367605
Standard (FDR<0.05, |Diff|>0.30)	Flipped B->A	60650000	2426	2.22090251828865
Standard (FDR<0.05, |Diff|>0.30)	Strengthened A	56450000	2258	2.06710547662645
Standard (FDR<0.05, |Diff|>0.30)	Strengthened B	12225000	489	0.447659246266756
Standard (FDR<0.05, |Diff|>0.30)	Weakened A	17225000	689	0.630750962531278
Standard (FDR<0.05, |Diff|>0.30)	Weakened B	14950000	598	0.547444231630921
Standard (FDR<0.05, |Diff|>0.30)	No Change	2527021774	93530	92.5353507278954
Relaxed (FDR<0.15, |Diff|>0.15)	Flipped A->B	76250000	3050	2.79214867303396
Relaxed (FDR<0.15, |Diff|>0.15)	Flipped B->A	95500000	3820	3.49705178065237
Relaxed (FDR<0.15, |Diff|>0.15)	Strengthened A	168475000	6739	6.16927537953307
Relaxed (FDR<0.15, |Diff|>0.15)	Strengthened B	88450000	3538	3.2388924607194
Relaxed (FDR<0.15, |Diff|>0.15)	Weakened A	143350000	5734	5.24923950530385
Relaxed (FDR<0.15, |Diff|>0.15)	Weakened B	96300000	3852	3.52634645525469
Relaxed (FDR<0.15, |Diff|>0.15)	No Change	2062546774	74951	75.5270457455027
