#TAD name	chr1	start1	end1	chr2	start2	end2	color	InclustionRatio(IR)	Length	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/ctrl_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/ctrl_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/ctrl_M3/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/mut_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/mut_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/mut_M3/tagdirs IR
chr10:3981000-4385998	chr10	3981000	4385998	chr10	3981000	4385998	255,255,0	5.303000	404998	5.303111	4.837490	4.663970	4.892188	4.872488	4.528413
chr10:4602000-5024998	chr10	4602000	5024998	chr10	4602000	5024998	255,255,0	1.583000	422998	1.570082	1.584512	1.526447	1.561992	1.582974	1.571381
chr10:5475000-5558998	chr10	5475000	5558998	chr10	5475000	5558998	255,255,0	2.249000	83998	2.414139	2.348533	2.248799	2.387505	2.242098	2.231837
chr10:5589000-5798998	chr10	5589000	5798998	chr10	5589000	5798998	255,255,0	3.080000	209998	3.080078	3.327792	3.063808	2.991661	3.308192	2.860786
chr10:5820000-6872998	chr10	5820000	6872998	chr10	5820000	6872998	255,255,0	2.482000	1052998	2.526551	2.390628	2.346493	2.449716	2.471371	2.382458
chr10:6879000-7013998	chr10	6879000	7013998	chr10	6879000	7013998	255,255,0	2.329000	134998	2.328637	2.320863	2.223814	2.113207	2.252640	1.950285
chr10:7800000-8246998	chr10	7800000	8246998	chr10	7800000	8246998	255,255,0	2.530000	446998	2.624028	2.560022	2.506849	2.606305	2.706154	2.529742
chr10:8241000-8525998	chr10	8241000	8525998	chr10	8241000	8525998	255,255,0	2.164000	284998	2.265879	2.122389	2.127160	2.164071	2.149811	2.157820
chr10:8316000-8525998	chr10	8316000	8525998	chr10	8316000	8525998	255,255,0	2.229000	209998	2.192069	2.145809	2.107036	2.146390	2.229047	2.114643
chr10:8730000-9761998	chr10	8730000	9761998	chr10	8730000	9761998	255,255,0	2.565000	1031998	2.432306	2.399039	2.381513	2.507931	2.564983	2.391701
chr10:9768000-10343998	chr10	9768000	10343998	chr10	9768000	10343998	255,255,0	2.549000	575998	2.631659	2.529580	2.492011	2.623052	2.665538	2.527349
chr10:10344000-11216998	chr10	10344000	11216998	chr10	10344000	11216998	255,255,0	2.518000	872998	2.643309	2.555956	2.512109	2.543920	2.582379	2.508190
chr10:10593000-11156998	chr10	10593000	11156998	chr10	10593000	11156998	255,255,0	2.613000	563998	2.525640	2.522017	2.492107	2.540381	2.613356	2.503823
chr10:11352000-12650998	chr10	11352000	12650998	chr10	11352000	12650998	255,255,0	2.096000	1298998	2.243431	2.130553	2.089840	2.329871	2.367882	2.323587
chr10:12675000-13004998	chr10	12675000	13004998	chr10	12675000	13004998	255,255,0	2.943000	329998	2.943388	2.864661	2.684421	2.799154	2.887560	2.798264
chr10:13011000-13442998	chr10	13011000	13442998	chr10	13011000	13442998	255,255,0	2.712000	431998	2.820758	2.847576	2.711808	2.878120	2.947189	2.805715
chr10:13548000-14213998	chr10	13548000	14213998	chr10	13548000	14213998	255,255,0	2.551000	665998	2.841595	2.712047	2.619741	2.559158	2.517958	2.549577
chr10:14724000-15185998	chr10	14724000	15185998	chr10	14724000	15185998	255,255,0	1.726000	461998	1.692822	1.675189	1.703228	1.717502	1.769517	1.692162
chr10:14724000-15278998	chr10	14724000	15278998	chr10	14724000	15278998	255,255,0	1.728000	554998	1.728412	1.663404	1.640058	1.645584	1.692404	1.642997
chr10:16932000-16991998	chr10	16932000	16991998	chr10	16932000	16991998	255,255,0	1.697000	59998	1.652513	1.608733	1.631400	1.641384	1.494716	1.578693
chr10:16986000-17729998	chr10	16986000	17729998	chr10	16986000	17729998	255,255,0	2.190000	743998	2.247470	2.255736	2.223603	2.193857	2.189501	2.171195
chr10:17730000-18221998	chr10	17730000	18221998	chr10	17730000	18221998	255,255,0	2.582000	491998	2.673524	2.665898	2.507176	2.493215	2.697148	2.565800
chr10:18384000-18542998	chr10	18384000	18542998	chr10	18384000	18542998	255,255,0	2.588000	158998	2.598235	2.397492	2.473673	2.386886	2.552100	2.587770
chr10:18552000-18914998	chr10	18552000	18914998	chr10	18552000	18914998	255,255,0	1.897000	362998	1.905763	1.852397	1.825206	1.897300	1.885561	1.877931
chr10:18609000-18749998	chr10	18609000	18749998	chr10	18609000	18749998	255,255,0	1.534000	140998	1.487518	1.533821	1.406458	1.427834	1.437910	1.453268
chr10:18834000-18908998	chr10	18834000	18908998	chr10	18834000	18908998	255,255,0	1.865000	74998	1.638221	1.865055	1.690329	1.720789	1.770418	1.678904
chr10:18915000-19217998	chr10	18915000	19217998	chr10	18915000	19217998	255,255,0	2.328000	302998	2.159116	2.166336	2.152405	2.243425	2.275051	2.182915
chr10:19230000-19526998	chr10	19230000	19526998	chr10	19230000	19526998	255,255,0	2.577000	296998	2.474009	2.576732	2.577124	2.556043	2.642953	2.426908
chr10:19698000-19901998	chr10	19698000	19901998	chr10	19698000	19901998	255,255,0	1.820000	203998	1.592387	1.706747	1.648342	1.819911	1.865918	1.628146
chr10:19905000-20135998	chr10	19905000	20135998	chr10	19905000	20135998	255,255,0	2.626000	230998	2.752095	2.625996	2.549560	2.579077	2.717680	2.442383
chr10:20352000-20954998	chr10	20352000	20954998	chr10	20352000	20954998	255,255,0	3.190000	602998	3.189998	3.152325	3.134521	3.221057	3.381352	3.274308
chr10:20964000-21203998	chr10	20964000	21203998	chr10	20964000	21203998	255,255,0	3.108000	239998	2.928164	3.078150	2.867735	2.963787	3.185927	2.884274
chr10:21372000-22016998	chr10	21372000	22016998	chr10	21372000	22016998	255,255,0	4.044000	644998	3.877443	3.812247	3.810248	4.043832	4.208353	3.850521
chr10:22017000-22493998	chr10	22017000	22493998	chr10	22017000	22493998	255,255,0	2.757000	476998	2.547333	2.604820	2.548003	2.749711	2.843470	2.751032
chr10:22563000-22790998	chr10	22563000	22790998	chr10	22563000	22790998	255,255,0	2.943000	227998	2.943374	3.063323	3.163352	2.897154	3.304560	3.006954
chr10:23082000-23786998	chr10	23082000	23786998	chr10	23082000	23786998	255,255,0	2.747000	704998	2.785953	2.770259	2.699894	2.725661	2.987640	2.746736
chr10:23796000-24143998	chr10	23796000	24143998	chr10	23796000	24143998	255,255,0	2.984000	347998	3.248466	3.178698	3.091486	2.977376	3.137820	2.983614
chr10:24165000-24311998	chr10	24165000	24311998	chr10	24165000	24311998	255,255,0	2.370000	146998	2.411483	2.456044	2.369662	2.608862	2.772894	2.554198
chr10:24333000-24626998	chr10	24333000	24626998	chr10	24333000	24626998	255,255,0	1.677000	293998	1.625755	1.616250	1.552166	1.605704	1.675548	1.617937
chr10:24372000-24626998	chr10	24372000	24626998	chr10	24372000	24626998	255,255,0	1.676000	254998	1.616901	1.664171	1.613544	1.608417	1.652754	1.650552
chr10:24621000-24857998	chr10	24621000	24857998	chr10	24621000	24857998	255,255,0	1.866000	236998	1.706293	1.884713	1.708038	1.797277	1.865884	1.698841
chr10:24864000-25253998	chr10	24864000	25253998	chr10	24864000	25253998	255,255,0	3.400000	389998	3.399750	3.173448	3.073752	3.092956	3.014662	2.989069
chr10:24951000-25232998	chr10	24951000	25232998	chr10	24951000	25232998	255,255,0	3.063000	281998	3.375949	3.180094	3.085401	3.322644	3.277849	3.059912
chr10:25260000-25499998	chr10	25260000	25499998	chr10	25260000	25499998	255,255,0	2.241000	239998	2.232380	2.177769	2.134236	2.335425	2.198835	2.240791
chr10:25671000-26150998	chr10	25671000	26150998	chr10	25671000	26150998	255,255,0	1.960000	479998	1.969259	1.928115	1.960174	1.961597	1.957587	1.913197
chr10:26703000-26900998	chr10	26703000	26900998	chr10	26703000	26900998	255,255,0	2.113000	197998	2.113168	2.151889	2.156892	2.253809	2.190748	2.174381
chr10:26907000-28904998	chr10	26907000	28904998	chr10	26907000	28904998	255,255,0	2.182000	1997998	2.144859	2.181530	2.151470	2.165741	2.228644	2.104716
chr10:27120000-27776998	chr10	27120000	27776998	chr10	27120000	27776998	255,255,0	1.971000	656998	2.033324	2.037992	1.984805	1.971067	2.102347	1.975842
chr10:27828000-28889998	chr10	27828000	28889998	chr10	27828000	28889998	255,255,0	2.127000	1061998	2.095080	2.175921	2.144027	2.219895	2.116251	2.117860
