#TAD name	chr1	start1	end1	chr2	start2	end2	color	InclustionRatio(IR)	Length	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs IR
chr10:5016000-5576998	chr10	5016000	5576998	chr10	5016000	5576998	255,255,0	2.831000	560998	2.967264	2.825905	2.950195	3.055545	2.923112	2.830821
chr10:5589000-5795998	chr10	5589000	5795998	chr10	5589000	5795998	255,255,0	3.110000	206998	3.110310	2.951610	3.236547	3.210826	3.270714	3.447774
chr10:5817000-6863998	chr10	5817000	6863998	chr10	5817000	6863998	255,255,0	2.361000	1046998	2.405451	2.391108	2.382537	2.313079	2.354749	2.360601
chr10:6861000-7496998	chr10	6861000	7496998	chr10	6861000	7496998	255,255,0	2.120000	635998	2.219094	2.160031	2.199249	2.196490	2.187779	2.120065
chr10:6870000-7340998	chr10	6870000	7340998	chr10	6870000	7340998	255,255,0	2.177000	470998	2.152890	2.177386	2.098391	2.154750	2.083742	2.020804
chr10:6879000-7013998	chr10	6879000	7013998	chr10	6879000	7013998	255,255,0	2.319000	134998	2.337933	2.167552	2.318702	1.917581	1.936965	2.012763
chr10:7803000-8246998	chr10	7803000	8246998	chr10	7803000	8246998	255,255,0	2.386000	443998	2.411416	2.386313	2.503564	2.314644	2.347484	2.492441
chr10:7875000-8246998	chr10	7875000	8246998	chr10	7875000	8246998	255,255,0	2.532000	371998	2.532150	2.383132	2.585666	2.500023	2.548826	2.590348
chr10:8241000-8531998	chr10	8241000	8531998	chr10	8241000	8531998	255,255,0	2.548000	290998	2.547353	2.349515	2.439697	2.613912	2.579534	2.585602
chr10:8316000-8525998	chr10	8316000	8525998	chr10	8316000	8525998	255,255,0	2.380000	209998	2.445502	2.379971	2.444053	2.435184	2.473909	2.579825
chr10:8733000-9743998	chr10	8733000	9743998	chr10	8733000	9743998	255,255,0	1.962000	1010998	1.973355	1.956345	1.969248	1.913721	1.911632	2.035315
chr10:9744000-10343998	chr10	9744000	10343998	chr10	9744000	10343998	255,255,0	2.517000	599998	2.517297	2.353374	2.372263	2.459083	2.381415	2.528281
chr10:10350000-11216998	chr10	10350000	11216998	chr10	10350000	11216998	255,255,0	2.353000	866998	2.462957	2.439503	2.424986	2.373077	2.456881	2.347670
chr10:10350000-11357998	chr10	10350000	11357998	chr10	10350000	11357998	255,255,0	2.492000	1007998	2.492171	2.396460	2.444590	2.350373	2.379899	2.270029
chr10:11355000-12653998	chr10	11355000	12653998	chr10	11355000	12653998	255,255,0	2.012000	1298998	2.018104	1.967953	2.012002	2.072857	2.109767	2.139692
chr10:11445000-12644998	chr10	11445000	12644998	chr10	11445000	12644998	255,255,0	2.157000	1199998	1.965740	1.942531	1.898576	2.133203	2.170389	2.166232
chr10:11994000-12620998	chr10	11994000	12620998	chr10	11994000	12620998	255,255,0	2.209000	626998	1.791418	1.731568	1.877304	2.140988	2.119396	2.208669
chr10:12678000-13004998	chr10	12678000	13004998	chr10	12678000	13004998	255,255,0	3.151000	326998	3.150951	2.867377	3.059191	2.837528	2.945697	2.991106
chr10:13011000-13448998	chr10	13011000	13448998	chr10	13011000	13448998	255,255,0	2.605000	437998	2.546377	2.547135	2.613712	2.602306	2.745745	2.671883
chr10:13539000-14216998	chr10	13539000	14216998	chr10	13539000	14216998	255,255,0	3.576000	677998	3.576049	3.421756	3.547833	3.699200	3.454456	3.702520
chr10:15093000-15170998	chr10	15093000	15170998	chr10	15093000	15170998	255,255,0	1.574000	77998	1.430643	1.280247	1.405525	1.379983	1.573705	1.352601
chr10:15270000-15332998	chr10	15270000	15332998	chr10	15270000	15332998	255,255,0	1.574000	62998	1.328146	1.567924	1.458307	1.380600	1.574472	1.625242
chr10:15798000-17732998	chr10	15798000	17732998	chr10	15798000	17732998	255,255,0	1.967000	1934998	1.975622	1.940571	1.966600	1.967086	1.968622	2.015500
chr10:16986000-17729998	chr10	16986000	17729998	chr10	16986000	17729998	255,255,0	2.033000	743998	2.032634	2.053542	2.044145	1.813405	1.828721	1.929939
chr10:17730000-18218998	chr10	17730000	18218998	chr10	17730000	18218998	255,255,0	2.575000	488998	2.711816	2.589397	2.658086	2.569178	2.692882	2.677345
chr10:18384000-18545998	chr10	18384000	18545998	chr10	18384000	18545998	255,255,0	2.639000	161998	2.901999	2.636100	2.795616	2.647311	2.612722	2.588941
chr10:18555000-18914998	chr10	18555000	18914998	chr10	18555000	18914998	255,255,0	2.103000	359998	2.273940	2.101945	2.157056	2.129829	2.180361	2.211834
