entrez_id	symbol	boundary_class	log2FoldChange	padj	chr	anchor_id	anchor_type	loop_distance	distance_class	loop_type	logFC_loop	focused_category
56490	Zbtb20	lost	-1.08649561400187	9.71988977801703e-25	chr16	loop_467_anchor1	Active_Promoter	600000	long_range	Active_Promoter-Active_Enhancer	-0.389209429688525	Long-range Lost
227357	Espnl	gained	1.20898140966341	0.0347492567530838	chr1	loop_467_anchor1	Repressed_Promoter	135000	short_range	Repressed_Promoter-Other	0.472685798771331	Short-range Gained
100121	Tdrd7	gained	-0.442664470807729	0.00146255752977934	chr4	loop_15943_anchor1	Other	180000	short_range	Poised_Enhancer-Other	0.353299532641351	Short-range Gained
29807	Tpk1	lost	-0.604285736774829	2.03741594327887e-8	chr6	loop_1107_anchor1	Other	630000	long_range	Poised_Enhancer-Other	-0.62207260584874	Long-range Lost
215446	Entpd3	gained	2.07685761311756	1.31333718289122e-9	chr9	loop_1100_anchor1	Poised_Enhancer	70000	short_range	Poised_Enhancer-Other	0.316430794939712	Short-range Gained
17260	Mef2c	lost	-0.556124469586675	0.00817103608109408	chr13	loop_10324_anchor1	Active_Enhancer	1230000	long_range	Active_Enhancer-Active_Enhancer	-0.454853910788424	Long-range Lost
319613	Sybu	lost	-0.646838464937424	6.29083848939619e-10	chr15	loop_11180_anchor1	Poised_Enhancer	3960000	long_range	Active_Promoter-Poised_Enhancer	-0.527071564812169	Long-range Lost
16531	Kcnma1	gained	0.477030876402758	0.00451605476759483	chr14	loop_21700_anchor1	Polycomb	210000	short_range	Polycomb-Other	0.356141088902321	Short-range Gained
217944	Rapgef5	gained	0.401473631780458	0.00201006077684178	chr12	loop_21870_anchor1	Other	170000	short_range	Other-Other	0.435920573711936	Short-range Gained
225631	Onecut2	gained	1.77524631495951	6.80095067630851e-33	chr18	loop_3779_anchor1	Repressed_Promoter	125000	short_range	Repressed_Promoter-Poised_Enhancer	0.454929935851277	Short-range Gained
320827	Cracd	gained	0.81043678281447	8.99909878771876e-11	chr5	loop_22237_anchor1	Repressed_Promoter	190000	short_range	Repressed_Promoter-Polycomb	0.42310142438222	Short-range Gained
237979	Sdk2	gained	1.12446976135385	2.71327851159675e-13	chr11	loop_4348_anchor1	Repressed_Promoter	110000	short_range	Repressed_Promoter-Polycomb	0.309121321867469	Short-range Gained
268595	D430019H16Rik	gained	1.90985252648977	1.78003662358094e-5	chr12	loop_10686_anchor1	Other	120000	short_range	Other-Other	0.596388724442939	Short-range Gained
54613	St3gal6	gained	0.449186790821035	3.93114661249745e-4	chr16	loop_19312_anchor1	Poised_Enhancer	170000	short_range	Poised_Enhancer-Other	0.436907970772748	Short-range Gained
