gene	chr	start	end	chg_mc_difference	chg_mc_qvalue	chg_mc_direction	in_cg_hmc
E130114P18Rik	chr4	97568132	97778077	-9.19422398634654e-05	0.0467340649379499	Hypomethylated	FALSE
Shroom3	chr5	92683434	92965317	-0.00010776457604183	0.0257283974583578	Hypomethylated	TRUE
Tenm4	chr7	96171245	96911092	-0.000540255709715838	1.74386791840584e-30	Hypomethylated	TRUE
P4ha3	chr7	100285519	100319698	-0.00137437453365549	0.041329460062463	Hypomethylated	TRUE
Rwdd4a	chr8	47533663	47552954	0.00128014301206985	0.0462392494174296	Hypermethylated	TRUE
Vegfc	chr8	54077605	54187095	0.000286003894983605	0.0228633992980345	Hypermethylated	TRUE
Asb5	chr8	54529579	54587874	0.000633863161504276	0.004471715859868	Hypermethylated	FALSE
Naf1	chr8	66860216	66890563	0.000827973845191735	0.0356833416079951	Hypermethylated	TRUE
Ints10	chr8	68793928	68831666	0.0010928713475469	0.00388553641763035	Hypermethylated	TRUE
Eri1	chr8	35465252	35496195	0.00132204655121667	0.00618850512764068	Hypermethylated	TRUE
Frg1	chr8	41397458	41417073	0.00124987903012263	0.0270674859182312	Hypermethylated	TRUE
Cep44	chr8	56531521	56551046	0.00112695346103153	0.0438663180095056	Hypermethylated	TRUE
Mei4	chr9	81863669	82206006	-0.000152078588664733	0.0356833416079951	Hypomethylated	FALSE
