gene	chromatin_state	mc_diff	hmc_diff	delta_ratio	mc_sig	hmc_sig	atac_fold	atac_fdr	atac_concordant	k27ac_fold	k27ac_fdr	k27ac_concordant	k27me3_fold	k27me3_fdr	k27me3_concordant	k119ub_fold	k119ub_fdr	k119ub_concordant	n_concordant	dmr_group
Aym1	Other	-0.00786684579788028	-0.0811688311688312	-0.581395348837209	FALSE	FALSE	0.590058601294752	0.00957610082582632	FALSE	-0.0728340335634024	0.622530789814819	FALSE	NA	NA	FALSE	-0.275695028498088	0.0803240086829877	FALSE	0	Non-DMR
Ier3	Active_Promoter	0.00979309205368174	-0.0250945821865401	-0.566453316791669	FALSE	TRUE	-0.0440460211592452	0.846565353644422	FALSE	NA	NA	FALSE	NA	NA	FALSE	0.227471548104636	0.141682701310013	FALSE	0	Non-DMR
H2ac4	Other	0.00434782608695652	-0.0367480643240024	-0.5	FALSE	FALSE	0.000877281233360944	0.997379441145547	FALSE	NA	NA	FALSE	NA	NA	FALSE	1.3122210278361	7.05167561360527e-18	TRUE	1	Non-DMR
Fam89b	Active_Promoter	0.0124222633499454	-0.00489501932640583	-0.472822509265305	FALSE	FALSE	0.194561439852059	0.3115105438565	FALSE	-0.0745157126447347	0.663155318829077	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Gm3424	Other	0.124368686868687	-0.119633838383838	-0.464761904761905	FALSE	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Nkx2-9	Repressed_Promoter	0.00301816239316239	-0.00854700854700855	-0.404040404040404	FALSE	FALSE	NA	NA	FALSE	NA	NA	FALSE	-0.169449123152689	0.376360148532278	FALSE	-0.714155083459057	3.39771501894551e-06	FALSE	0	Non-DMR
Naa38	Active_Promoter	0.00731033169228729	-0.00780529675551787	-0.394529941872189	FALSE	FALSE	0.0215821394717701	0.922811126030498	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Rraga	Active_Promoter	0.00335536140763356	-0.00468456383062088	-0.366967171345038	FALSE	FALSE	0.038455969257987	0.832505057439975	FALSE	0.0557322635298302	0.702870584602581	FALSE	NA	NA	FALSE	0.469831747921983	0.00782474769044	TRUE	1	Non-DMR
Alyref2	Active_Promoter	0.000259979807905764	-0.0184898700772573	-0.3416098791282	FALSE	TRUE	0.0717477985714842	0.697804768152895	FALSE	-0.0847789258249379	0.667650410622202	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Hmx3	Repressed_Promoter	-0.00643382352941177	-0.0104166666666667	-0.320754716981132	FALSE	FALSE	0.168632586915709	0.428205526778414	FALSE	NA	NA	FALSE	-0.15012399682252	0.572666819127502	FALSE	NA	NA	FALSE	0	Non-DMR
