gene	chr	start	end	wt_hmc	hmc_ctrl_M	hmc_ctrl_F	gb_ctrl_signal	dmr_qvalue	mod_difference	significant	chromatin_state	pred_prob_a
Bhlha9	chr11	76672469	76673675	0.5235	0.476	0.571	3.715209	0.349011652229574	-0.109523809523809	FALSE	Other	0.997314657932506
Igip	chr18	36298678	36301516	0.4735	0.483	0.464	0.626466	1.71019876707513e-06	-0.115990280568506	TRUE	Other	0.994421822688165
AL731706.2	chr2	136885499	136885678	0.4585	0.5	0.417	NA	0.9053631416639	-0.0416666666666667	FALSE	Other	0.993057397568363
Tmem210	chr2	25288144	25289188	0.4475	0.46	0.435	3.073258	0.290419188956318	-0.0617757813111408	FALSE	Other	0.991850702239116
Gm20741	chr16	88811439	88812219	0.427	0.354	0.5	NA	0.969116407321644	-0.00708333333333333	FALSE	Other	0.989020853634281
Tusc1	chr4	93334137	93335510	0.415	0.438	0.392	2.896281	0.0316977762725299	-0.142794236544237	TRUE	Active_Promoter	0.986933714827478
Emilin3	chr2	160906436	160912327	0.413	0.431	0.395	4.210906	0.169351293912273	-0.0302659971065236	FALSE	Other	0.986549659815897
Ywhah	chr5	33018815	33027965	0.407	0.414	0.4	0.836952	0.0454309853284879	-0.0298079434072423	TRUE	Active_Promoter	0.98532945347597
Yod1	chr1	130717326	130724357	0.401	0.409	0.393	1.161273	0.0270114536180646	-0.0360793246271168	TRUE	Active_Promoter	0.984000346039911
Cd300ld3	chr11	115042130	115048408	0.3955	0.423	0.368	1.251601	0.778759797056482	0.0125836554008676	FALSE	Other	0.982678332923761
Ppp3ca	chr3	136670123	136937726	0.395	0.394	0.396	1.424352	5.09485835701251e-25	-0.0237651109948271	TRUE	Active_Promoter	0.982552957596289
Foxn2	chr17	88440710	88490532	0.3935	0.394	0.393	0.543847	1.9185523896312e-13	-0.0424760608292072	TRUE	Active_Promoter	0.98217145969927
Gm13090	chr4	151089569	151091448	0.391	0.388	0.394	1.807213	0.343579605049553	-0.0240039429870407	FALSE	Other	0.981517352875783
1810013L24Rik	chr16	8830099	8858921	0.3905	0.39	0.391	NA	0.0106462071326347	-0.0225134763638097	TRUE	Active_Promoter	0.981383733495526
Zranb1	chr7	132931141	132986390	0.3905	0.396	0.385	0.320532	1.57086497524479e-17	-0.054676178177593	TRUE	Active_Promoter	0.981383733495526
Klf7	chr1	64029446	64122281	0.3865	0.385	0.388	1.784348	1.29408303370032e-09	-0.0239343159632058	TRUE	Active_Promoter	0.980280119992848
AC166256.1	chr10	22712084	22731236	0.382	0.385	0.379	NA	0.0128039050923824	-0.0239151085983503	TRUE	Active_Promoter	0.978961841645382
Rhbdl1	chr17	25834464	25837294	0.382	0.374	0.39	1.138354	0.00406967453899001	-0.0650077794903213	TRUE	Active_Promoter	0.978961841645382
1700086D15Rik	chr11	65151909	65159890	0.379	0.378	0.38	NA	0.0330925101884722	-0.0315438453249414	TRUE	Poised_Enhancer	0.978035474854899
Zfp521	chr18	13687012	13972786	0.379	0.376	0.382	1.566429	7.92819017218171e-36	-0.0269588458984101	TRUE	Active_Promoter	0.978035474854899
Glce	chr9	62057247	62122654	0.3775	0.374	0.381	0.680386	0.0445640900203327	-0.0139408320782819	TRUE	Active_Promoter	0.977557453683619
Rnf133	chr6	23648868	23650304	0.377	0.403	0.351	1.364435	0.00300146699811471	-0.0655181964064687	TRUE	Other	0.977395865702927
E030018B13Rik	chr7	63916856	63920538	0.377	0.413	0.341	1.436575	0.857100302071137	0.00361521069420134	FALSE	Other	0.977395865702927
Fut8	chr12	77238124	77476337	0.376	0.372	0.38	0.384675	6.22344144088308e-33	-0.0425376729908278	TRUE	Active_Promoter	0.977069273094062
