gene_name	chr	start	end	compartment	shift	mean_ctrl_pc1	difference	adj_pvalue	dist_to_tss	mc_diff	mc_q	mc_sig	mc_direction	hmc_diff	hmc_q	hmc_sig	hmc_direction
0610010K14Rik	chr11	70225000	70250000	A	Stable	1.33366666666667	-0.0383333333333335	0.074947741688163	414	-0.0233155925848608	0.535794839211587	FALSE	Hypomethylated	0.00638794749943877	0.948282727868953	FALSE	Hypermethylated
0610040J01Rik	chr5	63800000	63825000	B	Stable	-1.206	-0.0663333333333332	0.0529018070563412	5	-0.0113553785959982	0.00233677774281539	TRUE	Hypomethylated	0.00468719565042097	0.0497881910504508	TRUE	Hypermethylated
1110002E22Rik	chr3	138050000	138075000	A	Stable	1.59433333333333	0.00299999999999981	0.918106917886916	258	0.00124287026662995	0.94369373273796	FALSE	Hypermethylated	-0.0102126552894343	0.206324474104871	FALSE	Hypomethylated
1110004F10Rik	chr7	116100000	116125000	A	Stable	0.922333333333333	0.0513333333333332	0.207283158170549	19120	0.00999487605554716	0.0823368112698668	FALSE	Hypermethylated	-0.0032895683099279	0.380800636351978	FALSE	Hypomethylated
1110032F04Rik	chr3	68850000	68875000	B	Stable	-0.103666666666667	0.118666666666667	0.00242339523450608	-7086	-0.0120010303103848	0.770964715866887	FALSE	Hypomethylated	0.00542567699872862	0.844263916929494	FALSE	Hypermethylated
1110038F14Rik	chr15	76925000	76950000	A	Stable	1.45833333333333	-0.0193333333333336	0.595787379943713	-10761	0.0774715211069458	0.010268577372093	TRUE	Hypermethylated	-0.0102216176250843	0.652548647861575	FALSE	Hypomethylated
1110059E24Rik	chr19	21625000	21650000	A	Stable	1.17333333333333	-0.115333333333334	0.00210407986683361	15291	0.0491003089680616	2.9880781190452e-36	TRUE	Hypermethylated	-0.0414272585984782	7.01238316807117e-40	TRUE	Hypomethylated
1110059G10Rik	chr9	122925000	122950000	A	Stable	0.675	-0.205666666666667	0.000520713608055426	13500	0.00922165399224428	0.826050374924251	FALSE	Hypermethylated	-0.00701633373529462	0.564250884934087	FALSE	Hypomethylated
1110065P20Rik	chr4	124825000	124850000	A	Stable	1.375	0.0136666666666665	0.577297809526035	13064	0.0725708450415289	0.173184649809865	FALSE	Hypermethylated	-0.0116838799705234	0.779108225991483	FALSE	Hypomethylated
1190005I06Rik	chr8	120625000	120650000	A	Stable	1.615	0.0189999999999998	0.45044996090962	-3110	-0.0165483059035521	0.0184505316057654	TRUE	Hypomethylated	0.00586944373833875	0.395183771535006	FALSE	Hypermethylated
