gene	chr	start	end	chromatin_state	ratio_ctrl_bap1	ratio_mut_bap1	delta_ratio_bap1	relative_delta_bap1	ratio_wt_tet	ratio_ko_tet	delta_ratio_tet	relative_delta_tet
Aym1	chr5	113357293	113357820	Other	0.581395348837209	0	-0.581395348837209	-1	0	0	0	0
Ier3	chr17	35821683	35822922	Active_Promoter	0.845438824038046	0.278985507246377	-0.566453316791669	-0.670011005747446	0	0	0	0
Fam89b	chr19	5728086	5729652	Active_Promoter	0.827305605786618	0.354483096521313	-0.472822509265305	-0.571520978412489	0	0	0	0
Gm3424	chr14	5821933	5830328	Other	0.76	0.295238095238095	-0.464761904761905	-0.611528822055138	0	0	0	0
Nkx2-9	chr12	56611388	56613283	Repressed_Promoter	0.404040404040404	0	-0.404040404040404	-1	0	0	0	0
Naa38	chr11	69395486	69396679	Active_Promoter	0.877761204631011	0.483231262758822	-0.394529941872189	-0.449472977149907	0	0	0	0
Rraga	chr4	86575667	86577284	Active_Promoter	0.751039260969977	0.384072089624939	-0.366967171345038	-0.48861250059164	0	0	0	0
Alyref2	chr1	171503477	171504749	Active_Promoter	0.542142857142857	0.200532978014657	-0.3416098791282	-0.630110448984822	0	0	0	0
Hmx3	chr7	131542866	131544924	Repressed_Promoter	0.320754716981132	0	-0.320754716981132	-1	0	0	0	0
Tlx2	chr6	83068323	83070292	Repressed_Promoter	0.306501547987616	0	-0.306501547987616	-1	0	0	0	0
Gm19668	chr10	77798386	77799132	Other	0.582608695652174	0.284313725490196	-0.298294970161978	-0.511998829382499	0	0	0	0
Higd2a	chr13	54590206	54591157	Active_Promoter	1	0.703374777975133	-0.296625222024867	-0.296625222024867	0	0	0	0
Spry2	chr14	105891946	105896818	Active_Promoter	0.559742322960783	0.274587331943676	-0.285154991017108	-0.509439753472218	0.32443	0	-0.32443	-1
H3c8	chr13	23535421	23535950	Other	0.283536585365854	0	-0.283536585365854	-1	0	0	0	0
Gadd45g	chr13	51846677	51848467	Active_Promoter	0.63399209486166	0.369006849315068	-0.264985245546592	-0.417963011990572	0	0	0	0
Rpp25l	chr4	41712032	41713533	Active_Promoter	0.670481927710843	0.440020682523268	-0.230461245187576	-0.343724768204291	0.638296	0	-0.638296	-1
Prxl2b	chr4	154895503	154899134	Active_Promoter	0.562518410567278	0.334684858626164	-0.227833551941114	-0.405024169273594	0.345857	0	-0.345857	-1
Gsx1	chr5	147188695	147190946	Repressed_Promoter	0.349206349206349	0.124808965868569	-0.224397383337781	-0.642592506830919	0	0	0	0
1700056E22Rik	chr1	184033029	184034300	Active_Promoter	0.716483516483516	0.492857142857143	-0.223626373626374	-0.312116564417179	0	0	0	0
