loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	resolution_kb	n_resolutions_detected	resolutions_list	is_multi_resolution	FDR_5kb	FDR_10kb	FDR_25kb	logFC_5kb	logFC_10kb	logFC_25kb	kept_from_resolution	n_overlaps	span_length	loop_footprint	cluster	cluster_label	loop_class	SE_anchor	shared_anchor	DEG_status	DEG_genes	anchor1_H3K27ac_overlap	anchor1_H3K27me3_overlap	anchor1_H3K4me1_overlap	anchor1_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor1_CTCF_overlap	anchor1_CTCF_motif_overlap	anchor2_H3K27ac_overlap	anchor2_H3K27me3_overlap	anchor2_H3K4me1_overlap	anchor2_H3K4me3_overlap	anchor2_Bivalent_Promoter_overlap	anchor2_CTCF_overlap	anchor2_CTCF_motif_overlap	anchor1_distance_to_tss	anchor2_distance_to_tss	anchor1_type	anchor2_type	loop_type	anchor1_is_EorP	anchor2_is_EorP	anchor1_nearest_gene	anchor1_nearest_gene_dist	anchor2_nearest_gene	anchor2_nearest_gene_dist
loop_7521	chr8	31090000	31100000	chr8	31140000	31150000	chr8:31090000-31100000_chr8:31140000-31150000	-0.175314936960726	6.78670707313564	14.6694430058795	0.00104709387978643	0.0115881802872012	TRUE	TRUE	weak_differential	down_in_mutant	10	2	5kb,10kb	TRUE	0.0303670349631462	0.0115881802872012	NA	-0.232408497834075	-0.175314936960726	NA	10	3	40000	60000	clust3	clust3	mixed	FALSE	FALSE	FALSE	NA	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	528	0	Active_Promoter	CTCF_Site	Active_Promoter-CTCF_Site	TRUE	TRUE	Dusp26	0	Tti2	313
loop_18686	chr8	34210000	34220000	chr8	34810000	34820000	chr8:34210000-34220000_chr8:34810000-34820000	0.286333985912029	5.28512996446751	11.7853546828766	0.00263733826356965	0.0220089378986388	TRUE	TRUE	weak_differential	up_in_mutant	10	3	5kb,10kb,25kb	TRUE	0.170972894986215	0.0220089378986388	0.0505932018480936	0.260121377599206	0.286333985912029	0.229102691997398	10	3	590000	610000	clust4	clust4	structural	FALSE	FALSE	FALSE	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	43287	2702	Poised_Enhancer	Poised_Enhancer	Poised_Enhancer-Poised_Enhancer	FALSE	FALSE	Saraf	39155	Dusp4	0
loop_7987	chr8	27670000	27680000	chr8	30920000	30930000	chr8:27670000-27680000_chr8:30920000-30930000	-0.511863483899756	3.7322030291973	29.151927695355	2.76854219941496e-5	8.4787073149065e-4	TRUE	TRUE	moderate_differential	down_in_mutant	10	3	5kb,10kb,25kb	TRUE	0.0198199666135274	8.4787073149065e-4	0.00419611357652027	-0.593005894634975	-0.511863483899756	-0.363334557589581	10	3	3240000	3260000	clust6	clust6_long	structural	FALSE	TRUE	FALSE	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	222899	159470	Poised_Enhancer	Poised_Enhancer	Poised_Enhancer-Poised_Enhancer	FALSE	FALSE	Gm45861	49083	Dusp26	159469
loop_6266	chr8	36400000	36410000	chr8	36450000	36460000	chr8:36400000-36410000_chr8:36450000-36460000	0.284705965872933	6.70698231691773	13.5568725831311	0.0024718944723678	0.0210870394642398	TRUE	TRUE	weak_differential	up_in_mutant	10	2	5kb,10kb	TRUE	0.0396137571083672	0.0210870394642398	NA	0.307316575766122	0.284705965872933	NA	10	2	40000	60000	clust4	clust4	unclassified	TRUE	FALSE	FALSE	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	47547	0	Poised_Enhancer	Active_Promoter	Active_Promoter-Poised_Enhancer	FALSE	TRUE	Trmt9b	47546	Trmt9b	0
loop_7448	chr8	36360000	36370000	chr8	36520000	36530000	chr8:36360000-36370000_chr8:36520000-36530000	0.206102152825927	6.3176259543839	11.0986795694336	0.00332842809921863	0.0255959853012287	TRUE	TRUE	weak_differential	up_in_mutant	10	2	5kb,10kb	TRUE	0.0678999750044785	0.0255959853012287	NA	0.233417222797585	0.206102152825927	NA	10	2	150000	170000	clust4	clust4	structural	TRUE	FALSE	FALSE	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	87547	62451	Poised_Enhancer	Active_Enhancer	Active_Enhancer-Poised_Enhancer	FALSE	TRUE	Trmt9b	87546	Trmt9b	3430
loop_6263	chr8	40960000	40965000	chr8	41040000	41045000	chr8:40960000-40965000_chr8:41040000-41045000	0.307783243310986	7.00101990521244	11.0587600688017	0.00438579638732061	0.046699377600054	TRUE	TRUE	weak_differential	up_in_mutant	5	3	5kb,10kb,25kb	TRUE	0.046699377600054	0.336044239129217	0.0680405740755228	0.307783243310986	0.201515218373724	0.150252586917299	5	3	75000	85000	clust4	clust4	mixed	TRUE	FALSE	TRUE	Pdgfrl	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	33787	22531	Active_Enhancer	Active_Enhancer	Active_Enhancer-Active_Enhancer	TRUE	TRUE	Pdgfrl	0	Mtus1	0
loop_7480	chr8	36200000	36210000	chr8	36340000	36350000	chr8:36200000-36210000_chr8:36340000-36350000	0.285360598040795	6.1794940515566	23.5223808018618	9.72191898128709e-5	0.00209150637247613	TRUE	TRUE	weak_differential	up_in_mutant	10	2	5kb,10kb	TRUE	0.012477448323499	0.00209150637247613	NA	0.284624690691592	0.285360598040795	NA	10	2	130000	150000	clust4	clust4	structural	FALSE	FALSE	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	39515	90483	CTCF_Site	Poised_Enhancer	Poised_Enhancer-CTCF_Site	FALSE	FALSE	Lonrf1	6062	Lonrf1	90484
loop_7509	chr8	36360000	36370000	chr8	36450000	36460000	chr8:36360000-36370000_chr8:36450000-36460000	0.268933136560113	6.10069924687508	11.4192131655639	0.00400884545788184	0.028839221361342	TRUE	TRUE	weak_differential	up_in_mutant	10	2	5kb,10kb	TRUE	0.0725591185192695	0.028839221361342	NA	0.290541845222226	0.268933136560113	NA	10	2	80000	100000	clust4	clust4	unclassified	TRUE	FALSE	FALSE	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	87547	0	Poised_Enhancer	Active_Promoter	Active_Promoter-Poised_Enhancer	FALSE	TRUE	Trmt9b	87546	Trmt9b	0
loop_7507	chr8	41050000	41060000	chr8	41190000	41200000	chr8:41050000-41060000_chr8:41190000-41200000	0.190989895075766	6.29193466720363	9.22940548718774	0.00649724270476546	0.0404861224929108	TRUE	TRUE	weak_differential	up_in_mutant	10	2	5kb,10kb	TRUE	0.0641237946936104	0.0404861224929108	NA	0.224680929412574	0.190989895075766	NA	10	2	130000	150000	clust4	clust4	structural	TRUE	FALSE	FALSE	NA	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	32531	15155	Active_Enhancer	CTCF_Site	Active_Enhancer-CTCF_Site	TRUE	FALSE	Mtus1	0	Fgl1	0
loop_8027	chr8	35575000	35600000	chr8	35700000	35725000	chr8:35575000-35600000_chr8:35700000-35725000	0.192099564479461	6.92572247548651	12.0953528865699	0.00379354275408181	0.0223320880513018	TRUE	TRUE	weak_differential	up_in_mutant	25	3	5kb,10kb,25kb	TRUE	0.207821233668666	0.0325332066893504	0.0223320880513018	0.151642744715207	0.168887080340485	0.192099564479461	25	3	100000	150000	clust2	clust2	structural	FALSE	FALSE	FALSE	NA	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	0	40789	Active_Promoter	Poised_Enhancer	Active_Promoter-Poised_Enhancer	TRUE	FALSE	Mfhas1	0	Mfhas1	20551
