loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	resolution_kb	n_resolutions_detected	resolutions_list	is_multi_resolution	FDR_5kb	FDR_10kb	FDR_25kb	logFC_5kb	logFC_10kb	logFC_25kb	kept_from_resolution	n_overlaps
loop_7714	chr8	106930000	106940000	chr8	107000000	107010000	chr8:106930000-106940000_chr8:107000000-107010000	0.160920472673638	6.12359517091781	11.3190663196919	0.00308574180089502	0.0243510284658767	TRUE	TRUE	weak_differential	up_in_mutant	10	2	5kb,10kb	TRUE	0.159319853390488	0.0243510284658767	NA	0.159779267058327	0.160920472673638	NA	10	5
loop_19	chr8	26740000	26750000	chr8	26970000	26980000	chr8:26740000-26750000_chr8:26970000-26980000	-0.203415643025754	4.81335722197728	8.90522512071221	0.00733485833390873	0.0441731010678612	TRUE	TRUE	weak_differential	down_in_mutant	10	2	5kb,10kb	TRUE	0.544004760212792	0.0441731010678612	NA	-0.127004531368946	-0.203415643025754	NA	10	2
loop_32	chr8	11635000	11640000	chr8	11695000	11700000	chr8:11635000-11640000_chr8:11695000-11700000	0.507964758182221	5.92970913950171	38.1966965974333	1.12314669989709e-5	0.00108002267152671	TRUE	TRUE	moderate_differential	up_in_mutant	5	2	5kb,10kb	TRUE	0.00108002267152671	0.00509227574549139	NA	0.507964758182221	0.230081106082743	NA	5	2
loop_8165	chr8	86025000	86050000	chr8	86575000	86600000	chr8:86025000-86050000_chr8:86575000-86600000	-0.226562491468857	5.16728027185954	17.0405283217566	0.00106580437169116	0.00930662567369704	TRUE	TRUE	weak_differential	down_in_mutant	25	3	5kb,10kb,25kb	TRUE	0.190856291509095	0.172979838503162	0.00930662567369704	-0.23567808968798	-0.171496158733332	-0.226562491468857	25	4
loop_8162	chr14	105660000	105670000	chr14	105890000	105900000	chr14:105660000-105670000_chr14:105890000-105900000	-0.399584538766962	4.86375878882028	30.8191808462212	1.96438779158683e-5	6.5766308430759e-4	TRUE	TRUE	weak_differential	down_in_mutant	10	2	5kb,10kb	TRUE	0.00554216963048701	6.5766308430759e-4	NA	-0.5159234974437	-0.399584538766962	NA	10	2
loop_8488	chr14	93700000	93725000	chr14	93875000	93900000	chr14:93700000-93725000_chr14:93875000-93900000	-0.156525885137333	5.54306614803716	10.3398615707407	0.0063621527198512	0.0323077086882377	TRUE	TRUE	weak_differential	down_in_mutant	25	3	5kb,10kb,25kb	TRUE	0.16676962343157	0.111822071751208	0.0323077086882377	-0.278390090734016	-0.190082452963471	-0.156525885137333	25	3
loop_8617	chr14	70775000	70800000	chr14	72175000	72200000	chr14:70775000-70800000_chr14:72175000-72200000	0.28069482991837	4.29869165763015	23.3152705414679	2.8298395664882e-4	0.0037506866456938	TRUE	TRUE	weak_differential	up_in_mutant	25	3	5kb,10kb,25kb	TRUE	0.367962124078005	0.0275830434073846	0.0037506866456938	0.203434015189835	0.31149482892023	0.28069482991837	25	3
loop_1329	chr9	60590000	60600000	chr9	60680000	60690000	chr9:60590000-60600000_chr9:60680000-60690000	-0.385575955751452	6.1846099852789	64.3620435191987	1.1192832454642e-7	1.86261900083425e-5	TRUE	TRUE	weak_differential	down_in_mutant	10	2	5kb,10kb	TRUE	0.00323372748733894	1.86261900083425e-5	NA	-0.354215883446905	-0.385575955751452	NA	10	3
loop_122	chr9	66735000	66740000	chr9	66790000	66795000	chr9:66735000-66740000_chr9:66790000-66795000	-0.309987134535429	5.98570495123251	16.2387803167317	9.081320642807e-4	0.0170995086700478	TRUE	TRUE	weak_differential	down_in_mutant	5	2	5kb,10kb	TRUE	0.0170995086700478	0.0234515458434429	NA	-0.309987134535429	-0.15636299325497	NA	5	2
loop_129	chr9	118170000	118180000	chr9	118470000	118480000	chr9:118170000-118180000_chr9:118470000-118480000	-0.197798635643589	5.68548582519101	15.5037068045735	8.1479263953041e-4	0.00963795389139809	TRUE	TRUE	weak_differential	down_in_mutant	10	2	5kb,10kb	TRUE	0.0954821252889023	0.00963795389139809	NA	-0.221151243912414	-0.197798635643589	NA	10	2
loop_8840	chr9	83440000	83450000	chr9	83540000	83550000	chr9:83440000-83450000_chr9:83540000-83550000	-0.271597900089558	5.97620814110479	9.59319864422457	0.00820432016690594	0.0476701263730309	TRUE	TRUE	weak_differential	down_in_mutant	10	3	5kb,10kb,25kb	TRUE	0.0858265281659725	0.0476701263730309	0.118095134687784	-0.281086215597172	-0.271597900089558	-0.163558797651028	10	3
loop_139	chr9	59720000	59725000	chr9	59985000	59990000	chr9:59720000-59725000_chr9:59985000-59990000	-0.530963634931943	4.7586549898101	26.7522246870675	8.26332582962342e-5	0.00375762977246766	TRUE	TRUE	moderate_differential	down_in_mutant	5	1	5kb	FALSE	0.00375762977246766	NA	NA	-0.530963634931943	NA	NA	5	1
