loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	resolution_kb	n_resolutions_detected	resolutions_list	is_multi_resolution	FDR_5kb	FDR_10kb	FDR_25kb	logFC_5kb	logFC_10kb	logFC_25kb	kept_from_resolution	n_overlaps	span_length	loop_footprint	cluster	cluster_label	loop_class	SE_anchor	shared_anchor	DEG_status	DEG_genes	anchor1_H3K27ac_overlap	anchor1_H3K27me3_overlap	anchor1_H3K4me1_overlap	anchor1_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor1_CTCF_overlap	anchor1_CTCF_motif_overlap	anchor2_H3K27ac_overlap	anchor2_H3K27me3_overlap	anchor2_H3K4me1_overlap	anchor2_H3K4me3_overlap	anchor2_Bivalent_Promoter_overlap	anchor2_CTCF_overlap	anchor2_CTCF_motif_overlap	anchor1_distance_to_tss	anchor2_distance_to_tss	anchor1_type	anchor2_type	loop_type	anchor1_is_EorP	anchor2_is_EorP	anchor1_nearest_gene	anchor1_nearest_gene_dist	anchor2_nearest_gene	anchor2_nearest_gene_dist
loop_7714	chr8	106930000	106940000	chr8	107000000	107010000	chr8:106930000-106940000_chr8:107000000-107010000	0.160920472673638	6.12359517091781	11.3190663196919	0.00308574180089502	0.0243510284658767	TRUE	TRUE	weak_differential	up_in_mutant	10	2	5kb,10kb	TRUE	0.159319853390488	0.0243510284658767	NA	0.159779267058327	0.160920472673638	NA	10	5	60000	80000	clust2	clust2	unclassified	FALSE	FALSE	TRUE	Sntb2	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	0	21221	Active_Promoter	CTCF_Site	Active_Promoter-CTCF_Site	TRUE	FALSE	Sntb2	0	Sntb2	0
loop_19	chr8	26740000	26750000	chr8	26970000	26980000	chr8:26740000-26750000_chr8:26970000-26980000	-0.203415643025754	4.81335722197728	8.90522512071221	0.00733485833390873	0.0441731010678612	TRUE	TRUE	weak_differential	down_in_mutant	10	2	5kb,10kb	TRUE	0.544004760212792	0.0441731010678612	NA	-0.127004531368946	-0.203415643025754	NA	10	2	220000	240000	clust3	clust3	CRE	FALSE	FALSE	TRUE	Zfp703	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	130581	0	Active_Enhancer	Active_Promoter	Active_Promoter-Active_Enhancer	TRUE	TRUE	Zfp703	227323	Zfp703	0
loop_32	chr8	11635000	11640000	chr8	11695000	11700000	chr8:11635000-11640000_chr8:11695000-11700000	0.507964758182221	5.92970913950171	38.1966965974333	1.12314669989709e-5	0.00108002267152671	TRUE	TRUE	moderate_differential	up_in_mutant	5	2	5kb,10kb	TRUE	0.00108002267152671	0.00509227574549139	NA	0.507964758182221	0.230081106082743	NA	5	2	55000	65000	clust5	clust5	CRE	FALSE	TRUE	TRUE	Ankrd10	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0	515	Active_Promoter	CTCF_Site	Active_Promoter-CTCF_Site	TRUE	TRUE	Ankrd10	0	1700016D06Rik	0
loop_8165	chr8	86025000	86050000	chr8	86575000	86600000	chr8:86025000-86050000_chr8:86575000-86600000	-0.226562491468857	5.16728027185954	17.0405283217566	0.00106580437169116	0.00930662567369704	TRUE	TRUE	weak_differential	down_in_mutant	25	3	5kb,10kb,25kb	TRUE	0.190856291509095	0.172979838503162	0.00930662567369704	-0.23567808968798	-0.171496158733332	-0.226562491468857	25	4	525000	575000	clust3	clust3	mixed	TRUE	FALSE	FALSE	NA	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	184040	0	Active_Enhancer	CTCF_Site	Active_Enhancer-CTCF_Site	TRUE	TRUE	Phkb	0	Abcc12	0
loop_8162	chr14	105660000	105670000	chr14	105890000	105900000	chr14:105660000-105670000_chr14:105890000-105900000	-0.399584538766962	4.86375878882028	30.8191808462212	1.96438779158683e-5	6.5766308430759e-4	TRUE	TRUE	weak_differential	down_in_mutant	10	2	5kb,10kb	TRUE	0.00554216963048701	6.5766308430759e-4	NA	-0.5159234974437	-0.399584538766962	NA	10	2	220000	240000	clust6	clust6_short	mixed	TRUE	TRUE	TRUE	Spry2	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	36229	0	Active_Enhancer	Active_Promoter	Active_Promoter-Active_Enhancer	TRUE	TRUE	Spry2	221945	Spry2	0
loop_8488	chr14	93700000	93725000	chr14	93875000	93900000	chr14:93700000-93725000_chr14:93875000-93900000	-0.156525885137333	5.54306614803716	10.3398615707407	0.0063621527198512	0.0323077086882377	TRUE	TRUE	weak_differential	down_in_mutant	25	3	5kb,10kb,25kb	TRUE	0.16676962343157	0.111822071751208	0.0323077086882377	-0.278390090734016	-0.190082452963471	-0.156525885137333	25	3	150000	200000	clust3	clust3	mixed	FALSE	FALSE	TRUE	Pcdh9	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	165678	0	Active_Enhancer	Active_Promoter	Active_Promoter-Active_Enhancer	TRUE	TRUE	Pcdh9	0	Pcdh9	0
loop_8617	chr14	70775000	70800000	chr14	72175000	72200000	chr14:70775000-70800000_chr14:72175000-72200000	0.28069482991837	4.29869165763015	23.3152705414679	2.8298395664882e-4	0.0037506866456938	TRUE	TRUE	weak_differential	up_in_mutant	25	3	5kb,10kb,25kb	TRUE	0.367962124078005	0.0275830434073846	0.0037506866456938	0.203434015189835	0.31149482892023	0.28069482991837	25	3	1375000	1425000	clust4	clust4	structural	FALSE	FALSE	FALSE	NA	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	1727	318297	Repressed_Promoter	CTCF_Site	Repressed_Promoter-CTCF_Site	FALSE	FALSE	Dok2	0	Gm9195	226011
loop_1329	chr9	60590000	60600000	chr9	60680000	60690000	chr9:60590000-60600000_chr9:60680000-60690000	-0.385575955751452	6.1846099852789	64.3620435191987	1.1192832454642e-7	1.86261900083425e-5	TRUE	TRUE	weak_differential	down_in_mutant	10	2	5kb,10kb	TRUE	0.00323372748733894	1.86261900083425e-5	NA	-0.354215883446905	-0.385575955751452	NA	10	3	80000	100000	clust6	clust6_short	mixed	FALSE	TRUE	TRUE	Lrrc49	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	44117	0	Active_Enhancer	CTCF_Site	Active_Enhancer-CTCF_Site	TRUE	TRUE	Lrrc49	0	Lrrc49	0
loop_122	chr9	66735000	66740000	chr9	66790000	66795000	chr9:66735000-66740000_chr9:66790000-66795000	-0.309987134535429	5.98570495123251	16.2387803167317	9.081320642807e-4	0.0170995086700478	TRUE	TRUE	weak_differential	down_in_mutant	5	2	5kb,10kb	TRUE	0.0170995086700478	0.0234515458434429	NA	-0.309987134535429	-0.15636299325497	NA	5	2	50000	60000	clust6	clust6_short	unclassified	FALSE	FALSE	TRUE	Aph1b,Car12	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	21313	489	Poised_Enhancer	Active_Promoter	Active_Promoter-Poised_Enhancer	FALSE	TRUE	Car12	0	Aph1b	0
loop_129	chr9	118170000	118180000	chr9	118470000	118480000	chr9:118170000-118180000_chr9:118470000-118480000	-0.197798635643589	5.68548582519101	15.5037068045735	8.1479263953041e-4	0.00963795389139809	TRUE	TRUE	weak_differential	down_in_mutant	10	2	5kb,10kb	TRUE	0.0954821252889023	0.00963795389139809	NA	-0.221151243912414	-0.197798635643589	NA	10	2	290000	310000	clust3	clust3	CRE	FALSE	FALSE	TRUE	Eomes	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	19768	0	Active_Enhancer	Bivalent_Promoter	Bivalent_Promoter-Active_Enhancer	TRUE	TRUE	Cmc1	19823	Eomes	0
