stripe_id	direction	direction_confidence	significant_FDR05	symbol	entrez_id
stripe_0001	unchanged	high	TRUE	Xkr4	497097
stripe_0002	gained	high	TRUE	Xkr4	497097
stripe_0003	gained	high	TRUE	Xkr4	497097
stripe_0004	gained	high	TRUE	Xkr4	497097
stripe_0005	gained	high	TRUE	Xkr4	497097
stripe_0006	unchanged	low	FALSE	Pcmtd1	319263
stripe_0006	unchanged	low	FALSE	St18	240690
stripe_0007	gained	low	FALSE	St18	240690
stripe_0008	unchanged	low	FALSE	Alkal1	620393
stripe_0008	unchanged	low	FALSE	St18	240690
stripe_0009	unchanged	high	TRUE	Alkal1	620393
stripe_0009	unchanged	high	TRUE	Pcmtd1	319263
stripe_0009	unchanged	high	TRUE	Rb1cc1	12421
stripe_0009	unchanged	high	TRUE	St18	240690
stripe_0010	unchanged	high	TRUE	Adhfe1	76187
stripe_0010	unchanged	high	TRUE	Arfgef1	211673
stripe_0010	unchanged	high	TRUE	Cops5	26754
stripe_0010	unchanged	high	TRUE	Cspp1	211660
stripe_0010	unchanged	high	TRUE	Mcmdc2	240697
stripe_0010	unchanged	high	TRUE	Mybl1	17864
stripe_0010	unchanged	high	TRUE	Ppp1r42	69312
stripe_0010	unchanged	high	TRUE	Rrs1	59014
stripe_0010	unchanged	high	TRUE	Sgk3	170755
stripe_0010	unchanged	high	TRUE	Tcf24	100039596
stripe_0010	unchanged	high	TRUE	Vcpip1	70675
stripe_0010	unchanged	high	TRUE	Vxn	76982
stripe_0011	lost	low	TRUE	Lactb2	212442
stripe_0011	lost	low	TRUE	Ncoa2	17978
stripe_0011	lost	low	TRUE	Tram1	72265
stripe_0011	lost	low	TRUE	Xkr9	381246
stripe_0012	unchanged	high	TRUE	Ncoa2	17978
stripe_0012	unchanged	high	TRUE	Prdm14	383491
stripe_0013	lost	low	TRUE	Ncoa2	17978
stripe_0013	lost	low	TRUE	Prdm14	383491
stripe_0013	lost	low	TRUE	Slco5a1	240726
stripe_0014	unchanged	low	FALSE	Ncoa2	17978
stripe_0014	unchanged	low	FALSE	Prdm14	383491
stripe_0014	unchanged	low	FALSE	Tram1	72265
stripe_0015	unchanged	high	TRUE	Eya1	14048
stripe_0015	unchanged	high	TRUE	Msc	17681
stripe_0015	unchanged	high	TRUE	Trpa1	277328
stripe_0016	unchanged	high	TRUE	4930444P10Rik	75799
stripe_0016	unchanged	high	TRUE	Kcnb2	98741
stripe_0016	unchanged	high	TRUE	Rdh10	98711
stripe_0016	unchanged	high	TRUE	Rpl7	19989
stripe_0016	unchanged	high	TRUE	Sbspon	226866
stripe_0016	unchanged	high	TRUE	Terf1	21749
stripe_0017	unchanged	high	TRUE	Kcnb2	98741
stripe_0017	unchanged	high	TRUE	Sbspon	226866
stripe_0017	unchanged	high	TRUE	Terf1	21749
stripe_0018	unchanged	high	TRUE	Kcnb2	98741
stripe_0019	unchanged	low	FALSE	Eloc	67923
stripe_0019	unchanged	low	FALSE	Gdap1	14545
stripe_0019	unchanged	low	FALSE	Jph1	57339
stripe_0019	unchanged	low	FALSE	Ly96	17087
stripe_0019	unchanged	low	FALSE	Rdh10	98711
stripe_0019	unchanged	low	FALSE	Rpl7	19989
stripe_0019	unchanged	low	FALSE	Stau2	29819
stripe_0019	unchanged	low	FALSE	Tmem70	70397
stripe_0019	unchanged	low	FALSE	Ube2w	66799
stripe_0020	unchanged	low	FALSE	Eloc	67923
stripe_0020	unchanged	low	FALSE	Gdap1	14545
stripe_0020	unchanged	low	FALSE	Jph1	57339
stripe_0020	unchanged	low	FALSE	Ly96	17087
stripe_0020	unchanged	low	FALSE	Tmem70	70397
stripe_0021	unchanged	medium	FALSE	Jph1	57339
stripe_0022	lost	high	TRUE	Eloc	67923
stripe_0022	lost	high	TRUE	Jph1	57339
stripe_0022	lost	high	TRUE	Ly96	17087
stripe_0022	lost	high	TRUE	Stau2	29819
stripe_0022	lost	high	TRUE	Tmem70	70397
stripe_0022	lost	high	TRUE	Ube2w	66799
stripe_0024	lost	low	FALSE	Efhc1	71877
stripe_0024	lost	low	FALSE	Il17a	16171
stripe_0024	lost	low	FALSE	Il17f	257630
stripe_0024	lost	low	FALSE	Mcm3	17215
stripe_0024	lost	low	FALSE	Paqr8	74229
stripe_0024	lost	low	FALSE	Tram2	170829
stripe_0025	unchanged	low	FALSE	Efhc1	71877
stripe_0025	unchanged	low	FALSE	Il17a	16171
stripe_0025	unchanged	low	FALSE	Il17f	257630
stripe_0025	unchanged	low	FALSE	Mcm3	17215
stripe_0025	unchanged	low	FALSE	Paqr8	74229
stripe_0025	unchanged	low	FALSE	Pkhd1	241035
stripe_0025	unchanged	low	FALSE	Tram2	170829
stripe_0026	gained	low	FALSE	Efhc1	71877
stripe_0026	gained	low	FALSE	Il17a	16171
stripe_0026	gained	low	FALSE	Il17f	257630
stripe_0026	gained	low	FALSE	Mcm3	17215
stripe_0026	gained	low	FALSE	Paqr8	74229
stripe_0026	gained	low	FALSE	Pkhd1	241035
stripe_0026	gained	low	FALSE	Tram2	170829
stripe_0027	unchanged	high	TRUE	Kcnq5	226922
stripe_0028	unchanged	medium	FALSE	Efhc1	71877
stripe_0028	unchanged	medium	FALSE	Gsta3	14859
stripe_0028	unchanged	medium	FALSE	Il17a	16171
stripe_0028	unchanged	medium	FALSE	Il17f	257630
stripe_0028	unchanged	medium	FALSE	Kcnq5	226922
stripe_0028	unchanged	medium	FALSE	Khdc1a	368204
stripe_0028	unchanged	medium	FALSE	Khdc1b	98582
stripe_0028	unchanged	medium	FALSE	Khdc1c	433278
stripe_0028	unchanged	medium	FALSE	Mcm3	17215
stripe_0028	unchanged	medium	FALSE	Paqr8	74229
stripe_0028	unchanged	medium	FALSE	Tmem14a	75712
stripe_0028	unchanged	medium	FALSE	Tram2	170829
stripe_0030	unchanged	low	FALSE	Ppp1r14bl	66755
stripe_0030	unchanged	low	FALSE	Rims1	116837
stripe_0031	unchanged	low	FALSE	Rims1	116837
stripe_0032	lost	high	TRUE	Rims1	116837
stripe_0033	gained	low	TRUE	Rims1	116837
stripe_0034	gained	low	FALSE	Rims1	116837
stripe_0035	gained	low	FALSE	Ppp1r14bl	66755
stripe_0035	gained	low	FALSE	Rims1	116837
stripe_0036	unchanged	medium	FALSE	Ppp1r14bl	66755
stripe_0036	unchanged	medium	FALSE	Rims1	116837
stripe_0037	lost	high	TRUE	Ogfrl1	70155
stripe_0038	gained	low	FALSE	B3gat2	280645
stripe_0038	gained	low	FALSE	Col9a1	12839
stripe_0038	gained	low	FALSE	Fam135a	68187
stripe_0038	gained	low	FALSE	Sdhaf4	68002
stripe_0038	gained	low	FALSE	Smap1	98366
stripe_0039	lost	low	FALSE	B3gat2	280645
stripe_0039	lost	low	FALSE	Col9a1	12839
stripe_0039	lost	low	FALSE	Fam135a	68187
stripe_0039	lost	low	FALSE	Sdhaf4	68002
stripe_0039	lost	low	FALSE	Smap1	98366
stripe_0040	gained	low	FALSE	B3gat2	280645
stripe_0040	gained	low	FALSE	Ogfrl1	70155
stripe_0041	unchanged	low	FALSE	Col9a1	12839
stripe_0041	unchanged	low	FALSE	Fam135a	68187
stripe_0041	unchanged	low	FALSE	Sdhaf4	68002
stripe_0041	unchanged	low	FALSE	Smap1	98366
stripe_0042	unchanged	low	FALSE	B3gat2	280645
stripe_0042	unchanged	low	FALSE	Ogfrl1	70155
stripe_0042	unchanged	low	FALSE	Sdhaf4	68002
stripe_0042	unchanged	low	FALSE	Smap1	98366
stripe_0043	unchanged	medium	FALSE	B3gat2	280645
stripe_0043	unchanged	medium	FALSE	Col9a1	12839
stripe_0043	unchanged	medium	FALSE	Fam135a	68187
stripe_0043	unchanged	medium	FALSE	Ogfrl1	70155
stripe_0043	unchanged	medium	FALSE	Ppp1r14bl	66755
stripe_0043	unchanged	medium	FALSE	Rims1	116837
stripe_0043	unchanged	medium	FALSE	Sdhaf4	68002
stripe_0043	unchanged	medium	FALSE	Smap1	98366
stripe_0044	unchanged	high	TRUE	Col19a1	12823
