chr	bin_start	sniper_ctrl	sniper_mut	calder_ctrl	calder_mut	sniper_changed	calder_changed	agreement
chr1	3000001	B.2	B.2	B.2	B.1	FALSE	TRUE	CALDER2_only
chr1	3100001	B.2	B.1	B.2	B.1	TRUE	TRUE	Both_change_agree
chr1	3200001	B.2	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr1	3300001	B.1	A.2	B.2	A.1	TRUE	TRUE	Both_change_disagree
chr1	3400001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr1	3500001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr1	3600001	A.2	A.2	A.2	A.1	FALSE	TRUE	CALDER2_only
chr1	3700001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	3800001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	3900001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	4000001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	4100001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	4200001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	4300001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	4400001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	4500001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	4600001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	4700001	A.2	A.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	4800001	A.1	A.2	A.1	A.1	TRUE	FALSE	SNIPER_only
chr1	4900001	A.2	B.1	A.2	A.2	TRUE	FALSE	SNIPER_only
chr1	5000001	A.2	A.2	A.2	A.2	FALSE	FALSE	Both_stable
chr1	5100001	A.2	A.2	A.2	A.2	FALSE	FALSE	Both_stable
chr1	5200001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	5300001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	5400001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	5500001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	5600001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	5700001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	5800001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	5900001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	6000001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	6100001	B.1	B.2	B.2	B.2	TRUE	FALSE	SNIPER_only
chr1	6200001	A.2	A.2	A.2	A.2	FALSE	FALSE	Both_stable
chr1	6300001	B.1	B.1	A.2	A.2	FALSE	FALSE	Both_stable
chr1	6400001	A.2	A.2	A.2	A.2	FALSE	FALSE	Both_stable
chr1	6500001	A.2	A.2	A.2	A.2	FALSE	FALSE	Both_stable
chr1	6600001	A.2	A.2	A.2	A.2	FALSE	FALSE	Both_stable
chr1	6700001	A.1	A.1	A.1	A.1	FALSE	FALSE	Both_stable
chr1	6800001	A.1	A.1	A.1	A.1	FALSE	FALSE	Both_stable
chr1	6900001	B.1	B.1	A.2	B.1	FALSE	TRUE	CALDER2_only
chr1	7000001	A.2	B.1	A.2	B.1	TRUE	TRUE	Both_change_agree
chr1	7100001	A.1	A.2	A.1	A.1	TRUE	FALSE	SNIPER_only
chr1	7200001	B.2	B.2	B.1	B.2	FALSE	TRUE	CALDER2_only
chr1	7300001	B.2	B.2	B.1	B.2	FALSE	TRUE	CALDER2_only
chr1	7400001	B.1	B.2	B.1	B.2	TRUE	TRUE	Both_change_agree
chr1	7500001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	7600001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	7700001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	7800001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	7900001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	8000001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	8100001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	8200001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	8300001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	8400001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	8500001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	8800001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	8900001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	9000001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	9100001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	9200001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	9300001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	9400001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	9500001	B.1	A.2	B.2	B.2	TRUE	FALSE	SNIPER_only
chr1	9600001	A.2	A.2	A.1	A.1	FALSE	FALSE	Both_stable
chr1	9700001	A.2	A.2	A.1	A.1	FALSE	FALSE	Both_stable
chr1	9800001	A.2	A.2	A.2	A.2	FALSE	FALSE	Both_stable
chr1	9900001	A.2	A.2	A.2	A.2	FALSE	FALSE	Both_stable
chr1	10000001	A.2	A.2	A.1	A.1	FALSE	FALSE	Both_stable
chr1	10100001	A.1	A.2	A.1	A.1	TRUE	FALSE	SNIPER_only
chr1	10200001	B.1	B.1	A.1	A.1	FALSE	FALSE	Both_stable
chr1	10300001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	10400001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	10500001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	10600001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	10700001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	10800001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	10900001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	11000001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	11100001	B.2	B.1	B.2	B.2	TRUE	FALSE	SNIPER_only
chr1	11200001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	11300001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	11400001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	11500001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	11600001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
chr1	11700001	B.2	B.2	B.2	B.2	FALSE	FALSE	Both_stable
