loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color	resolution	resolution_kb	n_overlaps	is_merged	anchor1_chr	anchor1_start	anchor1_end	anchor1_midpoint	anchor1_size	anchor2_chr	anchor2_start	anchor2_end	anchor2_midpoint	anchor2_size	loop_distance	distance_category	is_intrachromosomal	anchor1_nearest_gene_idx	anchor1_distance_to_tss	anchor2_nearest_gene_idx	anchor2_distance_to_tss	anchor1_nearest_gene	anchor2_nearest_gene	anchor1_H3K27ac_overlap	anchor1_H3K4me1_overlap	anchor1_type	anchor1_is_promoter	anchor2_H3K27ac_overlap	anchor2_H3K4me1_overlap	anchor2_type	anchor2_is_promoter	loop_type	anchor1_H3K27me3_overlap	anchor2_H3K27me3_overlap	anchor1_H3K4me3_overlap	anchor2_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor2_Bivalent_Promoter_overlap	anchor_status
loop_1298	chr8	49525000	49550000	chr8	49825000	49850000	chr8:49525000-49550000_chr8:49825000-49850000	TRUE	-0.531581037913629	5.52012122539831	57.8273151132356	5.57272416143058e-6	0.0048740438696912	TRUE	TRUE	moderate_differential	down_in_mutant	NA	25000	25	2	TRUE	chr8	49525000	49550000	49537500	25000	chr8	49825000	49850000	49837500	25000	300000	100-500kb	TRUE	11252	681048	177	518111	23965	100039954	FALSE	FALSE	Other	FALSE	FALSE	TRUE	Polycomb	FALSE	Polycomb-Other	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	shared
loop_16964	chr8	57325000	57350000	chr8	108700000	108725000	chr8:57325000-57350000_chr8:108700000-108725000	TRUE	-1.2421109892696	1.2184767545077	88.2994407187758	5.95220451058947e-7	0.0015617840610222	TRUE	TRUE	strong_differential	down_in_mutant	NA	25000	25	2	TRUE	chr8	57325000	57350000	57337500	25000	chr8	108700000	108725000	108712500	25000	51375000	>1Mb	TRUE	23117	0	2860	115404	75996	109215	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Polycomb	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared
loop_8758	chr8	48220000	48230000	chr8	49820000	49830000	chr8:48220000-48230000_chr8:49820000-49830000	FALSE	-0.907636620590362	3.8015301363332	69.6727173406502	1.20871410753359e-6	0.0053478346973716	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	1	FALSE	chr8	48220000	48230000	48225000	10000	chr8	49820000	49830000	49825000	10000	1600000	>1Mb	TRUE	14198	120907	177	538111	320685	100039954	FALSE	TRUE	Polycomb	FALSE	FALSE	TRUE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared
loop_59	chr8	57300000	57325000	chr8	108700000	108725000	chr8:57300000-57325000_chr8:108700000-108725000	TRUE	-1.26277552432515	1.18403002108797	73.4627249053024	1.59835639650007e-6	0.0022367399412622	TRUE	TRUE	strong_differential	down_in_mutant	NA	25000	25	1	FALSE	chr8	57300000	57325000	57312500	25000	chr8	108700000	108725000	108712500	25000	51400000	>1Mb	TRUE	5190	0	2860	115404	15111	109215	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Polycomb	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared
loop_62	chr8	57300000	57325000	chr8	89025000	89050000	chr8:57300000-57325000_chr8:89025000-89050000	TRUE	-2.00769909675552	-0.0652004660598235	93.1225165213068	4.47440457716651e-7	0.0014165462047666	TRUE	TRUE	strong_differential	down_in_mutant	NA	25000	25	1	FALSE	chr8	57300000	57325000	57312500	25000	chr8	89025000	89050000	89037500	25000	31725000	>1Mb	TRUE	5190	0	17114	0	15111	58198	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Repressed_Promoter	FALSE	Repressed_Promoter-Repressed_Promoter	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared
loop_611	chr1	138825000	138850000	chr1	184700000	184725000	chr1:138825000-138850000_chr1:184700000-184725000	FALSE	-1.17816135652886	-0.382932016540996	31.8852934086683	1.000555373317e-4	0.0203861789965565	TRUE	TRUE	strong_differential	down_in_mutant	NA	25000	25	1	FALSE	chr1	138825000	138850000	138837500	25000	chr1	184700000	184725000	184712500	25000	45875000	>1Mb	TRUE	5836	0	22622	0	16876	74971	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	FALSE	Repressed_Promoter	FALSE	Repressed_Promoter-Repressed_Promoter	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared
loop_1294	chr8	49475000	49500000	chr8	49800000	49825000	chr8:49475000-49500000_chr8:49800000-49825000	TRUE	-0.577623803711098	5.5042361365523	74.7067029921383	1.46151161464056e-6	0.0022367399412622	TRUE	TRUE	moderate_differential	down_in_mutant	NA	25000	25	1	FALSE	chr8	49475000	49500000	49487500	25000	chr8	49800000	49825000	49812500	25000	325000	100-500kb	TRUE	11252	631048	177	543111	23965	100039954	FALSE	TRUE	Polycomb	FALSE	FALSE	FALSE	Other	FALSE	Polycomb-Other	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_1310	chr8	48525000	48550000	chr8	49825000	49850000	chr8:48525000-48550000_chr8:49825000-49850000	FALSE	-0.606222476164762	4.36649188575834	63.9045706586665	3.32542637594178e-6	0.0038780013920774	TRUE	TRUE	moderate_differential	down_in_mutant	NA	25000	25	1	FALSE	chr8	48525000	48550000	48537500	25000	chr8	49825000	49850000	49837500	25000	1300000	>1Mb	TRUE	11252	293950	177	518111	23965	100039954	FALSE	FALSE	Other	FALSE	FALSE	TRUE	Polycomb	FALSE	Polycomb-Other	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	shared
loop_1325	chr8	57325000	57350000	chr8	89025000	89050000	chr8:57325000-57350000_chr8:89025000-89050000	TRUE	-1.79635431192262	-0.0905498754111606	77.3354509646251	1.21931601578412e-6	0.0022367399412622	TRUE	TRUE	strong_differential	down_in_mutant	NA	25000	25	1	FALSE	chr8	57325000	57350000	57337500	25000	chr8	89025000	89050000	89037500	25000	31700000	>1Mb	TRUE	23117	0	17114	0	75996	58198	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Repressed_Promoter	FALSE	Repressed_Promoter-Repressed_Promoter	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared
loop_3471	chr6	42200000	42225000	chr6	42850000	42875000	chr6:42200000-42225000_chr6:42850000-42875000	FALSE	-0.330340115478846	4.33754246080964	32.1328285449355	9.64621321379212e-5	0.0203861789965565	TRUE	TRUE	weak_differential	down_in_mutant	NA	25000	25	1	FALSE	chr6	42200000	42225000	42212500	25000	chr6	42850000	42875000	42862500	25000	650000	500kb-1Mb	TRUE	15311	0	12863	15615	387515	259067	FALSE	TRUE	Other	FALSE	FALSE	FALSE	Other	FALSE	Other-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
