"human_gene","mouse_gene"
"SLC7A2","Slc7a2"
"ST3GAL1","St3gal1"
"ANK1","Ank1"
"TG","Tg"
"ADAM28","Adam28"
"PREX2","Prex2"
"RRM2B","Rrm2b"
"ARFGEF1","Arfgef1"
"TRAM1","Tram1"
"TPD52","Tpd52"
"RUNX1T1","Runx1t1"
"FDFT1","Fdft1"
"DPYSL2","Dpysl2"
"ZDHHC2","Zdhhc2"
"RP1","Rp1"
"SFRP1","Sfrp1"
"JPH1","Jph1"
"RAB2A","Rab2a"
"IL7","Il7"
"STMN2","Stmn2"
"SPAG1","Spag1"
"DENND3","Dennd3"
"EPHX2","Ephx2"
"MTUS1","Mtus1"
"IDO1","Ido1"
"KHDRBS3","Khdrbs3"
"EFR3A","Efr3a"
"MATN2","Matn2"
"RNF122","Rnf122"
"LOXL2","Loxl2"
"ADAMDEC1","Adamdec1"
"GATA4","Gata4"
"ENPP2","Enpp2"
"CSGALNACT1","Csgalnact1"
"DOK2","Dok2"
"MRPS28","Mrps28"
"DPYS","Dpys"
"MTDH","Mtdh"
"LRP12","Lrp12"
"ASAP1","Asap1"
"SLA","Sla"
"MMP16","Mmp16"
"KCNS2","Kcns2"
"RAB11FIP1","Rab11fip1"
"DLC1","Dlc1"
"TNFRSF11B","Tnfrsf11b"
"OXR1","Oxr1"
"OSR2","Osr2"
"BAALC","Baalc"
"FZD6","Fzd6"
"GEM","Gem"
"ZHX1","Zhx1"
"PNOC","Pnoc"
"PHYHIP","Phyhip"
"GFRA2","Gfra2"
"UBE2V2","Ube2v2"
"KCNK9","Kcnk9"
"SDC2","Sdc2"
"ZFPM2","Zfpm2"
"CNGB3","Cngb3"
"HAS2","Has2"
"PPP1R3B","Ppp1r3b"
"TRIB1","Trib1"
"TNFRSF10C","Tnfrsf22"
"CCNE2","Ccne2"
"RIMS2","Rims2"
"MSC","Msc"
"TSPYL5","Tspyl5"
"BHLHE22","Bhlhe22"
"PTP4A3","Ptp4a3"
"CA13","Car13"
"TOX","Tox"
"XKR4","Xkr4"
"LRRC69","Lrrc69"
"EBF2","Ebf2"
"PRKDC","Prkdc"
"LYN","Lyn"
"BAI1","Adgrb1"
"KIAA0196","Washc5"
"TCEB1","Eloc"
"FAM49B","Cyrib"
