stripe_id	chr1	x1	x2	direction	logFC	FDR	body_genes	body_gene_count	se_hub_P60	se_hub_ENCODE	se_hub_any
stripe_1	chr1	138120001	138140000	lost	0.1251	0.03667	2310009B15Rik,Atp6v1g3,Dennd1b,Lhx9,Nek7,Ptprc	6	FALSE	FALSE	FALSE
stripe_2	chr11	57010001	57030000	lost	0.1782	0.01436	Gria1	1	FALSE	FALSE	FALSE
stripe_3	chr12	104430001	104455000	lost	0.0953	0.04714	Clmn,Dicer1,Gsc	3	FALSE	FALSE	FALSE
stripe_4	chr13	16005001	16025000	lost	0.1141	0.03815	Inhba	1	FALSE	FALSE	FALSE
stripe_5	chr13	17425001	17445000	lost	0.1405	0.01436	NA	0	FALSE	FALSE	FALSE
stripe_6	chr14	28515001	28535000	lost	0.1178	0.03854	Lrtm1	1	FALSE	FALSE	FALSE
stripe_7	chr15	25985001	26010000	lost	0.1089	0.02235	Fbxl7,Marchf11	2	FALSE	FALSE	FALSE
stripe_8	chr15	93580001	93605000	lost	0.098	0.03854	Prickle1	1	FALSE	FALSE	FALSE
stripe_9	chr17	6390001	6415000	gained	-0.163	0.01732	Dynlt1b,Dynlt1c,Ezr,Sytl3	4	FALSE	FALSE	FALSE
stripe_10	chr17	7430001	7450000	lost	0.1068	0.03667	Fndc1,Rsph3a,Tagap	3	FALSE	FALSE	FALSE
stripe_11	chr17	7970001	7985000	gained	-0.1411	0.045	Ccr6,Cep43,Mpc1,Rnaset2a	4	FALSE	FALSE	FALSE
stripe_12	chr18	81900001	81925000	lost	0.118	0.01736	Atp9b,Sall3	2	FALSE	FALSE	FALSE
stripe_13	chr19	25625001	25645000	lost	0.1212	0.03667	Dmrt1,Dmrt3,Dock8,Kank1,Zng1	5	FALSE	FALSE	FALSE
stripe_14	chr19	42575001	42600000	lost	0.118	0.03854	Hps1,Loxl4,Pyroxd2	3	FALSE	FALSE	FALSE
stripe_15	chr2	70545001	70570000	gained	0.0904	0.04806	Erich2,Gad1,Sp5	3	FALSE	FALSE	FALSE
stripe_16	chr2	73990001	74010000	gained	-0.1765	0.0325	Atf2,Atp5mc3	2	FALSE	FALSE	FALSE
stripe_17	chr2	103000001	103020000	lost	0.1292	0.02155	Cd44	1	FALSE	FALSE	FALSE
stripe_18	chr2	144885001	144905000	lost	0.1107	0.0437	Gm14092,Rin2,Slc24a3	3	FALSE	FALSE	FALSE
stripe_19	chr2	151250001	151270000	gained	0.2112	0.04714	NA	0	FALSE	FALSE	FALSE
stripe_20	chr2	170910001	170930000	lost	0.1015	0.0437	Cbln4	1	FALSE	FALSE	FALSE
stripe_21	chr4	3595001	3620000	lost	-0.1056	0.02897	Lyn,Mos,Rps20	3	FALSE	FALSE	FALSE
stripe_22	chr4	55515001	55535000	lost	0.0999	0.04409	Klf4	1	FALSE	FALSE	FALSE
stripe_23	chr4	64520001	64540000	lost	0.149	0.02415	Pappa	1	FALSE	FALSE	FALSE
stripe_24	chr4	73025001	73050000	lost	0.1216	0.01732	Aldoart1	1	FALSE	FALSE	FALSE
stripe_25	chr4	82685001	82705000	gained	-0.2046	0.01436	NA	0	FALSE	FALSE	FALSE
stripe_26	chr4	123940001	123975000	lost	0.1393	0.01436	1110065P20Rik,Fhl3,Inpp5b,Maneal,Mtf1,Pou3f1,Sf3a3,Utp11,Yrdc	9	FALSE	FALSE	FALSE
stripe_27	chr4	125490001	125510000	gained	0.1396	0.01551	Grik3	1	FALSE	FALSE	FALSE
stripe_28	chr5	41115001	41135000	lost	0.1047	0.04551	Nkx3-2,Rab28	2	FALSE	FALSE	FALSE
stripe_29	chr5	76835001	76855000	lost	0.1652	0.01436	Cep135,Cracd	2	FALSE	FALSE	FALSE
stripe_30	chr6	21215001	21235000	lost	-0.1151	0.04943	Kcnd2	1	TRUE	FALSE	TRUE
stripe_31	chr6	45060001	45080000	gained	-0.1244	0.02651	NA	0	FALSE	FALSE	FALSE
stripe_32	chr6	51585001	51620000	gained	-0.0995	0.04057	NA	0	FALSE	FALSE	FALSE
stripe_33	chr6	51845001	51865000	lost	-0.125	0.01732	Cbx3,Hnrnpa2b1,Snx10	3	FALSE	FALSE	FALSE
stripe_34	chr6	96985001	97010000	lost	0.1036	0.03667	Suclg2,Tafa1	2	FALSE	FALSE	FALSE
stripe_35	chr7	96895001	96915000	lost	0.1671	0.01732	NA	0	FALSE	FALSE	FALSE
stripe_36	chr7	102900001	102930000	lost	0.17	0.01436	Or51a25,Or51a39,Or51a8,Or51d1,Or51e1,Or51e2,Or51f1,Or51f2,Or51f23,Or51f5,Or51h1,Or51h5,Or51r1,Or51s1,Or52b3,Or52b4,Or52i2,Or52k2,Or52m1,Or52m2,Or52p2,Or52r1,Trim21,Trim68	24	FALSE	FALSE	FALSE
stripe_37	chr7	128855001	128875000	lost	0.1382	0.03667	Plpp4	1	FALSE	FALSE	FALSE
stripe_38	chr7	130250001	130275000	lost	0.1742	0.01514	NA	0	FALSE	FALSE	FALSE
stripe_39	chr7	136485001	136510000	lost	0.1254	0.03856	Mgmt	1	FALSE	FALSE	FALSE
stripe_40	chr8	4125001	4150000	gained	-0.1388	0.01732	Ccl25,Cd209g,Cers4,Ctxn1,Elavl1,Evi5l,Lrrc8e,Map2k7,Prr36,Snapc2,Tgfbr3l,Timm44	12	FALSE	FALSE	FALSE
stripe_41	chr8	36170001	36190000	gained	-0.1015	0.04328	Prag1	1	FALSE	FALSE	FALSE
stripe_42	chr8	54515001	54540000	gained	-0.1023	0.03854	Asb5,Gpm6a,Spata4,Spcs3,Wdr17	5	FALSE	FALSE	FALSE
stripe_43	chr8	64010001	64040000	lost	-0.1041	0.03069	Cpe,Msmo1,Tll1	3	FALSE	FALSE	FALSE
