loop_id	chr1	start1	end1	chr2	start2	end2	logFC	logCPM	FDR	PValue	significant	resolution_kb	n_overlaps	loop_distance	loop_type	direction	category	distance_category	direction_label	anchor1_H3K27ac_overlap	anchor1_H3K27me3_overlap	anchor1_H3K4me1_overlap	anchor1_H3K4me3_overlap	anchor2_H3K27ac_overlap	anchor2_H3K27me3_overlap	anchor2_H3K4me1_overlap	anchor2_H3K4me3_overlap	has_H3K27ac	has_H3K27me3	has_H3K4me1	has_H3K4me3	anchor1_distance_to_tss	anchor2_distance_to_tss	anchor1_type	anchor2_type
loop_32	chr8	11635000	11640000	chr8	11695000	11700000	0.507964758182221	5.92970913950171	0.0010800226715267	1.12314669989709e-5	TRUE	5	1	60000	Promoter-Other	up_in_mutant	moderate_differential	<100kb	Gained in BAP1-KO	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0	515	Active_Promoter	Other
loop_8162	chr14	105660000	105670000	chr14	105890000	105900000	-0.399584538766962	4.86375878882028	6.576630843075e-4	1.96438779158683e-5	TRUE	10	2	230000	Promoter-Active_Enhancer	down_in_mutant	weak_differential	100-500kb	Lost in BAP1-KO	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	36229	0	Active_Enhancer	Active_Promoter
loop_1329	chr9	60590000	60600000	chr9	60680000	60690000	-0.385575955751452	6.1846099852789	1.86261900083425e-5	1.1192832454642e-7	TRUE	10	3	90000	Promoter-Active_Enhancer	down_in_mutant	weak_differential	<100kb	Lost in BAP1-KO	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	44117	0	Active_Enhancer	CTCF_Site
loop_122	chr9	66735000	66740000	chr9	66790000	66795000	-0.309987134535429	5.98570495123251	0.0170995086700478	9.081320642807e-4	TRUE	5	1	55000	Promoter-Poised_Enhancer	down_in_mutant	weak_differential	<100kb	Lost in BAP1-KO	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	21313	489	Poised_Enhancer	Active_Promoter
loop_139	chr9	59720000	59725000	chr9	59985000	59990000	-0.530963634931943	4.7586549898101	0.0037576297724676	8.26332582962342e-5	TRUE	5	1	265000	Poised_Enhancer-Other	down_in_mutant	moderate_differential	100-500kb	Lost in BAP1-KO	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	25709	24340	Poised_Enhancer	CTCF_Site
loop_9622	chr11	71750000	71760000	chr11	71930000	71940000	-0.327231693131887	4.89707878873842	0.0017252091709439	7.52377806522488e-5	TRUE	10	2	180000	Promoter-Promoter	down_in_mutant	weak_differential	100-500kb	Lost in BAP1-KO	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	79	121	Active_Promoter	CTCF_Site
loop_216	chr11	17765000	17770000	chr11	18750000	18755000	-0.585277781779022	3.92996168761787	0.0205871830132063	0.0012044108847677	TRUE	5	1	985000	Active_Enhancer-Active_Enhancer	down_in_mutant	moderate_differential	500kb-1Mb	Lost in BAP1-KO	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	183874	263984	Poised_Enhancer	Active_Enhancer
loop_291	chr13	84400000	84425000	chr13	84750000	84775000	-0.309596343189563	5.5178809005672	4.684422489338e-4	1.07880875373601e-5	TRUE	25	3	350000	Active_Enhancer-Active_Enhancer	down_in_mutant	weak_differential	100-500kb	Lost in BAP1-KO	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	177703	414407	Active_Enhancer	Active_Enhancer
loop_251	chr13	21775000	21780000	chr13	22040000	22045000	-0.438108404388366	4.68978687701678	0.0187774306217553	0.0010473675293972	TRUE	5	1	265000	Promoter-Promoter	down_in_mutant	weak_differential	100-500kb	Lost in BAP1-KO	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	624	0	Active_Promoter	Active_Promoter
loop_10275	chr13	38990000	39000000	chr13	40750000	40760000	-0.431575816057458	3.76090203652778	0.0034116165698337	1.973226444818e-4	TRUE	10	2	1760000	Other-Other	down_in_mutant	weak_differential	>1Mb	Lost in BAP1-KO	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	29124	11623	CTCF_Site	CTCF_Site
