chr	start	end	num_contexts	mean_coverage	mean_mod_group1	mean_mod_group2	mod_fold_change	mod_difference	test_statistic	dmr_pvalue	dmr_qvalue	annotation	gene	significant	direction	neg_log10_q	chromatin_state	CTCF_overlap	H3K27ac_overlap	H3K27me3_overlap	H3K4me1_overlap	H3K4me3_overlap	Bivalent_overlap	distance_to_tss
chr1	4807787	4848409	349	21.5691260744986	0.77042318708245	0.801410618992203	1.04022131268803	0.0309874319097527	82.7312898296632	9.40013923328931e-20	8.60524738970675e-19	Gene	Lypla1	TRUE	Hypermethylated	18.0652366397536	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	4807891	4886769	615	21.6276422764228	0.731832673290979	0.763511307381524	1.04328671736954	0.0316786340905451	140.473619432775	2.09722645003428e-32	3.22040090802265e-31	Gene	Gm37988	TRUE	Hypermethylated	30.4920900595762	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	4857813	4897908	238	22.0498949579832	0.702391216665818	0.740359111993729	1.05405519662979	0.0379678953279112	77.5666974891884	1.28315466779783e-18	1.1056937451455e-17	Gene	Tcea1	TRUE	Hypermethylated	16.9563651471828	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	5070017	5162528	468	21.9110576923077	0.762812402163265	0.782869980425421	1.02629424771448	0.0200575782621558	45.8190406768397	1.29696749240458e-11	7.38395569109427e-11	Gene	Atp6v1h	TRUE	Hypermethylated	10.1317109180454	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	6206196	6276647	432	23.4375	0.674019289041916	0.71500184246458	1.06080323529156	0.0409825534226639	160.407724221605	9.21650351027313e-37	1.60951435261351e-35	Gene	Rb1cc1	TRUE	Hypermethylated	34.7933051462023	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	6359217	6394730	192	23.9446614583333	0.818814332810027	0.79838933111634	0.975055393054013	-0.0204250016936867	23.6248496050243	1.17065955079664e-06	4.37169803073693e-06	Gene	Alkal1	TRUE	Hypomethylated	5.35934984400363	Repressed_Promoter	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	0
chr1	6487230	6860939	1704	22.7802963615023	0.67837093268843	0.716373266807153	1.0560199918474	0.0380023341187223	524.372176898767	4.73504913582113e-116	2.65049110426723e-114	Gene	St18	TRUE	Hypermethylated	113.57667364904	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	7088919	7173627	545	23.4635321100917	0.610207302020191	0.672364557930356	1.10186252393962	0.0621572559101644	419.323530752313	3.42521688558386e-93	1.51365742411139e-91	Gene	Pcmtd1	TRUE	Hypermethylated	90.8199724046595	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	9545407	9547454	49	14.3265306122449	0.0922119093958147	0.123979217029341	1.34450330593597	0.0317673076335259	15.5711291462474	7.94586550228639e-05	0.000237088362130055	Gene	Rrs1	TRUE	Hypermethylated	3.62508976355342	Active_Promoter	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	0
chr1	10037986	10136767	740	22.0744932432432	0.766296604326728	0.777089138586632	1.01408401681407	0.0107925342599039	22.6623070489786	1.93119281443096e-06	7.03412603986122e-06	Gene	Cspp1	TRUE	Hypermethylated	5.15278985411322	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	12692276	12861191	1582	21.259007585335	0.735078886662813	0.723701883545111	0.984522745348663	-0.0113770031177016	42.1423645013917	8.48646511990688e-11	4.51671879644943e-10	Gene	Sulf1	TRUE	Hypomethylated	9.34517694706355	Repressed_Promoter	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	0
chr1	15805645	15844051	245	23.4280612244898	0.767121358147753	0.80307262514855	1.0468651623618	0.0359512670007973	84.1799118173693	4.51737389712935e-20	4.19390515146582e-19	Gene	Terf1	TRUE	Hypermethylated	18.3773813956782	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	16105773	16133733	229	22.9819868995633	0.663634400961214	0.679142783221462	1.02336886429906	0.0155083822602489	11.5237751824597	0.000687117077523809	0.00179863755758851	Gene	Rdh10	TRUE	Hypermethylated	2.74505634226741	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
