dmr_gene	dmr_diff	mean_asm_diff	n_asm_sites
4930455H04Rik	-0.0221542749096515	0.419621749408983	1
4931422A03Rik	-0.0156045236027517	0.833333333333333	1
9330182L06Rik	0.00921517389491822	0.556390977443609	1
A430033K04Rik	0.0375962499829573	0.659983026975935	15
A630089N07Rik	0.00892527813909472	0.88	1
AI429214	-0.0887408617893384	0.470326458600452	5
AW554918	0.0105701450315827	0.652173913043478	1
Aadat	-0.0176059441103718	0.497402563323071	16
Aamdc	0.0283653255252326	0.505166106191758	50
Abcb1b	-0.0162722784321361	0.594771241830065	1
Abcb5	-0.00785004516462284	0.459726443768997	1
Abcc12	0.0385265369711087	0.541666666666667	1
Abcc4	-0.0115605759505261	0.58235294117647	1
Abcc5	0.0170779212763248	0.8125	1
Abhd12	0.0206384822894182	0.833333333333333	1
Abhd6	0.0225641762570992	0.39	1
Abhd8	0.0949095532113965	0.370098039215686	1
Abtb2	-0.00859479798262297	0.509259259259259	1
Acbd6	0.014754568665185	0.504761904761905	2
Acer3	0.0311627840874189	0.603436690372504	118
Acot4	0.0389051312960937	0.38235294117647	1
Adam12	-0.005402471072527	0.646853146853147	1
Adam24	-0.0297883996794455	0.727564102564103	2
Adam39	-0.035614925605076	0.56046511627907	1
Adam9	0.0177198478852991	0.807692307692308	1
Adamts18	0.0235731366794045	0.504807692307692	1
Adamts3	-0.00467254508032156	0.632855454088374	11
Adcy2	-0.00431779549511335	0.394736842105263	1
Add1	0.0225591088792334	0.529411764705882	1
Add3	0.0967114447336624	0.65	1
Adgrl2	-0.00619837961795255	0.675675675675676	1
Adgrl3	-0.01506900584641	0.551939924906133	1
Adgrv1	-0.00440380305743493	0.728877444394686	2
Afap1	-0.0403214733951947	0.605664488017429	2
Aff1	0.0109000701485777	0.517582733086609	3
Afp	-0.011923705328938	0.488535537972543	3
Aga	-0.0257846629260683	0.478787503891971	10
Agap1	0.00875588427518559	0.393092105263158	1
Agbl1	-0.00211650659984508	0.530676082531632	4
Agk	0.020709710767472	0.384615384615385	1
Agpat5	0.0435547744570831	0.477453580901857	1
