chr	total_genes	sig_count	sig_rate	expected	obs_exp_ratio	fisher_p	enrichment
chr1	1194	695	0.5821	612.3	1.135	8.43e-07	Enriched
chr2	1780	884	0.4966	912.9	0.968	0.158	Not significant
chr3	981	536	0.5464	503.1	1.065	0.0334	Enriched
chr4	1244	690	0.5547	638	1.082	0.00235	Enriched
chr5	1232	699	0.5674	631.8	1.106	8.18e-05	Enriched
chr6	1098	574	0.5228	563.1	1.019	0.515	Not significant
chr7	1938	771	0.3978	993.9	0.776	2.11e-26	Depleted
chr8	1010	536	0.5307	518	1.035	0.246	Not significant
chr9	1185	635	0.5359	607.7	1.045	0.106	Not significant
chr10	959	527	0.5495	491.8	1.072	0.0206	Enriched
chr11	1594	876	0.5496	817.5	1.072	0.00229	Enriched
chr12	626	397	0.6342	321	1.237	5.79e-10	Enriched
chr13	819	395	0.4823	420	0.94	0.0747	Not significant
chr14	851	399	0.4689	436.4	0.914	0.00955	Depleted
chr15	759	434	0.5718	389.2	1.115	0.000986	Enriched
chr16	644	325	0.5047	330.3	0.984	0.689	Not significant
chr17	1021	494	0.4838	523.6	0.943	0.0583	Not significant
chr18	501	316	0.6307	256.9	1.23	8.37e-08	Enriched
chr19	673	335	0.4978	345.1	0.971	0.433	Not significant
chrX	869	247	0.2842	445.7	0.554	3.96e-44	Depleted
chrY	13	0	0	6.7	0	8.67e-05	Depleted
