gene	chr	start	end	mod_difference	dmr_qvalue	dmr_category	mecp2_nearest_fold	mecp2_nearest_fdr	mecp2_mean_fold	mecp2_n_peaks
Tmeff2	chr1	50900646	51187269	0.085034113995008	4.8151057076211e-306	Hypermethylated	-0.0284175298402841	0.839170557104143	0.478257669117376	23
Fam78b	chr1	167001416	167091301	0.114355846290295	4.8151057076211e-306	Hypermethylated	-0.0047699872781524	0.990661532577023	0.299588041201039	31
Jph1	chr1	16964559	17097888	0.10751476880553	4.8151057076211e-306	Hypermethylated	-0.0458760841250322	0.803361841569105	0.20585204993964	13
1700025G04Rik	chr1	151852402	152090124	0.0628224610672886	4.8151057076211e-306	Hypermethylated	-0.00841067391979247	1	0.0374180470281871	63
Pld5	chr1	175962305	176275311	0.100167164494823	4.8151057076211e-306	Hypermethylated	-0.0131516310228979	0.957869818169209	0.220080886628992	25
Fam107b	chr2	3570487	3782141	0.0783636379478725	4.8151057076211e-306	Hypermethylated	0.00254474632289625	1	0.468393435831587	53
Lrrc4c	chr2	96318168	97631665	0.0354245354692788	4.8151057076211e-306	Hypermethylated	-0.0250731981450642	0.904633052630423	0.492848190478257	97
Lgr4	chr2	109917646	110014256	0.101739505137551	4.8151057076211e-306	Hypermethylated	-0.0131632546295476	0.939655621276056	0.476820898798468	12
Macrod2	chr2	140395308	142392965	0.0234007007719238	4.8151057076211e-306	Hypermethylated	-0.0242863044874102	0.89915239982846	0.316665027414281	163
Zfp385b	chr2	77410633	77819638	0.0547007257492477	4.8151057076211e-306	Hypermethylated	-0.230756407940029	0.389975709862424	0.0559889059456688	26
Ldlrad3	chr2	101950202	102186384	0.0924843584355526	4.8151057076211e-306	Hypermethylated	-0.00660849158581842	0.979948257894915	0.245573960285284	69
Kcnab1	chr3	64949195	65378222	0.0659912724020263	4.8151057076211e-306	Hypermethylated	-0.0489270124497018	0.76846819158026	0.297020081167037	43
Ppm1l	chr3	69316860	69560801	0.0810215464206032	4.8151057076211e-306	Hypermethylated	0.0673715330198358	0.766455021988583	0.107106880683331	44
Unc5c	chr3	141465215	141834923	0.106550556235555	4.8151057076211e-306	Hypermethylated	-0.00627093781138793	0.977585439986772	0.222387069228765	28
Negr1	chr3	156561793	157316444	0.0564542114079826	4.8151057076211e-306	Hypermethylated	-0.0789025060855192	0.744413571002654	-0.0193077547245024	40
Maml3	chr3	51685906	52105075	0.0796891491724255	4.8151057076211e-306	Hypermethylated	-0.051761954993924	1	0.324814481023217	104
Dclk2	chr3	86786150	86920851	0.0974036510345218	4.8151057076211e-306	Hypermethylated	0.0558009798164917	0.781650458481889	0.138722046465007	45
Ndst3	chr3	123526165	123690852	0.1204049212253	4.8151057076211e-306	Hypermethylated	-0.0338398950617634	0.867851127333733	1.04870015547613	37
Runx1t1	chr4	13743435	13893648	0.109502377494959	4.8151057076211e-306	Hypermethylated	0.113273493139048	0.621376557214025	0.433461260137853	101
Nfia	chr4	97772733	98118873	0.0766486231958797	4.8151057076211e-306	Hypermethylated	0.0733822437729435	0.697257335173988	0.441898291894802	56
Patj	chr4	98395784	98719602	0.120445731459954	4.8151057076211e-306	Hypermethylated	1.76229716203468	3.92581287600702e-06	0.932320093794432	25
Csmd2	chr4	127987856	128567655	-0.0545640392960414	4.8151057076211e-306	Hypomethylated	-0.020871607560004	0.931851057315759	-0.233989885042845	74
Svep1	chr4	58042441	58206858	0.0749873190799152	4.8151057076211e-306	Hypermethylated	0.788126891036136	0.0253900691009933	0.897447937903363	25
Nfib	chr4	82290172	82705749	0.0700950392548942	4.8151057076211e-306	Hypermethylated	-0.0714851047670804	0.7528981866796	0.124086418415999	51
Mllt3	chr4	87769924	88033363	0.0723271352645487	4.8151057076211e-306	Hypermethylated	0.0166661678090007	0.940849439073175	0.0832982442162946	36
Tmem132c	chr5	127241807	127565792	0.0677716697789223	4.8151057076211e-306	Hypermethylated	-0.00793528468530919	0.972143102818345	0.0822807181929521	43
Caln1	chr5	130369454	130847411	0.1067487923351	4.8151057076211e-306	Hypermethylated	0.0167477333129991	0.935764453933887	0.36630868141067	36
Kcnip4	chr5	48389501	49524906	0.0413041054596456	4.8151057076211e-306	Hypermethylated	-0.0470193041224073	0.854677015998785	0.544165599465416	72
Kctd8	chr5	69109284	69341678	0.0960924138405999	4.8151057076211e-306	Hypermethylated	0.032022221086656	0.845004251236532	0.647068022912574	18
Snd1	chr6	28475138	28935161	0.0603850703852541	4.8151057076211e-306	Hypermethylated	-0.0500044028932873	0.720664799275917	0.195724559039268	84
Wipf3	chr6	54429602	54503767	0.131948765301587	4.8151057076211e-306	Hypermethylated	-0.00459656529131425	0.985530350884871	0.272433022707423	18
Mgll	chr6	88724411	88828359	0.135007943743503	4.8151057076211e-306	Hypermethylated	0.132544897125754	0.561256538038991	0.191480625380925	40
Syn2	chr6	115134901	115282005	0.130328694883986	4.8151057076211e-306	Hypermethylated	0.020850345661221	0.927139764353953	0.402040842224421	14
Sergef	chr7	46443153	46639806	0.0678282800475941	4.8151057076211e-306	Hypermethylated	-0.138369331657058	0.506095487174447	-0.0421909505601131	27
Prag1	chr8	36094827	36147786	0.123800456695648	4.8151057076211e-306	Hypermethylated	-0.00827032387727461	0.968249637839634	0.208261704137572	25
Sgcz	chr8	37522297	38661507	-0.0517187694221879	4.8151057076211e-306	Hypomethylated	0.00645068036307165	0.980099940396235	0.00824542530084752	4
Galnt7	chr8	57523827	57653031	0.162788287901922	4.8151057076211e-306	Hypermethylated	-0.0633037360234452	0.764294099960385	0.559356144307431	18
Cdh8	chr8	99024470	99416470	0.0851710967214157	4.8151057076211e-306	Hypermethylated	-0.0271563102858776	0.890402610720044	0.508490708046445	16
Cdyl2	chr8	116574399	116732990	0.0767283679723849	4.8151057076211e-306	Hypermethylated	0.0157031275407905	0.94625335469158	-0.0159470464314953	19
Opcml	chr9	27790774	28925409	0.0352299175045312	4.8151057076211e-306	Hypermethylated	-0.372764309523688	0.193123812308412	0.338171615633333	184
Rora	chr9	68653785	69388245	0.0422798495557868	4.8151057076211e-306	Hypermethylated	0.00854855088793991	0.973243042011568	0.0217989254396643	127
Bmp5	chr9	75775363	75900309	0.0963061392566568	4.8151057076211e-306	Hypermethylated	0.652659936635928	0.0613997467702869	0.151712477484941	4
Zic4	chr9	91362412	91389347	0.129079921350548	4.8151057076211e-306	Hypermethylated	-0.0316418680046067	0.875521771826861	1.00801702250324	49
Fat3	chr9	15910188	16501284	-0.0438859892094303	4.8151057076211e-306	Hypomethylated	-0.104817377320981	0.617024065934042	0.0315780064346238	97
Gramd1b	chr9	40293232	40531382	0.0785315494832169	4.8151057076211e-306	Hypermethylated	-0.0489050372660952	0.771519356325558	0.153834090661521	48
Ubash3b	chr9	41011097	41161696	0.0917788109023858	4.8151057076211e-306	Hypermethylated	-0.0685618973687564	0.734278724296391	-0.00191642274686472	24
Peak1	chr9	56201125	56418066	0.0770618365988038	4.8151057076211e-306	Hypermethylated	-0.00477107354830959	0.98168734301486	-0.0400730146328175	10
Lrrc49	chr9	60568858	60688157	0.0984106577060959	4.8151057076211e-306	Hypermethylated	0.0181046446482055	0.938348885055357	0.870022851106884	16
Sesn1	chr10	41809934	41908423	0.120693588980564	4.8151057076211e-306	Hypermethylated	-0.0154960626709838	0.940756262232826	0.171689102134887	15
Ank3	chr10	69398772	70027437	0.039501450365357	4.8151057076211e-306	Hypermethylated	-0.217957646080154	0.447827451709211	0.0282289305528043	78
Cdk17	chr10	93160874	93267070	0.0916117110032357	4.8151057076211e-306	Hypermethylated	0.0125484156749823	0.963562040766153	0.140456633891402	14
Ntn4	chr10	93640680	93747206	0.119170223074622	4.8151057076211e-306	Hypermethylated	2.28268211350279	2.79116222854677e-08	0.659869936504872	10
