chr	start	end	num_contexts	mean_coverage	mean_mod_group1	mean_mod_group2	mod_fold_change	mod_difference	test_statistic	dmr_pvalue	dmr_qvalue	annotation	gene	significant	direction	neg_log10_q
chr1	50900646	51187269	1582	24.5595764854614	0.223229429666836	0.160037651879966	0.716920041048428	-0.0631917777868708	1976.27315709366	2.2250738585072e-308	7.07674626726131e-306	Gene	Tmeff2	TRUE	Hypomethylated	300
chr1	115684755	116587322	3210	23.9309190031153	0.0508046853622392	0.0743709111850917	1.46385930066931	0.0235662258228526	1416.7898036975	4.72046165007665e-310	7.07674626726131e-306	Gene	Cntnap5a	TRUE	Hypermethylated	300
chr1	175962305	176275311	2053	21.5718460789089	0.266413456428901	0.207175715304096	0.777647338393306	-0.059237741124805	1680.17543591798	2.2250738585072e-308	7.07674626726131e-306	Gene	Pld5	TRUE	Hypomethylated	300
chr2	96318168	97631665	5329	24.3044426721711	0.152921668836502	0.127048488459394	0.83080762475349	-0.025873180377108	1412.82470711826	3.4324322158879e-309	7.07674626726131e-306	Gene	Lrrc4c	TRUE	Hypomethylated	300
chr2	145167753	145642165	2864	21.6641497905028	0.111958024686866	0.151500364526654	1.35318897372818	0.0395423398397884	1664.58263115555	2.2250738585072e-308	7.07674626726131e-306	Gene	Slc24a3	TRUE	Hypermethylated	300
chr2	77410633	77819638	3862	21.4791558777835	0.307337185747959	0.262861864123254	0.855288186112374	-0.0444753216247056	1589.40769167866	2.2250738585072e-308	7.07674626726131e-306	Gene	Zfp385b	TRUE	Hypomethylated	300
chr2	101950202	102186384	2585	18.3634912959381	0.265884510740538	0.211406105102106	0.79510500447469	-0.0544784056384317	1524.27436326683	2.2250738585072e-308	7.07674626726131e-306	Gene	Ldlrad3	TRUE	Hypomethylated	300
chr3	64949195	65378222	2314	22.019716940363	0.179191936830803	0.135262703793756	0.754848159945242	-0.0439292330370473	1466.72142928596	2.2250738585072e-308	7.07674626726131e-306	Gene	Kcnab1	TRUE	Hypomethylated	300
chr3	69316860	69560801	2579	20.6531116711904	0.283943143137576	0.230637302816793	0.81226579472301	-0.0533058403207834	1548.58599974984	2.2250738585072e-308	7.07674626726131e-306	Gene	Ppm1l	TRUE	Hypomethylated	300
chr3	141465215	141834923	1810	23.7113259668508	0.315376093979702	0.243194734237361	0.771126090023212	-0.0721813597423415	2199.58872736339	2.2250738585072e-308	7.07674626726131e-306	Gene	Unc5c	TRUE	Hypomethylated	300
chr3	51685906	52105075	5317	19.6378832048147	0.265350667370871	0.219374773475484	0.826735337239125	-0.0459758938953871	2390.50246011881	2.2250738585072e-308	7.07674626726131e-306	Gene	Maml3	TRUE	Hypomethylated	300
chr4	98395784	98719602	2829	20.9266083421704	0.195169686656128	0.126331614695665	0.647291169341531	-0.0688380719604627	4103.25160155473	2.2250738585072e-308	7.07674626726131e-306	Gene	Patj	TRUE	Hypomethylated	300
chr4	45423277	45532469	1276	16.5254702194357	0.134821270858525	0.216938996058103	1.60908582656625	0.0821177251995776	1904.46226969352	2.2250738585072e-308	7.07674626726131e-306	Gene	Shb	TRUE	Hypermethylated	300
chr4	58042441	58206858	1550	21.6108064516129	0.166481750710971	0.113561815148359	0.682127708673088	-0.0529199355626119	1526.11345745317	2.2250738585072e-308	7.07674626726131e-306	Gene	Svep1	TRUE	Hypomethylated	300
chr5	127241807	127565792	3040	18.3965460526316	0.200768216584863	0.143053257440962	0.712529402683091	-0.0577149591439013	2571.49114218748	2.2250738585072e-308	7.07674626726131e-306	Gene	Tmem132c	TRUE	Hypomethylated	300
chr5	130369454	130847411	3301	19.090351408664	0.314926586640232	0.245191145183157	0.778566039148862	-0.0697354414570755	2980.96167461546	2.2250738585072e-308	7.07674626726131e-306	Gene	Caln1	TRUE	Hypomethylated	300
chr5	147957319	148316064	3957	19.0601465756887	0.216208088038046	0.17658411953013	0.816732256098843	-0.0396239685079152	1479.89062114092	2.2250738585072e-308	7.07674626726131e-306	Gene	Mtus2	TRUE	Hypomethylated	300
chr5	48389501	49524906	5112	24.3306191314554	0.167446507359034	0.126665676313111	0.756454573528478	-0.0407808310459228	3244.78183028968	2.2250738585072e-308	7.07674626726131e-306	Gene	Kcnip4	TRUE	Hypomethylated	300
chr5	84054760	84417381	1671	24.7802214242968	0.0676202523907003	0.113216783462736	1.67430288205056	0.0455965310720353	2025.88583453983	2.2250738585072e-308	7.07674626726131e-306	Gene	Epha5	TRUE	Hypermethylated	300
chr6	45059356	47304212	8283	24.0626433659302	0.123553634870608	0.0870616362408768	0.704646498923746	-0.0364919986297312	5563.11845950805	2.2250738585072e-308	7.07674626726131e-306	Gene	Cntnap2	TRUE	Hypomethylated	300
