chrom1	start1	end1	chrom2	start2	end2	other	cluster	strand	gene	log2FC	cond
chr10	101590000	101600000	chr10	102070000	102080000	A	1	-	POLL	-1.90605944930381	control
chr10	112520000	112525000	chr10	112950000	112955000	B	1	+	TCF7L2	-3.34076807027246	control
chr10	112560000	112570000	chr10	113120000	113130000	B	1	+	TCF7L2	-3.34076807027246	control
chr10	112710000	112720000	chr10	112940000	112950000	B	1	+	TCF7L2	-3.34076807027246	control
chr10	112790000	112800000	chr10	112940000	112950000	B	1	+	TCF7L2	-3.34076807027246	control
chr10	112795000	112800000	chr10	112950000	112955000	B	1	+	TCF7L2	-3.34076807027246	control
chr10	170000	180000	chr10	430000	440000	A	6	+	ZMYND11	-2.00950656434013	control
chr10	21280000	21290000	chr10	21510000	21520000	B	1	+	MLLT10	-2.39469924499838	control
chr10	24620000	24630000	chr10	25700000	25710000	A	6	-	ARHGAP21	-2.11118019834547	control
chr10	24640000	24645000	chr10	24950000	24955000	B	2	+	THNSL1	-2.46455856680121	control
chr10	24640000	24650000	chr10	24940000	24950000	B	2	+	THNSL1	-2.46455856680121	control
chr10	24720000	24730000	chr10	24940000	24950000	A	2	-	ARHGAP21	-2.11118019834547	control
chr10	24720000	24730000	chr10	24940000	24950000	B	2	+	THNSL1	-2.46455856680121	control
chr10	24725000	24730000	chr10	24950000	24955000	A	2	-	ARHGAP21	-2.11118019834547	control
chr10	24725000	24730000	chr10	24950000	24955000	B	2	+	THNSL1	-2.46455856680121	control
chr10	32370000	32380000	chr10	32780000	32790000	A	6	-	EPC1	-2.43480384235464	control
chr10	34660000	34670000	chr10	34810000	34820000	B	1	-	PARD3	-1.84898132190076	control
chr10	34665000	34670000	chr10	34820000	34825000	B	1	-	PARD3	-1.84898132190076	control
chr10	5090000	5100000	chr10	5400000	5410000	B	6	+	NET1	-2.26944889181974	control
chr10	5440000	5445000	chr10	5620000	5625000	A	1	+	NET1	-2.26944889181974	control
chr10	5440000	5445000	chr10	5870000	5875000	A	6	+	NET1	-2.26944889181974	control
chr10	5680000	5690000	chr10	5970000	5980000	A	6	+	TASOR2	-2.13169281059492	control
chr10	58170000	58180000	chr10	58640000	58650000	B	6	+	BICC1	2.33642830349442	control
chr10	58300000	58310000	chr10	58640000	58650000	B	6	+	BICC1	2.33642830349442	control
chr10	58410000	58415000	chr10	58640000	58645000	B	6	+	BICC1	2.33642830349442	control
chr10	58415000	58420000	chr10	58640000	58645000	B	6	+	BICC1	2.33642830349442	control
chr10	58780000	58785000	chr10	58950000	58955000	A	2	+	BICC1	2.33642830349442	control
chr10	58780000	58785000	chr10	59180000	59185000	A	2	+	BICC1	2.33642830349442	control
chr10	58780000	58785000	chr10	59620000	59625000	A	6	+	BICC1	2.33642830349442	control
chr10	58780000	58790000	chr10	59230000	59240000	A	2	+	BICC1	2.33642830349442	control
chr10	58780000	58790000	chr10	59460000	59470000	A	3	+	BICC1	2.33642830349442	control
chr10	58785000	58790000	chr10	58950000	58955000	A	2	+	BICC1	2.33642830349442	control
chr10	61830000	61840000	chr10	62040000	62050000	B	6	+	ARID5B	-2.15041646454913	control
chr10	61895000	61900000	chr10	62245000	62250000	A	6	+	ARID5B	-2.15041646454913	control
chr10	61900000	61905000	chr10	62245000	62250000	A	6	+	ARID5B	-2.15041646454913	control
chr10	62040000	62045000	chr10	62240000	62245000	A	1	+	ARID5B	-2.15041646454913	control
chr10	63215000	63220000	chr10	63465000	63470000	B	1	-	JMJD1C	-1.77552307926987	control
chr10	63260000	63270000	chr10	63460000	63470000	A	1	-	JMJD1C	-1.77552307926987	control
chr10	63260000	63270000	chr10	63460000	63470000	B	1	-	JMJD1C	-1.77552307926987	control
chr10	63460000	63470000	chr10	63620000	63630000	A	1	-	JMJD1C	-1.77552307926987	control
chr1	101020000	101030000	chr1	101280000	101290000	A	4	-	DPH5	-2.06419520626765	control
chr1	108690000	108700000	chr1	108890000	108900000	A	1	+	PRPF38B	-2.48840906215196	control
chr1	109545000	109550000	chr1	109765000	109770000	B	1	-	EPS8L3	-1.91278200942048	control
chr11	100680000	100685000	chr11	100845000	100850000	A	2	+	ARHGAP42	-2.32039774961307	control
chr11	100680000	100685000	chr11	100855000	100860000	A	2	+	ARHGAP42	-2.32039774961307	control
chr11	100680000	100685000	chr11	100925000	100930000	A	2	+	ARHGAP42	-2.32039774961307	control
chr11	100680000	100685000	chr11	100930000	100935000	A	2	+	ARHGAP42	-2.32039774961307	control
chr11	102110000	102120000	chr11	102260000	102270000	A	1	+	YAP1	-2.10236126508438	control
chr11	104960000	104970000	chr11	105200000	105210000	A	6	-	CASP4	-2.15112600094668	control
chr11	104970000	104980000	chr11	105200000	105210000	A	6	-	CASP4	-2.15112600094668	control
chr1	110620000	110630000	chr1	110990000	111000000	A	3	-	KCNA2	-2.45919953204779	control
chr1	110625000	110630000	chr1	110775000	110780000	A	5	-	KCNA2	-2.45919953204779	control
chr11	108000000	108005000	chr11	108650000	108655000	A	6	+	CUL5	-1.69659365265487	control
chr11	108005000	108010000	chr11	108650000	108655000	A	6	+	CUL5	-1.69659365265487	control
chr11	109940000	109950000	chr11	110090000	110100000	B	2	+	ZC3H12C	-2.57585059339264	control
chr11	110090000	110100000	chr11	110360000	110370000	A	6	+	ZC3H12C	-2.57585059339264	control
chr11	113300000	113310000	chr11	113790000	113800000	A	3	+	TTC12	-1.63131849370171	control
chr11	113305000	113310000	chr11	113490000	113495000	A	4	+	TTC12	-1.63131849370171	control
chr11	113305000	113310000	chr11	113495000	113500000	A	4	+	TTC12	-1.63131849370171	control
chr11	113305000	113310000	chr11	113530000	113535000	A	4	+	TTC12	-1.63131849370171	control
chr11	113305000	113310000	chr11	113730000	113735000	A	1	+	TTC12	-1.63131849370171	control
chr11	120330000	120335000	chr11	120500000	120505000	A	1	+	ARHGEF12	-1.55763964099314	control
