loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color	resolution	resolution_kb	n_overlaps	is_merged	anchor1_chr	anchor1_start	anchor1_end	anchor1_midpoint	anchor1_size	anchor2_chr	anchor2_start	anchor2_end	anchor2_midpoint	anchor2_size	loop_distance	distance_category	is_intrachromosomal	anchor1_nearest_gene_idx	anchor1_distance_to_tss	anchor2_nearest_gene_idx	anchor2_distance_to_tss	anchor1_nearest_gene	anchor2_nearest_gene	anchor1_H3K27ac_overlap	anchor1_H3K4me1_overlap	anchor1_type	anchor1_is_promoter	anchor2_H3K27ac_overlap	anchor2_H3K4me1_overlap	anchor2_type	anchor2_is_promoter	loop_type	anchor1_H3K27me3_overlap	anchor2_H3K27me3_overlap	anchor1_H3K4me3_overlap	anchor2_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor2_Bivalent_Promoter_overlap	anchor_status
loop_8162	chr14	105660000	105670000	chr14	105890000	105900000	chr14:105660000-105670000_chr14:105890000-105900000	FALSE	-0.399584538766962	4.86375878882028	30.8191808462212	1.96438779158683e-5	6.576630843075e-4	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	2	TRUE	chr14	105660000	105670000	105665000	10000	chr14	105890000	105900000	105895000	10000	230000	100-500kb	TRUE	1557	36229	11386	0	102465207	24064	TRUE	TRUE	Active_Enhancer	FALSE	TRUE	TRUE	Active_Promoter	TRUE	Active_Promoter-Active_Enhancer	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	shared
loop_1329	chr9	60590000	60600000	chr9	60680000	60690000	chr9:60590000-60600000_chr9:60680000-60690000	FALSE	-0.385575955751452	6.1846099852789	64.3620435191987	1.1192832454642e-7	1.86261900083425e-5	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	3	TRUE	chr9	60590000	60600000	60595000	10000	chr9	60680000	60690000	60685000	10000	90000	<100kb	TRUE	1124	44117	2221	0	100504561	102747	TRUE	TRUE	Active_Enhancer	FALSE	TRUE	TRUE	Other	FALSE	Active_Enhancer-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_251	chr13	21775000	21780000	chr13	22040000	22045000	chr13:21775000-21780000_chr13:22040000-22045000	TRUE	-0.438108404388366	4.68978687701678	15.7062742507925	0.0010473675293972	0.0187774306217553	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr13	21775000	21780000	21777500	5000	chr13	22040000	22045000	22042500	5000	265000	100-500kb	TRUE	16875	624	13824	0	56702	319183	TRUE	TRUE	Active_Promoter	TRUE	TRUE	TRUE	Active_Promoter	TRUE	Active_Promoter-Active_Promoter	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	shared
loop_467	chr16	42900000	42925000	chr16	43500000	43525000	chr16:42900000-42925000_chr16:43500000-43525000	FALSE	-0.389209429688525	5.36527355303863	85.61096480801	2.84459919358721e-7	5.68864062262666e-5	TRUE	TRUE	weak_differential	down_in_mutant	NA	25000	25	3	TRUE	chr16	42900000	42925000	42912500	25000	chr16	43500000	43525000	43512500	25000	600000	500kb-1Mb	TRUE	950	0	17512	79803	100503040	626693	TRUE	TRUE	Active_Promoter	TRUE	TRUE	TRUE	Active_Enhancer	FALSE	Active_Promoter-Active_Enhancer	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	shared
loop_467	chr1	91345000	91350000	chr1	91480000	91485000	chr1:91345000-91350000_chr1:91480000-91485000	TRUE	0.472685798771331	5.31087977886742	27.5023927720117	7.13513497290778e-5	0.0034223313618301	TRUE	TRUE	weak_differential	up_in_mutant	NA	5000	5	1	FALSE	chr1	91345000	91350000	91347500	5000	chr1	91480000	91485000	91482500	5000	135000	100-500kb	TRUE	20680	1015	22164	9646	70788	74019	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	FALSE	Other	FALSE	Repressed_Promoter-Other	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_720	chr3	86545000	86550000	chr3	86755000	86760000	chr3:86545000-86550000_chr3:86755000-86760000	TRUE	-0.483819620901568	4.93534782375843	14.6054374658442	0.0014183525985602	0.0230187873892694	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr3	86545000	86550000	86547500	5000	chr3	86755000	86760000	86757500	5000	210000	100-500kb	TRUE	11209	0	20672	160851	23937	70762	TRUE	TRUE	Bivalent_Promoter	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Bivalent_Promoter-Poised_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	shared
loop_867	chr6	13835000	13840000	chr6	13900000	13905000	chr6:13835000-13840000_chr6:13900000-13905000	TRUE	-0.316726841379132	5.55429006947398	14.0749577778747	0.0016484747105622	0.0253141522163369	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr6	13835000	13840000	13837500	5000	chr6	13900000	13905000	13902500	5000	65000	<100kb	TRUE	17771	0	23194	28473	64450	76311	TRUE	FALSE	Active_Promoter	TRUE	FALSE	TRUE	Poised_Enhancer	FALSE	Active_Promoter-Poised_Enhancer	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	shared
loop_869	chr6	51765000	51770000	chr6	51845000	51850000	chr6:51765000-51770000_chr6:51845000-51850000	FALSE	-0.31590110989778	5.55036180525437	13.8154996550963	0.0017761440905323	0.0266033656551999	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr6	51765000	51770000	51767500	5000	chr6	51845000	51850000	51847500	5000	80000	<100kb	TRUE	21205	241098	16251	162548	71982	54353	TRUE	TRUE	Active_Enhancer	FALSE	TRUE	TRUE	Active_Enhancer	FALSE	Active_Enhancer-Active_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_882	chr6	13830000	13835000	chr6	13980000	13985000	chr6:13830000-13835000_chr6:13980000-13985000	FALSE	-0.433706220302438	5.21112903847091	13.7506993620564	0.0018097439658387	0.0269721261047592	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr6	13830000	13835000	13832500	5000	chr6	13980000	13985000	13982500	5000	150000	100-500kb	TRUE	17771	4941	23194	108473	64450	76311	TRUE	TRUE	Active_Enhancer	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Active_Enhancer-Poised_Enhancer	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	shared
loop_1164	chr11	85835000	85840000	chr11	85885000	85890000	chr11:85835000-85840000_chr11:85885000-85890000	FALSE	-0.443512061434171	5.55677348461848	28.3366187008512	6.07889169380186e-5	0.0031231608696555002	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr11	85835000	85840000	85837500	5000	chr11	85885000	85890000	85887500	5000	50000	<100kb	TRUE	8545	2448	8547	0	21385	21387	FALSE	TRUE	Polycomb	FALSE	FALSE	FALSE	Repressed_Promoter	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared
loop_1638	chr5	49815000	49820000	chr5	49960000	49965000	chr5:49815000-49820000_chr5:49960000-49965000	TRUE	-0.459287738883099	4.48467867124889	15.1214679646665	0.0012286658452445	0.0207454171166079	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr5	49815000	49820000	49817500	5000	chr5	49960000	49965000	49962500	5000	145000	100-500kb	TRUE	20656	239005	20656	94005	70693	70693	TRUE	TRUE	Active_Enhancer	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Active_Enhancer-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	shared
loop_1662	chr6	140625000	140630000	chr6	140710000	140715000	chr6:140625000-140630000_chr6:140710000-140715000	TRUE	-0.402242657976892	5.44945452702508	17.9041111769741	5.905531032597e-4	0.0130359506450365	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr6	140625000	140630000	140627500	5000	chr6	140710000	140715000	140712500	5000	85000	<100kb	TRUE	3267	2336	3267	87336	11569	11569	TRUE	TRUE	Active_Enhancer	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Active_Enhancer-Poised_Enhancer	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	shared
