anchor_id	chr	start	end	n_lost_loops	n_gained_loops	n_total_loops
shared_1	chr14	16400000	16425000	1	1	2
shared_2	chr14	16430000	16440000	1	1	2
shared_3	chr14	21975000	22000000	1	1	2
shared_4	chr14	22570000	22600000	1	1	2
shared_5	chr14	34800000	34825000	1	3	4
shared_6	chr14	57360000	57380000	1	1	2
shared_7	chr14	104450000	104475000	1	1	2
shared_8	chr14	105875000	105925000	9	1	10
shared_9	chr9	16200000	16225000	1	2	3
shared_10	chr9	29790000	29800000	1	1	2
shared_11	chr9	32150000	32160000	1	1	2
shared_12	chr9	42925000	42950000	1	3	4
shared_13	chr9	56890000	56900000	1	1	2
shared_14	chr9	60590000	60600000	1	1	2
shared_15	chr9	73140000	73150000	2	1	3
shared_16	chr9	73160000	73170000	2	1	3
shared_17	chr9	74825000	74875000	3	1	4
shared_18	chr9	79790000	79800000	1	1	2
shared_19	chr9	79805000	79810000	1	1	2
shared_20	chr11	24045000	24075000	1	2	3
shared_21	chr11	24080000	24090000	1	1	2
shared_22	chr11	29260000	29270000	1	1	2
shared_23	chr11	31600000	31650000	2	2	4
shared_24	chr11	33170000	33180000	4	1	5
shared_25	chr11	33190000	33200000	4	1	5
shared_26	chr11	34800000	34850000	3	3	6
shared_27	chr11	35975000	36025000	7	1	8
shared_28	chr11	64440000	64450000	1	1	2
shared_29	chr11	85825000	85875000	1	5	6
shared_30	chr11	85885000	85890000	1	1	2
shared_31	chr11	96270000	96300000	2	2	4
shared_32	chr13	22000000	22050000	7	3	10
shared_33	chr13	37950000	38000000	1	3	4
shared_34	chr13	48650000	48675000	2	1	3
shared_35	chr13	68575000	68610000	1	1	2
shared_36	chr13	80875000	80900000	2	1	3
shared_37	chr13	92330000	92340000	1	1	2
shared_38	chr13	92350000	92360000	1	1	2
shared_39	chr13	98300000	98325000	1	1	2
shared_40	chr13	107320000	107350000	1	1	2
shared_41	chr15	25975000	26000000	1	3	4
shared_42	chr15	27175000	27200000	1	4	5
shared_43	chr15	36125000	36150000	2	2	4
shared_44	chr15	40125000	40175000	6	1	7
shared_45	chr15	48775000	48800000	2	1	3
shared_46	chr15	52500000	52525000	1	1	2
shared_47	chr15	66875000	66925000	1	2	3
shared_48	chr15	68920000	68950000	4	2	6
shared_49	chr16	25950000	25975000	1	1	2
shared_50	chr16	26230000	26240000	1	1	2
shared_51	chr16	41250000	41275000	1	1	2
shared_52	chr16	42150000	42200000	2	3	5
shared_53	chr16	42825000	42850000	3	1	4
shared_54	chr16	42870000	42880000	1	1	2
shared_55	chr16	42900000	42925000	3	2	5
shared_56	chr16	43130000	43140000	1	2	3
shared_57	chr16	43150000	43175000	1	3	4
shared_58	chr16	43500000	43550000	3	1	4
shared_59	chr16	43800000	43825000	1	1	2
shared_60	chr16	49270000	49300000	2	1	3
shared_61	chr16	56675000	56725000	2	1	3
shared_62	chr16	59610000	59620000	1	2	3
shared_63	chr16	59625000	59650000	1	2	3
shared_64	chr16	72970000	73000000	2	2	4
shared_65	chr16	85800000	85825000	2	2	4
shared_66	chr17	3550000	3580000	1	1	2
shared_67	chr17	14200000	14225000	1	2	3
shared_68	chr17	15050000	15075000	1	1	2
shared_69	chr17	15375000	15400000	1	3	4
shared_70	chr17	31685000	31690000	1	1	2
shared_71	chr17	31700000	31725000	1	1	2
shared_72	chr18	4950000	4975000	1	1	2
shared_73	chr18	45640000	45650000	1	1	2
shared_74	chr18	58475000	58510000	1	1	2
shared_75	chr18	64325000	64350000	2	2	4
shared_76	chr18	78130000	78140000	1	1	2
shared_77	chr19	11760000	11775000	1	1	2
shared_78	chr19	16775000	16825000	4	1	5
shared_79	chr19	17120000	17130000	1	1	2
shared_80	chr19	17140000	17150000	3	1	4
shared_81	chr19	18525000	18560000	2	3	5
shared_82	chr19	25600000	25630000	1	1	2
shared_83	chr19	28770000	28780000	1	1	2
shared_84	chr19	58460000	58470000	1	2	3
shared_85	chr2	26440000	26450000	1	1	2
shared_86	chr2	27020000	27030000	1	1	2
shared_87	chr2	27040000	27045000	1	1	2
shared_88	chr2	71525000	71550000	4	1	5
shared_89	chr2	74650000	74725000	6	5	11
shared_90	chr2	74960000	74970000	1	1	2
shared_91	chr2	80250000	80275000	1	1	2
shared_92	chr2	93475000	93480000	1	1	2
shared_93	chr2	109670000	109700000	2	3	5
shared_94	chr2	118225000	118250000	1	2	3
shared_95	chr2	118260000	118265000	1	2	3
shared_96	chr2	122750000	122760000	1	1	2
shared_97	chr2	124600000	124650000	1	1	2
shared_98	chr2	167270000	167280000	1	2	3
shared_99	chr2	167600000	167610000	1	1	2
shared_100	chr3	30500000	30525000	3	2	5
shared_101	chr3	50900000	50910000	2	1	3
shared_102	chr3	51100000	51150000	1	5	6
shared_103	chr3	66950000	67000000	6	1	7
shared_104	chr3	93490000	93500000	1	1	2
shared_105	chr3	99225000	99250000	1	3	4
shared_106	chr3	127620000	127650000	2	1	3
shared_107	chr3	129200000	129225000	4	1	5
shared_108	chr3	135280000	135290000	1	1	2
shared_109	chr4	20000000	20050000	1	2	3
shared_110	chr4	24150000	24160000	1	1	2
shared_111	chr4	33395000	33400000	1	1	2
shared_112	chr4	45750000	45775000	2	2	4
shared_113	chr4	46600000	46605000	1	1	2
shared_114	chr4	46610000	46615000	1	1	2
shared_115	chr4	47275000	47300000	2	1	3
shared_116	chr4	47375000	47425000	2	6	8
shared_117	chr4	48675000	48700000	2	1	3
shared_118	chr4	55000000	55010000	1	1	2
shared_119	chr4	58175000	58225000	3	3	6
shared_120	chr4	98720000	98730000	1	1	2
shared_121	chr4	117830000	117840000	1	1	2
shared_122	chr4	118290000	118300000	2	1	3
shared_123	chr4	125960000	125970000	1	3	4
shared_124	chr4	125975000	126000000	1	3	4
shared_125	chr5	49960000	49965000	2	1	3
shared_126	chr5	49970000	50000000	2	1	3
shared_127	chr5	52050000	52075000	1	1	2
shared_128	chr5	77800000	77810000	1	1	2
shared_129	chr5	83480000	83490000	1	1	2
shared_130	chr5	83500000	83525000	1	2	3
shared_131	chr5	97110000	97120000	1	1	2
shared_132	chr5	97125000	97130000	1	1	2
shared_133	chr5	102690000	102725000	1	1	2
shared_134	chr5	109550000	109575000	1	1	2
shared_135	chr5	125520000	125550000	1	6	7
