loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color	resolution	resolution_kb	n_overlaps	is_merged	anchor1_chr	anchor1_start	anchor1_end	anchor1_midpoint	anchor1_size	anchor2_chr	anchor2_start	anchor2_end	anchor2_midpoint	anchor2_size	loop_distance	distance_category	is_intrachromosomal	anchor1_nearest_gene_idx	anchor1_distance_to_tss	anchor2_nearest_gene_idx	anchor2_distance_to_tss	anchor1_nearest_gene	anchor2_nearest_gene	anchor1_H3K27ac_overlap	anchor1_H3K4me1_overlap	anchor1_type	anchor1_is_promoter	anchor2_H3K27ac_overlap	anchor2_H3K4me1_overlap	anchor2_type	anchor2_is_promoter	loop_type	anchor1_H3K27me3_overlap	anchor2_H3K27me3_overlap	anchor1_H3K4me3_overlap	anchor2_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor2_Bivalent_Promoter_overlap	anchor_status	anchor1_is_polycomb	anchor2_is_polycomb	polycomb_anchor_count	polycomb_status	is_polycomb_anchored
loop_467	chr1	91345000	91350000	chr1	91480000	91485000	chr1:91345000-91350000_chr1:91480000-91485000	TRUE	0.472685798771331	5.31087977886742	27.5023927720117	7.13513497290778e-5	0.0034223313618301	TRUE	TRUE	weak_differential	up_in_mutant	NA	5000	5	1	FALSE	chr1	91345000	91350000	91347500	5000	chr1	91480000	91485000	91482500	5000	135000	100-500kb	TRUE	20680	1015	22164	9646	70788	74019	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	FALSE	Other	FALSE	Repressed_Promoter-Other	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	FALSE	1	One_Polycomb	TRUE
loop_1164	chr11	85835000	85840000	chr11	85885000	85890000	chr11:85835000-85840000_chr11:85885000-85890000	FALSE	-0.443512061434171	5.55677348461848	28.3366187008512	6.07889169380186e-5	0.0031231608696555002	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr11	85835000	85840000	85837500	5000	chr11	85885000	85890000	85887500	5000	50000	<100kb	TRUE	8545	2448	8547	0	21385	21387	FALSE	TRUE	Polycomb	FALSE	FALSE	FALSE	Repressed_Promoter	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_12404	chr18	57400000	57425000	chr18	58475000	58500000	chr18:57400000-57425000_chr18:58475000-58500000	FALSE	-0.302946727000836	4.45819498320034	30.8207218241003	7.66971291084479e-5	0.0016140558077295	TRUE	TRUE	weak_differential	down_in_mutant	NA	25000	25	3	TRUE	chr18	57400000	57425000	57412500	25000	chr18	58475000	58500000	58487500	25000	1075000	>1Mb	TRUE	945	0	9741	56256	100503007	225579	FALSE	TRUE	Other	FALSE	FALSE	FALSE	Polycomb	FALSE	Polycomb-Other	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	FALSE	TRUE	1	One_Polycomb	TRUE
loop_13250	chr18	77790000	77800000	chr18	78130000	78140000	chr18:77790000-77800000_chr18:78130000-78140000	FALSE	-0.303911684470155	4.29368444965048	15.4318604296048	8.323738287397e-4	0.0097761483798808	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	2	TRUE	chr18	77790000	77800000	77795000	10000	chr18	78130000	78140000	78135000	10000	340000	100-500kb	TRUE	17306	0	2700	2118	619308	108052	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Repressed_Promoter-Poised_Enhancer	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	FALSE	1	One_Polycomb	TRUE
loop_17280	chr6	51170000	51180000	chr6	52310000	52320000	chr6:51170000-51180000_chr6:52310000-52320000	FALSE	-0.866346995338293	4.01507337320884	73.2262445356311	4.06974247260018e-8	9.11944669701854e-6	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	2	TRUE	chr6	51170000	51180000	51175000	10000	chr6	52310000	52320000	52315000	10000	1140000	>1Mb	TRUE	15212	89909	20625	0	387166	70593	FALSE	TRUE	Polycomb	FALSE	FALSE	TRUE	Repressed_Promoter	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_3779	chr18	64340000	64345000	chr18	64465000	64470000	chr18:64340000-64345000_chr18:64465000-64470000	TRUE	0.454929935851277	4.83053742901258	21.5222868389937	2.49270155555e-4	0.0075081673989804	TRUE	TRUE	weak_differential	up_in_mutant	NA	5000	5	1	FALSE	chr18	64340000	64345000	64342500	5000	chr18	64465000	64470000	64467500	5000	125000	100-500kb	TRUE	9747	0	4692	20250	225631	14151	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Repressed_Promoter-Poised_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	shared	TRUE	FALSE	1	One_Polycomb	TRUE
loop_7382	chr9	42325000	42330000	chr9	42940000	42945000	chr9:42325000-42330000_chr9:42940000-42945000	TRUE	-0.345618548664937	5.25032979395401	13.4133785644232	0.0019966410066311	0.0286312588367154	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr9	42325000	42330000	42327500	5000	chr9	42940000	42945000	42942500	5000	615000	500kb-1Mb	TRUE	10857	60743	3004	0	235293	110637	FALSE	FALSE	Polycomb	FALSE	FALSE	TRUE	Repressed_Promoter	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_8912	chr9	31550000	31560000	chr9	32150000	32160000	chr9:31550000-31560000_chr9:32150000-32160000	TRUE	-0.484511829273788	5.06199907348208	66.0052764625438	9.20550495306959e-8	1.6938129113648e-5	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	3	TRUE	chr9	31550000	31560000	31555000	10000	chr9	32150000	32160000	32155000	10000	600000	500kb-1Mb	TRUE	10849	85537	14593	33863	235135	330914	FALSE	TRUE	Poised_Enhancer	FALSE	FALSE	FALSE	Polycomb	FALSE	Polycomb-Poised_Enhancer	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	FALSE	TRUE	1	One_Polycomb	TRUE
loop_9380	chr11	33190000	33200000	chr11	33290000	33300000	chr11:33190000-33200000_chr11:33290000-33300000	TRUE	-0.634982271628178	6.03270927735954	119.363404153617	7.03485993732093e-10	6.12357500390182e-7	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	2	TRUE	chr11	33190000	33200000	33195000	10000	chr11	33290000	33300000	33295000	10000	100000	<100kb	TRUE	13398	3588	13398	86410	27140	27140	TRUE	TRUE	Polycomb	FALSE	TRUE	TRUE	Active_Enhancer	FALSE	Polycomb-Active_Enhancer	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	FALSE	1	One_Polycomb	TRUE
loop_9643	chr11	96270000	96280000	chr11	96860000	96870000	chr11:96270000-96280000_chr11:96860000-96870000	FALSE	-0.328236301640602	4.6071984660089	22.2224729196332	1.331478097178e-4	0.0025970618356423	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	2	TRUE	chr11	96270000	96280000	96275000	10000	chr11	96860000	96870000	96865000	10000	590000	500kb-1Mb	TRUE	5315	0	15216	9606	15417	387170	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Repressed_Promoter-Poised_Enhancer	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	FALSE	1	One_Polycomb	TRUE
