entrez_id	anchor_chr	anchor_start	anchor_end	gene_symbol	log2FoldChange	padj	baseMean
14803	chr14	34800000	34825000	Grid1	0.576910156036565	1.82515831549174e-5	1297.05608863865
24064	chr14	105875000	105925000	Spry2	-0.818839901476966	4.15900102289719e-12	144.716642787948
330914	chr9	32150000	32160000	Arhgap32	0.444813500073553	1.49688087398188e-12	1040.76978934558
110637	chr9	42925000	42950000	Grik4	0.487826782934688	1.28155176288748e-4	427.614867396297
102747	chr9	60590000	60600000	Lrrc49	-1.14631259487077	4.0560061138319e-37	987.931300283811
27140	chr11	33170000	33180000	Tlx3	-2.7132489314622	2.93790756690699e-31	38.3907758294465
211652	chr11	35975000	36025000	Wwc1	1.0089204279085	5.14856793606431e-26	656.226296781541
13992	chr15	68920000	68950000	Khdrbs3	1.92364923680074	9.37028604608279e-44	322.459433186605
56490	chr16	42900000	42925000	Zbtb20	-1.08649561400187	9.71988977801703e-25	12834.0232889861
56297	chr16	59625000	59650000	Arl6	-0.522901266750883	1.29403347916254e-5	209.521675209106
224481	chr17	3550000	3580000	Tfb1m	-0.363283777249093	0.0260656597108953	97.1768514706885
240025	chr17	14200000	14225000	Dact2	2.0270845178062	3.35613831582861e-12	28.5216784341664
225115	chr18	4950000	4975000	Svil	0.641830384944112	1.67772178555324e-8	426.091817312811
225631	chr18	64325000	64350000	Onecut2	1.77524631495951	6.80095067630851e-33	336.642286784118
20409	chr19	18525000	18560000	Ostf1	-0.469192752964377	0.0041319076576548	87.8843290847536
111970	chr2	71525000	71550000	Dlx1as	-1.20534031361159	0.0425969869269765	7.83917748971786
12064	chr2	109670000	109700000	Bdnf	-1.36238643186776	6.9961251600885e-12	329.854532109525
19223	chr2	167270000	167280000	Ptgis	1.26592416277829	0.00216655685260024	11.9359946036533
107684	chr4	46600000	46605000	Coro2a	-0.380558266823149	3.93780093801287e-4	428.915733193121
381605	chr4	46610000	46615000	Tbc1d2	-1.05135984604266	1.72468588668833e-8	45.0720216797885
12819	chr4	47275000	47300000	Col15a1	1.81705607273235	8.08397163932082e-15	44.2168668073248
21812	chr4	47275000	47300000	Tgfbr1	0.567854658774411	0.0077527779514548	126.344674691226
242466	chr4	55000000	55010000	Zfp462	0.906524882015394	8.79621432565624e-24	1438.65405450298
64817	chr4	58175000	58225000	Svep1	-1.9850889525323001	1.81157573793042e-48	1330.94461879343
19268	chr4	118290000	118300000	Ptprf	1.47687119521649	6.9403103703088e-38	349.549069022195
70693	chr5	49960000	49965000	Adgra3	0.620558642368797	4.30373464074967e-6	116.628569610077
78894	chr5	125520000	125550000	Aacs	-0.429955383372432	0.00846489564997681	199.080348983735
208151	chr5	125520000	125550000	Tmem132b	0.643301559419836	4.0569419484236e-5	112.159532381016
64450	chr6	13825000	13850000	Gpr85	-0.651468602208368	2.38176011393414e-7	232.650395372995
66520	chr6	13825000	13850000	Smim30	-0.730890974645831	1.33563986737922e-4	56.8848775947221
93671	chr6	124250000	124275000	Cd163	-1.48574168629741	4.26831073231506e-6	23.1087408924669
14792	chr6	124640000	124645000	Lpcat3	-0.500351336746588	1.89487099889457e-8	436.069730541457
11489	chr7	134325000	134350000	Adam12	0.727642806161758	3.38362896607571e-7	294.37096721275
13593	chr7	137300000	137330000	Ebf3	0.843260489584343	1.82664355485656e-10	170.934705519753
100038725	chr10	53300000	53350000	Cep85l	-0.344642569017991	9.01940079452682e-4	941.061670986323
327812	chr10	105570000	105580000	Gm15663	-1.06694789656321	5.5360173084889505e-07	39.4155697916129
67260	chr8	4580000	4590000	Cers4	0.760202212551821	4.09530327000406e-16	466.526165647281
94109	chr8	17525000	17550000	Csmd1	1.02285422139959	6.54018126191336e-10	9476.16688375195
380755	chr12	40200000	40250000	Lsmem1	0.738660132402346	0.0166418293576727	27.3871152638046
320487	chr12	52000000	52015000	Heatr5a	-0.703406900361558	3.50400964888421e-15	236.873282465326
213527	chr1	65170000	65200000	Pth2r	1.31533460456596	6.33913055655808e-5	40.5150390832901
15490	chr1	169925000	169950000	Hsd17b7	-0.444778650707478	0.0156516067127739	77.7174742033636
