loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color
loop_1	chr8	110880000	110890000	chr8	110930000	110940000	chr8:110880000-110890000_chr8:110930000-110940000	-0.113186101111607	6.79378395233299	5.03692349407087	0.0362910307236519	0.130932346140234	FALSE	FALSE	non_significant	unchanged	#999999
loop_2	chr8	87290000	87300000	chr8	87340000	87350000	chr8:87290000-87300000_chr8:87340000-87350000	-0.0596633141065436	6.44798995962446	1.69050570964005	0.20832525148481	0.407657319275186	FALSE	FALSE	non_significant	unchanged	#999999
loop_3	chr8	126660000	126670000	chr8	126710000	126720000	chr8:126660000-126670000_chr8:126710000-126720000	-0.038959860176623	6.3549524031661	0.517267006203596	0.480333311371704	0.671997496628819	FALSE	FALSE	non_significant	unchanged	#999999
loop_4	chr8	84740000	84750000	chr8	84790000	84800000	chr8:84740000-84750000_chr8:84790000-84800000	-0.0565077914289008	7.47126098617235	1.06491402629581	0.314420545803123	0.524538563391106	FALSE	FALSE	non_significant	unchanged	#999999
loop_5	chr8	40990000	41000000	chr8	41040000	41050000	chr8:40990000-41000000_chr8:41040000-41050000	0.129206668132322	6.88442470367045	3.94293686254609	0.0618996960139347	0.186838346250649	FALSE	FALSE	non_significant	unchanged	#999999
loop_6	chr8	4160000	4170000	chr8	4250000	4260000	chr8:4160000-4170000_chr8:4250000-4260000	-0.0556434575134013	5.67900052162688	1.19755834402094	0.286820646056082	0.496392510632503	FALSE	FALSE	non_significant	unchanged	#999999
loop_7	chr8	122830000	122840000	chr8	122900000	122910000	chr8:122830000-122840000_chr8:122900000-122910000	-0.0596667271415929	5.73654374186414	0.96833466293867	0.336856206986087	0.545565312473818	FALSE	FALSE	non_significant	unchanged	#999999
loop_8	chr8	57740000	57750000	chr8	57790000	57800000	chr8:57740000-57750000_chr8:57790000-57800000	-0.243069171364722	6.2523623795092	25.0624904382554	6.78315413616829e-05	0.00159084294725141	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_9	chr8	71440000	71450000	chr8	71490000	71500000	chr8:71440000-71450000_chr8:71490000-71500000	0.02628159043549	6.43094889149104	0.229755256634353	0.636907037182547	0.789834646786407	FALSE	FALSE	non_significant	unchanged	#999999
loop_10	chr8	106930000	106940000	chr8	106980000	106990000	chr8:106930000-106940000_chr8:106980000-106990000	0.151114981026159	6.59440784797774	10.5027657071104	0.00409763236974639	0.0293440586144601	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_11	chr8	107150000	107160000	chr8	107290000	107300000	chr8:107150000-107160000_chr8:107290000-107300000	-0.0883735007945015	5.54481854948928	2.44353357916219	0.133702075919025	0.309451182467131	FALSE	FALSE	non_significant	unchanged	#999999
loop_12	chr8	41050000	41060000	chr8	41130000	41140000	chr8:41050000-41060000_chr8:41130000-41140000	0.101971888148943	5.65293183952258	2.08310802453486	0.164424350732264	0.351260327144855	FALSE	FALSE	non_significant	unchanged	#999999
loop_13	chr8	4250000	4260000	chr8	4320000	4330000	chr8:4250000-4260000_chr8:4320000-4330000	-0.129435983065745	5.5868814141326	5.99564793611134	0.0236916720195801	0.0980416751046146	FALSE	TRUE	trending	unchanged	#999999
loop_14	chr8	25350000	25360000	chr8	25420000	25430000	chr8:25350000-25360000_chr8:25420000-25430000	-0.0520608803012931	5.98632507425877	0.790801266788719	0.38443392215503	0.589896412569945	FALSE	FALSE	non_significant	unchanged	#999999
loop_15	chr8	123100000	123110000	chr8	123150000	123160000	chr8:123100000-123110000_chr8:123150000-123160000	0.000441144785061244	6.62951844905393	6.65081009406406e-05	0.993573957795605	0.996359158742605	FALSE	FALSE	non_significant	unchanged	#999999
loop_16	chr8	83660000	83670000	chr8	83710000	83720000	chr8:83660000-83670000_chr8:83710000-83720000	-0.0150564409773277	6.23085751371723	0.073662194853604	0.788860244251419	0.884959252734513	FALSE	FALSE	non_significant	unchanged	#999999
loop_17	chr8	41360000	41370000	chr8	41410000	41420000	chr8:41360000-41370000_chr8:41410000-41420000	0.00825077652983516	6.30277751062697	0.0256699332218374	0.874316872092499	0.934653037135584	FALSE	FALSE	non_significant	unchanged	#999999
loop_18	chr8	110550000	110560000	chr8	110600000	110610000	chr8:110550000-110560000_chr8:110600000-110610000	0.0666897806719734	5.99727339696174	1.55330577992505	0.227055196018339	0.430738742354321	FALSE	FALSE	non_significant	unchanged	#999999
loop_19	chr8	26740000	26750000	chr8	26970000	26980000	chr8:26740000-26750000_chr8:26970000-26980000	-0.203415643025754	4.81335722197728	8.90522512071221	0.00733485833390873	0.0441731010678612	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_20	chr8	69620000	69630000	chr8	69770000	69780000	chr8:69620000-69630000_chr8:69770000-69780000	0.00355498918206268	4.99365820480358	0.00202270870236199	0.964573820644471	0.982482941644312	FALSE	FALSE	non_significant	unchanged	#999999
loop_21	chr8	31160000	31170000	chr8	31210000	31220000	chr8:31160000-31170000_chr8:31210000-31220000	-0.197685754906673	6.06819087135209	16.7359129138225	0.000569145507130134	0.00735211250991392	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_22	chr8	25840000	25850000	chr8	25990000	26000000	chr8:25840000-25850000_chr8:25990000-26000000	-0.00279330286259789	5.20465813542386	0.00213534138792495	0.963601561891321	0.981985914229648	FALSE	FALSE	non_significant	unchanged	#999999
loop_23	chr8	114450000	114460000	chr8	114590000	114600000	chr8:114450000-114460000_chr8:114590000-114600000	-0.178483685620439	4.32952237569057	3.97704626424852	0.0599424676136295	0.182324905510057	FALSE	FALSE	non_significant	unchanged	#999999
loop_24	chr8	125180000	125190000	chr8	125390000	125400000	chr8:125180000-125190000_chr8:125390000-125400000	0.033919509757719	4.98832853633522	0.257496214764916	0.617397904699297	0.776236929657639	FALSE	FALSE	non_significant	unchanged	#999999
loop_25	chr8	64730000	64740000	chr8	64840000	64850000	chr8:64730000-64740000_chr8:64840000-64850000	-0.153019904827781	5.09873638856665	5.66315083444624	0.0273955144195024	0.108242891470353	FALSE	FALSE	non_significant	unchanged	#999999
loop_26	chr8	116290000	116300000	chr8	116370000	116380000	chr8:116290000-116300000_chr8:116370000-116380000	-0.0625382647374108	5.11722194421163	0.933829851867699	0.34541538815895	0.553917740013701	FALSE	FALSE	non_significant	unchanged	#999999
loop_27	chr8	91310000	91320000	chr8	91370000	91380000	chr8:91310000-91320000_chr8:91370000-91380000	-0.162512617046031	5.59525730833486	6.75157892736201	0.0171907121540866	0.0786934056373966	FALSE	TRUE	trending	unchanged	#999999
loop_28	chr8	95000000	95010000	chr8	95060000	95070000	chr8:95000000-95010000_chr8:95060000-95070000	-0.0838086502154481	5.55118270883607	2.14389016035441	0.15868700909429	0.344433143744314	FALSE	FALSE	non_significant	unchanged	#999999
loop_29	chr8	91550000	91560000	chr8	91670000	91680000	chr8:91550000-91560000_chr8:91670000-91680000	0.0748205657265089	5.06069800850433	1.34341868154747	0.260089708343824	0.467987778600527	FALSE	FALSE	non_significant	unchanged	#999999
loop_30	chr8	87030000	87040000	chr8	87130000	87140000	chr8:87030000-87040000_chr8:87130000-87140000	-0.00693384707068504	5.36595385608631	0.0119329800505272	0.914102645918146	0.956271197301446	FALSE	FALSE	non_significant	unchanged	#999999
loop_31	chr8	54750000	54760000	chr8	54800000	54810000	chr8:54750000-54760000_chr8:54800000-54810000	0.0314317825112383	6.45062431675758	0.445209215574594	0.512247782535034	0.696876101135015	FALSE	FALSE	non_significant	unchanged	#999999
loop_32	chr8	69320000	69330000	chr8	69620000	69630000	chr8:69320000-69330000_chr8:69620000-69630000	-0.0502530917773125	4.43546026411832	0.348826595667343	0.561396309376349	0.734847962626116	FALSE	FALSE	non_significant	unchanged	#999999
loop_33	chr8	116660000	116670000	chr8	116870000	116880000	chr8:116660000-116670000_chr8:116870000-116880000	-0.0963337396313916	4.67740403292033	1.66972046982139	0.211033851679612	0.411025656730893	FALSE	FALSE	non_significant	unchanged	#999999
loop_34	chr8	64020000	64030000	chr8	64140000	64150000	chr8:64020000-64030000_chr8:64140000-64150000	-0.169263485138908	5.15858110749742	8.15712927061434	0.0097671173843075	0.0537571499614901	FALSE	TRUE	trending	unchanged	#999999
loop_35	chr8	11630000	11640000	chr8	11720000	11730000	chr8:11630000-11640000_chr8:11720000-11730000	0.115973761392693	5.41249515113269	4.00097778650956	0.0592430318706939	0.181138651350654	FALSE	FALSE	non_significant	unchanged	#999999
loop_36	chr8	71700000	71710000	chr8	72020000	72030000	chr8:71700000-71710000_chr8:72020000-72030000	-0.0913369907322335	4.44914905607916	1.09260422327312	0.308369901577145	0.517770429000218	FALSE	FALSE	non_significant	unchanged	#999999
loop_37	chr8	22660000	22670000	chr8	22900000	22910000	chr8:22660000-22670000_chr8:22900000-22910000	-0.0447213004290539	4.71654918617954	0.467611148481079	0.501938258308118	0.688789710204184	FALSE	FALSE	non_significant	unchanged	#999999
loop_38	chr8	86730000	86740000	chr8	86900000	86910000	chr8:86730000-86740000_chr8:86900000-86910000	0.0455471564011364	5.07041942621674	0.59079246047231	0.451098181667931	0.649030772251025	FALSE	FALSE	non_significant	unchanged	#999999
loop_39	chr8	79020000	79030000	chr8	79390000	79400000	chr8:79020000-79030000_chr8:79390000-79400000	-0.273121559260051	3.90440444682831	8.9621394417453	0.00717951376839562	0.0435154674896437	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_40	chr8	115900000	115910000	chr8	116290000	116300000	chr8:115900000-115910000_chr8:116290000-116300000	-0.146033164972149	3.79835317941616	2.26475520761937	0.147983533852352	0.330162001000239	FALSE	FALSE	non_significant	unchanged	#999999
loop_41	chr8	36450000	36460000	chr8	36610000	36620000	chr8:36450000-36460000_chr8:36610000-36620000	-0.0857355028383908	4.09558848550966	0.856254008136032	0.365825202219954	0.572450803888681	FALSE	FALSE	non_significant	unchanged	#999999
loop_42	chr8	22190000	22200000	chr8	22380000	22390000	chr8:22190000-22200000_chr8:22380000-22390000	-0.160673242383365	4.77035608613373	5.96255436978607	0.0240338273741031	0.098926981222816	FALSE	TRUE	trending	unchanged	#999999
loop_43	chr8	93530000	93540000	chr8	93610000	93620000	chr8:93530000-93540000_chr8:93610000-93620000	-0.159245244041352	4.74972883327029	4.09362956797056	0.056622206533681	0.175712844956845	FALSE	FALSE	non_significant	unchanged	#999999
loop_44	chr8	125070000	125080000	chr8	125390000	125400000	chr8:125070000-125080000_chr8:125390000-125400000	-0.204235990359806	3.74149202708982	3.50105440154725	0.0760395003209892	0.213832749908627	FALSE	FALSE	non_significant	unchanged	#999999
loop_45	chr8	10430000	10440000	chr8	11210000	11220000	chr8:10430000-10440000_chr8:11210000-11220000	-0.0610805191398	5.0412830974541	0.864133950519842	0.36367397250298	0.570425486567846	FALSE	FALSE	non_significant	unchanged	#999999
loop_46	chr8	107090000	107100000	chr8	107420000	107430000	chr8:107090000-107100000_chr8:107420000-107430000	-0.219380622614325	4.19234064870409	6.77211745430064	0.0170445401547556	0.0782458484345699	FALSE	TRUE	trending	unchanged	#999999
loop_47	chr8	35920000	35930000	chr8	36490000	36500000	chr8:35920000-35930000_chr8:36490000-36500000	-0.0389690634537214	3.68774880981082	0.0885480168690764	0.769101461797323	0.873757007989244	FALSE	FALSE	non_significant	unchanged	#999999
loop_48	chr8	119070000	119080000	chr8	119290000	119300000	chr8:119070000-119080000_chr8:119290000-119300000	-0.0400183744737758	4.27536731126194	0.250068490756071	0.622486774197705	0.779727732656766	FALSE	FALSE	non_significant	unchanged	#999999
loop_49	chr8	115150000	115160000	chr8	115430000	115440000	chr8:115150000-115160000_chr8:115430000-115440000	-0.275168903419387	3.85171302814041	7.69326634594839	0.0117220310963763	0.0609308699525008	FALSE	TRUE	trending	unchanged	#999999
loop_50	chr8	93050000	93060000	chr8	93430000	93440000	chr8:93050000-93060000_chr8:93430000-93440000	0.0416043938601585	4.42261034041154	0.217858251593134	0.645723243988404	0.794962904917836	FALSE	FALSE	non_significant	unchanged	#999999
loop_51	chr8	65020000	65030000	chr8	65100000	65110000	chr8:65020000-65030000_chr8:65100000-65110000	0.057474930970372	5.23844417837429	0.439351241213973	0.515331217383776	0.69944373284418	FALSE	FALSE	non_significant	unchanged	#999999
loop_52	chr8	33380000	33390000	chr8	33730000	33740000	chr8:33380000-33390000_chr8:33730000-33740000	-0.114986469270396	4.18135479212303	1.91625180015877	0.181529561699561	0.373522778469359	FALSE	FALSE	non_significant	unchanged	#999999
loop_53	chr8	4670000	4680000	chr8	4770000	4780000	chr8:4670000-4680000_chr8:4770000-4780000	-0.1217343866722	4.59251440937341	2.96892343256581	0.100312253903983	0.256064395483301	FALSE	FALSE	non_significant	unchanged	#999999
loop_54	chr8	70840000	70850000	chr8	71200000	71210000	chr8:70840000-70850000_chr8:71200000-71210000	-0.294256634635422	3.47102558517984	5.71695324924197	0.0267542803600704	0.106415267681742	FALSE	FALSE	non_significant	unchanged	#999999
loop_55	chr8	48220000	48230000	chr8	49820000	49830000	chr8:48220000-48230000_chr8:49820000-49830000	-0.428342941993396	3.17557930401806	15.2401701061624	0.000881363390976721	0.01019265010965	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
