loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color
loop_8	chr8	57740000	57750000	chr8	57790000	57800000	chr8:57740000-57750000_chr8:57790000-57800000	-0.243069171364722	6.2523623795092	25.0624904382554	6.78315413616829e-05	0.00159084294725141	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_10	chr8	106930000	106940000	chr8	106980000	106990000	chr8:106930000-106940000_chr8:106980000-106990000	0.151114981026159	6.59440784797774	10.5027657071104	0.00409763236974639	0.0293440586144601	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_19	chr8	26740000	26750000	chr8	26970000	26980000	chr8:26740000-26750000_chr8:26970000-26980000	-0.203415643025754	4.81335722197728	8.90522512071221	0.00733485833390873	0.0441731010678612	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_21	chr8	31160000	31170000	chr8	31210000	31220000	chr8:31160000-31170000_chr8:31210000-31220000	-0.197685754906673	6.06819087135209	16.7359129138225	0.000569145507130134	0.00735211250991392	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_39	chr8	79020000	79030000	chr8	79390000	79400000	chr8:79020000-79030000_chr8:79390000-79400000	-0.273121559260051	3.90440444682831	8.9621394417453	0.00717951376839562	0.0435154674896437	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_55	chr8	48220000	48230000	chr8	49820000	49830000	chr8:48220000-48230000_chr8:49820000-49830000	-0.428342941993396	3.17557930401806	15.2401701061624	0.000881363390976721	0.01019265010965	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_58	chr8	48090000	48100000	chr8	48520000	48530000	chr8:48090000-48100000_chr8:48520000-48530000	0.383233469280687	4.05662708511694	18.5261313759771	0.000345749619056716	0.00508777982996853	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_62	chr14	31120000	31130000	chr14	31170000	31180000	chr14:31120000-31130000_chr14:31170000-31180000	0.221765393878592	6.67208521666326	20.5435794399078	0.000203013472457347	0.00348339720140611	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_105	chr9	29530000	29540000	chr9	29580000	29590000	chr9:29530000-29540000_chr9:29580000-29590000	-0.158393435974208	6.7183552430371	11.3115696793337	0.00309366670868568	0.0243880228399285	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_112	chr9	21690000	21700000	chr9	21760000	21770000	chr9:21690000-21700000_chr9:21760000-21770000	-0.173056636815506	6.6748944435013	13.6222340563689	0.00144861680697017	0.0146362033818522	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_122	chr9	122800000	122810000	chr9	122860000	122870000	chr9:122800000-122810000_chr9:122860000-122870000	-0.141563272957432	6.17075977499909	8.79658537957252	0.00764192376602594	0.0454973911850952	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_127	chr9	103220000	103230000	chr9	103280000	103290000	chr9:103220000-103230000_chr9:103280000-103290000	0.143142498673484	6.45996242127246	8.56016196910628	0.00836091595481549	0.0482838096170921	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_128	chr9	75770000	75780000	chr9	75900000	75910000	chr9:75770000-75780000_chr9:75900000-75910000	-0.612124974859398	5.58097048905724	73.7427047703389	3.84836451352987e-08	8.8844604722775e-06	TRUE	TRUE	moderate_differential	down_in_mutant	#4575b4
loop_129	chr9	118170000	118180000	chr9	118470000	118480000	chr9:118170000-118180000_chr9:118470000-118480000	-0.197798635643589	5.68548582519101	15.5037068045735	0.00081479263953041	0.00963795389139809	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_138	chr9	99450000	99460000	chr9	99570000	99580000	chr9:99450000-99460000_chr9:99570000-99580000	-0.222308330130639	5.28030456872385	11.4584036803817	0.0029424634182739	0.0236651855303393	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_146	chr9	100640000	100650000	chr9	101070000	101080000	chr9:100640000-100650000_chr9:101070000-101080000	-0.259424527849435	4.53830974153227	11.8926877550377	0.00254115237827807	0.0214274816040199	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_147	chr9	3330000	3340000	chr9	3530000	3540000	chr9:3330000-3340000_chr9:3530000-3540000	-0.360117310055077	4.59371140389702	24.3018345127182	8.08949568880194e-05	0.00181989529253445	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_149	chr9	6620000	6630000	chr9	6690000	6700000	chr9:6620000-6630000_chr9:6690000-6700000	-0.202731091002765	5.92780140650858	16.196663589325	0.000664808114343124	0.00818603767345679	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_176	chr11	5310000	5320000	chr11	5440000	5450000	chr11:5310000-5320000_chr11:5440000-5450000	-0.166454951746578	6.7379421536721	12.122788381462	0.00235339070520923	0.0204805528708263	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_182	chr11	35120000	35130000	chr11	35330000	35340000	chr11:35120000-35130000_chr11:35330000-35340000	-0.166128185414967	5.74511435744657	10.6457292279598	0.0038965685556166	0.0282899407512359	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_190	chr11	35770000	35780000	chr11	35830000	35840000	chr11:35770000-35780000_chr11:35830000-35840000	-0.182527345639104	6.12975061599235	15.5412714872809	0.00080576587616098	0.0095777800994093	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_195	chr11	71940000	71950000	chr11	72020000	72030000	chr11:71940000-71950000_chr11:72020000-72030000	-0.211151096484722	5.44773429239296	14.0828506865483	0.00125415101258337	0.0132202821223973	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_199	chr11	31250000	31260000	chr11	31630000	31640000	chr11:31250000-31260000_chr11:31630000-31640000	0.333734813807231	6.01535027684497	35.3876054251851	8.12142260454682e-06	0.000345601027829062	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_203	chr11	33290000	33300000	chr11	33430000	33440000	chr11:33290000-33300000_chr11:33430000-33440000	-0.160825557255343	5.79636044093764	10.005940006975	0.00489132445712153	0.0332234259044341	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_214	chr11	5480000	5490000	chr11	5880000	5890000	chr11:5480000-5490000_chr11:5880000-5890000	-0.207321239127537	4.60026041478525	8.71373591291881	0.00788574226777453	0.0464644933622164	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_218	chr11	17680000	17690000	chr11	18750000	18760000	chr11:17680000-17690000_chr11:18750000-18760000	-0.281781059460559	4.15868540652309	9.65199145311246	0.0055608981800987	0.0364161596099519	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_235	chr11	17460000	17470000	chr11	19760000	19770000	chr11:17460000-17470000_chr11:19760000-19770000	-0.378574360390906	4.27055901298689	16.3180633093214	0.000641819126611787	0.00797236579224916	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_245	chr13	104980000	104990000	chr13	105040000	105050000	chr13:104980000-104990000_chr13:105040000-105050000	-0.165222404425609	6.35938810064774	9.67279280282933	0.00551882750537997	0.0362145120501324	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_250	chr13	80880000	80890000	chr13	81360000	81370000	chr13:80880000-80890000_chr13:81360000-81370000	-0.156654470043661	5.46617902885104	8.72374477126668	0.00785582109978429	0.0463606109857414	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_286	chr13	21710000	21720000	chr13	23690000	23700000	chr13:21710000-21720000_chr13:23690000-23700000	-0.346625404945472	3.82079857100423	14.4819847275727	0.00110884126637714	0.0120650459330036	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_287	chr13	83660000	83670000	chr13	84560000	84570000	chr13:83660000-83670000_chr13:84560000-84570000	-0.327410129087551	3.60695945051769	11.4521895010464	0.00294870758131221	0.0237069804547986	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_293	chr13	8870000	8880000	chr13	9760000	9770000	chr13:8870000-8880000_chr13:9760000-9770000	-0.461578617516336	3.01115143766644	13.1392075405458	0.00168910742029749	0.0162741077633771	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_297	chr13	8870000	8880000	chr13	9270000	9280000	chr13:8870000-8880000_chr13:9270000-9280000	-0.477928650549198	2.26069840740427	9.43865475517762	0.0060134902048809	0.0384781765102812	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_305	chr12	100630000	100640000	chr12	100690000	100700000	chr12:100630000-100640000_chr12:100690000-100700000	-0.350792122921932	5.80646372643279	46.3587542248579	1.28235561161403e-06	9.70644555252465e-05	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_307	chr12	89730000	89740000	chr12	89780000	89790000	chr12:89730000-89740000_chr12:89780000-89790000	-0.144091773460064	6.10024636199777	8.50455082337511	0.00854078900865757	0.0489354776820097	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_308	chr12	21410000	21420000	chr12	21520000	21530000	chr12:21410000-21420000_chr12:21520000-21530000	-0.167419925931181	5.53159997216875	9.88264422582255	0.00511381428349895	0.0344247010303832	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_309	chr12	69240000	69250000	chr12	69290000	69300000	chr12:69240000-69250000_chr12:69290000-69300000	-0.175760431044868	5.90597669061274	12.8342499247499	0.00186351745568001	0.0174493699035788	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
