chr	start	end	name	score	strand	Ensembl_ID	gene_type	symbol	tss	Expression	is_ue	cellType	ATAC.mut_ATAC.tagAlign.bgz.readCount	ATAC.mut_ATAC.tagAlign.bgz.RPM	ATAC.mut_ATAC.tagAlign.bgz.readCount.quantile	ATAC.mut_ATAC.tagAlign.bgz.RPM.quantile	ATAC.mut_ATAC.tagAlign.bgz.RPKM	ATAC.mut_ATAC.tagAlign.bgz.RPKM.quantile	ATAC.RPM	ATAC.RPM.quantile	ATAC.RPKM	ATAC.RPKM.quantile	ATAC.mut_ATAC.tagAlign.bgz.readCount.TSS1Kb	ATAC.mut_ATAC.tagAlign.bgz.RPM.TSS1Kb	ATAC.mut_ATAC.tagAlign.bgz.readCount.quantile.TSS1Kb	ATAC.mut_ATAC.tagAlign.bgz.RPM.quantile.TSS1Kb	ATAC.mut_ATAC.tagAlign.bgz.RPKM.TSS1Kb	ATAC.mut_ATAC.tagAlign.bgz.RPKM.quantile.TSS1Kb	ATAC.RPM.TSS1Kb	ATAC.RPM.quantile.TSS1Kb	ATAC.RPKM.TSS1Kb	ATAC.RPKM.quantile.TSS1Kb	PromoterActivityQuantile
chr1	3205900	3671498	Xkr4	0	-	ENSMUSG00000051951	protein_coding	Xkr4	3671498		False		21295	93.321297	0.951589	0.951589	0.200433	0.237020	93.321297	0.951589	0.200433	0.237020	2373	10.399222	0.722933	0.722933	10.399222	0.722933	10.399222	0.722933	10.399222	0.722933	0.722933
chr1	3905738	3986215	Gm37381	0	-	ENSMUSG00000102343	lincRNA	Gm37381	3986215		False		1387	6.078264	0.427969	0.427969	0.075528	0.046036	6.078264	0.427969	0.075528	0.046036	0	0.000000	0.008966	0.008966	0.000000	0.008966	0.000000	0.008966	0.000000	0.008966	0.008966
chr1	3999556	4409241	Rp1	0	-	ENSMUSG00000025900	protein_coding	Rp1	4409241		False		9164	40.159491	0.849187	0.849187	0.098025	0.072084	40.159491	0.849187	0.098025	0.072084	73	0.319909	0.281905	0.281905	0.319909	0.281905	0.319909	0.281905	0.319909	0.281905	0.281905
chr1	4490930	4497354	Sox17	0	-	ENSMUSG00000025902	protein_coding	Sox17	4497354		False		827	3.624171	0.349736	0.349736	0.564161	0.612078	3.624171	0.349736	0.564161	0.612078	189	0.828257	0.467236	0.467236	0.828257	0.467236	0.828257	0.467236	0.828257	0.467236	0.467236
chr1	4496550	4499558	Gm37587	0	+	ENSMUSG00000104238	processed_transcript	Gm37587	4496550		False		302	1.323458	0.208403	0.208403	0.439979	0.532445	1.323458	0.208403	0.439979	0.532445	157	0.688023	0.445653	0.445653	0.688023	0.445653	0.688023	0.445653	0.688023	0.445653	0.445653
chr1	4583128	4586252	Gm37323	0	-	ENSMUSG00000104328	lincRNA	Gm37323	4586252		False		49	0.214733	0.030460	0.030460	0.068737	0.039373	0.214733	0.030460	0.068737	0.039373	2	0.008765	0.020218	0.020218	0.008765	0.020218	0.008765	0.020218	0.008765	0.020218	0.020218
chr1	4773205	4785739	Mrpl15	0	-	ENSMUSG00000033845	protein_coding	Mrpl15	4785739		False		1986	8.703268	0.495145	0.495145	0.694373	0.667789	8.703268	0.495145	0.694373	0.667789	1829	8.015245	0.684357	0.684357	8.015245	0.684357	8.015245	0.684357	8.015245	0.684357	0.684357
chr1	4807787	4848410	Lypla1	0	+	ENSMUSG00000025903	protein_coding	Lypla1	4807787		False		3711	16.262753	0.640855	0.640855	0.400334	0.498494	16.262753	0.640855	0.400334	0.498494	4681	20.513594	0.839653	0.839653	20.513594	0.839653	20.513594	0.839653	20.513594	0.839653	0.839653
chr1	4807891	4886770	Gm37988	0	+	ENSMUSG00000104217	protein_coding	Gm37988	4807891		False		14505	63.565410	0.916079	0.916079	0.805860	0.706524	63.565410	0.916079	0.805860	0.706524	4688	20.544270	0.839990	0.839990	20.544270	0.839990	20.544270	0.839990	20.544270	0.839990	0.839990
chr1	4857813	4897909	Tcea1	0	+	ENSMUSG00000033813	protein_coding	Tcea1	4857813		False		3028	13.269635	0.588918	0.588918	0.330947	0.425984	13.269635	0.588918	0.330947	0.425984	11329	49.647193	0.955594	0.955594	49.647193	0.955594	49.647193	0.955594	49.647193	0.955594	0.955594
