chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
chrX	158910001	158930000	chrX	157545001	158930000	1385000	20000	54116.895020712225	98.0%	0.016	579.9273968104915
chrX	158615001	158645000	chrX	157635001	158645000	1010000	30000	69246.56104128387	98.0%	0.033	221.1653297994235
chr3	20650001	20675000	chr3	20650001	22315000	1665000	25000	129079.70551761624	99.0%	0.001	184.02337508918635
chr10	96205001	96225000	chr10	96205001	97310000	1105000	20000	214304.83630495047	95.0%	0.001	160.36923332887187
chr15	40155001	40175000	chr15	40155001	41165000	1010000	20000	220205.89668587103	99.0%	0.001	154.86616517120817
chr5	39620001	39650000	chr5	38525001	39650000	1125000	30000	273785.7752152726	97.0%	0.001	139.1939127899969
chr12	91300001	91325000	chr12	89515001	91325000	1810000	25000	102368.268255619	96.0%	0.001	135.05262514979185
chr4	142870001	142890000	chr4	141985001	142890000	905000	20000	334766.98653847846	99.0%	0.001	133.49490969886767
chr14	24485001	24510000	chr14	24485001	25490000	1005000	25000	276194.3078529839	99.0%	0.001	129.46527864848173
chr14	93875001	93895000	chr14	92605001	93895000	1290000	20000	230990.91986507838	98.0%	0.001	119.26326561390333
chr16	23980001	24015000	chr16	23980001	25240000	1260000	35000	244008.4662761774	95.0%	0.001	118.56978564348026
chrX	43415001	43435000	chrX	42555001	43435000	880000	20000	64021.83573018759	99.0%	0.032	118.30437092145888
chr8	86580001	86600000	chr8	85520001	86600000	1080000	20000	287765.6333039984	98.0%	0.001	113.73659350304303
chr19	22330001	22350000	chr19	22330001	22945000	615000	20000	342757.9550712751	99.0%	0.002	113.23728093863217
chrX	166160001	166180000	chrX	166160001	166535000	375000	20000	74609.77235468631	99.0%	0.09	109.79219975697235
chr12	25085001	25105000	chr12	25085001	26475000	1390000	20000	168273.11652088608	95.0%	0.009	106.60596240153701
chr12	89690001	89710000	chr12	89690001	90525000	835000	20000	361102.07423402555	99.0%	0.001	95.15022323053918
chr16	33730001	33750000	chr16	33185001	33750000	565000	20000	503733.78423593636	99.0%	0.001	89.8734845332204
chr3	135860001	135895000	chr3	135860001	137490000	1630000	35000	92349.12241505868	97.0%	0.003	89.32011093868415
chrX	13225001	13245000	chrX	13225001	13855000	630000	20000	71371.79934096159	95.0%	0.071	86.72358118148034
chrX	158800001	158820000	chrX	157825001	158820000	995000	20000	48245.5097506408	98.0%	0.091	84.24056976097827
chr12	89545001	89565000	chr12	89545001	90425000	880000	20000	282759.25972067396	99.0%	0.002	76.6378167767947
chr16	41525001	41550000	chr16	41525001	42460000	935000	25000	326808.59310368804	96.0%	0.001	75.09699245943008
chr10	17710001	17730000	chr10	16505001	17730000	1225000	20000	174923.49440533348	97.0%	0.002	74.37486112224059
chr4	131820001	131840000	chr4	130870001	131840000	970000	20000	238178.02865171808	99.0%	0.003	72.88340107531533
chr13	84735001	84760000	chr13	83655001	84760000	1105000	25000	191956.79852550224	99.0%	0.01	72.6216999104914
chr15	39810001	39845000	chr15	39350001	39845000	495000	35000	415459.43836092984	99.0%	0.003	71.54872465770819
chr16	94980001	95000000	chr16	94360001	95000000	640000	20000	599014.1362356462	98.0%	0.0055	66.59512385686183
chr2	21905001	21935000	chr2	20770001	21935000	1165000	30000	207787.10886441122	95.0%	0.002	65.36649377067462
chr17	89645001	89665000	chr17	89645001	90490000	845000	20000	225838.40098653102	99.0%	0.002	62.41819364250319
chr10	66900001	66930000	chr10	66900001	67305000	405000	30000	409786.3707697394	99.0%	0.003	61.96275827103241
chr14	25105001	25125000	chr14	25105001	25670000	565000	20000	504806.32905721304	99.0%	0.004	60.926157036368394
chr9	29635001	29655000	chr9	28515001	29655000	1140000	20000	308438.8879700277	98.0%	0.002	60.48713507993611
chr9	34480001	34505000	chr9	34480001	35365000	885000	25000	397555.20002271025	98.0%	0.002	60.23625981206662
chr2	102435001	102455000	chr2	101815001	102455000	640000	20000	350422.4087001906	99.0%	0.003	59.44642280310576
chr16	90010001	90030000	chr16	89800001	90030000	230000	20000	1084132.5562302857	99.0%	0.003	57.893929989157066
chrX	16885001	16910000	chrX	16885001	18280000	1395000	25000	34010.429393337065	99.0%	0.093	57.634062127313875
chr13	84335001	84355000	chr13	83705001	84355000	650000	20000	265185.14108650846	99.0%	0.025	57.61251439123252
chr4	9125001	9145000	chr4	9125001	9670000	545000	20000	353856.47794943367	98.0%	0.003	56.77568543456787
chr12	77775001	77795000	chr12	76765001	77795000	1030000	20000	155556.13137300618	96.0%	0.006	54.65589588177057
chr6	53955001	53975000	chr6	53955001	54600000	645000	20000	411204.75166960567	99.0%	0.004	53.60815665373718
chr14	124400001	124415000	chr14	124400001	124650000	250000	15000	613889.0272174083	98.0%	0.007	53.32278673495646
chr14	22900001	22925000	chr14	21880001	22925000	1045000	25000	259368.34879757985	98.0%	0.005	52.99957597216676
