Summit_Chr	Summit_Start	Summit_End	Peak_Chr	Peak_Start	Peak_End	width	strand	Conc	Conc_mut	Conc_ctrl	Fold	p.value	FDR
chr6	51849469	51849869	chr6	51848895	51849911	1017	*	6.90181657321851	7.48844122350011	5.89681860363866	1.50475360288264	3.44869583029859e-29	2.59969589079568e-24
chr14	93826048	93826448	chr14	93826089	93826392	304	*	6.54551697495705	7.26720151933848	5.03462223150083	2.02840667223569	2.26305284666308e-28	8.52967248435781e-24
chr12	31892793	31893193	chr12	31892840	31893074	235	*	6.58295094243534	7.21608715050806	5.42795409318221	1.65461573596022	4.34972419813603e-27	8.47406048278825e-23
chr3	123973755	123974155	chr3	123973760	123974490	731	*	7.57321532487826	8.10689105467473	6.71696722340215	1.31524283687609	4.49659626053342e-27	8.47406048278825e-23
chr5	13667756	13668156	chr5	13667590	13668062	473	*	6.35212878861656	7.055552233126	4.92409002228574	1.92319756726307	6.17887809868494e-27	9.31552377670137e-23
chr16	41938215	41938615	chr16	41938249	41938544	296	*	6.19992702168106	6.89082544849348	4.82552112197664	1.87535187806095	1.43438309648933e-25	1.80211110965931e-21
chr10	108832191	108832591	chr10	108831926	108832525	600	*	6.80460198600874	7.45519688860923	5.58762982514496	1.72534446269473	2.10184160923254e-25	2.05482831824066e-21
chr2	45586283	45586683	chr2	45586290	45586719	430	*	6.29249718829735	6.96734622998417	4.98338902987115	1.81748400628843	2.18070979092161e-25	2.05482831824066e-21
chr8	30542252	30542652	chr8	30542184	30542595	412	*	6.32620843862158	7.02633429496784	4.91253021864361	1.91241808548607	1.68447695736157e-24	1.41088046666477e-20
chr16	67850137	67850537	chr16	67850188	67850556	369	*	6.82005621434624	7.40610680456419	5.81678701331084	1.4708604695411	8.26383623727502e-24	6.22944503238265e-20
chr1	113969777	113970177	chr1	113969869	113970135	267	*	5.96744405114889	6.68831791517422	4.4603532007645	1.99027663538729	1.29475218208982e-23	8.13848368968226e-20
chr1	109929884	109930284	chr1	109929989	109930184	196	*	6.40094623259752	7.07962407462112	5.07659184189909	1.80236677487873	1.29555867814846e-23	8.13848368968226e-20
chr1	109948556	109948956	chr1	109948607	109948895	289	*	6.69268740370804	7.32826610944691	5.52922301172088	1.6484715372298	2.11153444081601e-23	1.2243976093661e-19
chr19	37990000	37990400	chr19	37990014	37990375	362	*	6.7551866209007	7.32245398315734	5.80700593136547	1.42233281249465	3.02031886935785e-23	1.62626912149952e-19
chr10	109672927	109673327	chr10	109672939	109673440	502	*	7.14882901956967	7.70449920619705	6.23329806293372	1.36398580400577	3.57650704341619e-23	1.79736169297866e-19
chr6	43333489	43333889	chr6	43333301	43333869	569	*	7.59169712835153	8.08625372169989	6.83320134140551	1.17787957386918	7.73875534893926e-23	3.64601784821087e-19
chr3	123828767	123829167	chr3	123828732	123829134	403	*	6.6621039859295	7.2654615509355	5.60546820581229	1.52009265814373	9.98582936504637e-23	4.4279517011525e-19
chr10	58383777	58384177	chr10	58383437	58384279	843	*	7.10106121421575	7.64088706319092	6.22857031630876	1.30849708798934	2.13839753550282e-22	8.95537127895966e-19
chr5	49848134	49848534	chr5	49848076	49848545	470	*	6.52560442489368	7.14221918267534	5.42625471589946	1.58288670668427	2.49752333102903e-22	9.90885809155948e-19
chr10	121653065	121653465	chr10	121652961	121653662	702	*	6.67164109005069	7.28679116600403	5.57709265810614	1.55752972898085	3.98956607835143e-22	1.50370735059144e-18
chr5	59894263	59894663	chr5	59894046	59894623	578	*	7.25462507083799	7.84548075280462	6.23679969932229	1.47165537248565	8.08777546397869e-22	2.90320328583639e-18
chr12	31896975	31897375	chr12	31896892	31897753	862	*	8.07406414854443	8.54275243878492	7.37541605662408	1.10524623186914	1.36476416378035e-21	4.67630237245866e-18
chr4	20518222	20518622	chr4	20518171	20518608	438	*	6.97800752652401	7.5497425764317	6.0169774223129	1.40619599373274	1.8432185726221e-21	6.04110880179995e-18
chr4	20460177	20460577	chr4	20460218	20460709	492	*	6.71729025976387	7.31913746366415	5.66541708099395	1.51679629427944	5.22057970621914e-21	1.60956424874876e-17
chr8	57962504	57962904	chr8	57962254	57963088	835	*	7.5714017011915	8.07850196333992	6.7825614410437	1.20328511798481	5.42343876957033e-21	1.60956424874876e-17
chr2	141816206	141816606	chr2	141816372	141816519	148	*	6.55918898089417	7.17847081204164	5.4510426365863	1.58096151176457	5.55154685037114e-21	1.60956424874876e-17
chr19	23553439	23553839	chr19	23553402	23553936	535	*	6.86948687995016	7.47283217857884	5.81288986274794	1.52647529010589	1.20035749553711e-20	3.35130921216957e-17
chr2	145358293	145358693	chr2	145358265	145358855	591	*	7.06172428627898	7.60043536273975	6.19219632344469	1.30731352095392	1.53382098569586e-20	4.12937476941877e-17
chr12	39339197	39339597	chr12	39339071	39339581	511	*	6.82886783235468	7.38225476367112	5.91964842825836	1.35410145009615	2.12930807475511e-20	5.53487935486862e-17
chr15	53823322	53823722	chr15	53823135	53824086	952	*	7.60898895546668	8.12831450494227	6.78968414753787	1.24723817658199	3.15121508511409e-20	7.91816318486901e-17
chr15	66308338	66308738	chr15	66308084	66308873	790	*	7.20182378525771	7.7244681658467	6.3740910538359	1.26046662544571	3.7426414912333e-20	9.10089680297253e-17
chr1	22931526	22931926	chr1	22931227	22931830	604	*	7.04875589711429	7.55661320741204	6.25805511659284	1.20558602550199	1.11865603426796e-19	2.63520403672462e-16
chr3	100118704	100119104	chr3	100118757	100119212	456	*	6.85360899019659	7.39524313700363	5.97629397598486	1.31234215618515	1.65055498440746e-19	3.75922623412019e-16
chr10	105595662	105596062	chr10	105595632	105596084	453	*	7.07163599362698	7.61367511264649	6.19323756277768	1.31651770313406	1.69554657557622e-19	3.75922623412019e-16
chr5	13421397	13421797	chr5	13421326	13421764	439	*	6.26493567784471	6.91402868212315	5.05343096930911	1.65035031399391	1.90550717246366e-19	4.10402690499015e-16
chr8	40227206	40227606	chr8	40227061	40227553	493	*	6.05199245764614	6.69239002937451	4.87163233892591	1.62699934375256	2.04530285455949e-19	4.28275054951121e-16
chr4	52331447	52331847	chr4	52331256	52331830	575	*	7.1615195643909	7.69103104870304	6.31612780179187	1.26664870548998	2.29728181617203e-19	4.68037021261298e-16
chr6	81230797	81231197	chr6	81230834	81231141	308	*	5.92066851872337	6.60432472652366	4.57618451589701	1.76765366823005	3.80138162563415e-19	7.54094078167245e-16
chr12	31895861	31896261	chr12	31896004	31896154	151	*	5.57246829551806	6.26101290444785	4.20787218820193	1.79807443947115	3.93156118714e-19	7.59920372843557e-16
chr1	101122433	101122833	chr1	101122418	101122858	441	*	6.55177219231556	7.1986220764693	5.3483843500505	1.64038956637407	4.77831437649331e-19	9.00497235822046e-16
chr13	76305487	76305887	chr13	76305352	76306112	761	*	7.10294841015592	7.65868727524834	6.18722702357	1.34344287593881	5.08938154458029e-19	9.35726242911101e-16
chr5	84752063	84752463	chr5	84752093	84752379	287	*	6.89749700743859	7.49602981420927	5.85600298509965	1.4728258236933	6.03414258228075e-19	1.08301365747021e-15
chr16	41729300	41729700	chr16	41729049	41729650	602	*	6.90510532810109	7.53397773940934	5.76473808850182	1.57185594790665	7.31452090341131e-19	1.28228654590919e-15
chr12	29533144	29533869	chr12	29533127	29533529	403	*	6.53942085399595	7.11582488989134	5.56479577391479	1.41192660171624	7.62774599884612e-19	1.30680624746595e-15
