stripe_id	chr	anchor_x1	anchor_x2	span_y1	span_y2	direction_type	source	pval_ctrl	pval_mut	n_ctrl_reps	n_mut_reps	in_10kb	confidence	anchor_center	logFC	logCPM	F	PValue	FDR	significant_FDR05	significant_FDR10	direction_edgeR	direction	direction_confidence	direction_consistent	stripe_length	anchor_width	effect_category
stripe_0002	chr1	28070000	28130000	28130000	29655000	3prime	mutant_only	NA	0.987881674847979	0	0	FALSE	medium	28100000	0.0741605202564948	11.6514171555569	0.576115663964614	0.459001259363065	0.844433527255509	FALSE	FALSE	unchanged	gained	low	TRUE	1525000	60000	minimal
stripe_0004	chr1	59245000	59260000	59295000	59660000	3prime	mutant_only	NA	3.23804299112342e-10	0	0	FALSE	low	59252500	-0.238263614552504	11.4264879565674	4.56043571377545	0.0487133446625075	0.622255005575326	FALSE	FALSE	unchanged	gained	low	FALSE	365000	15000	minimal
stripe_0006	chr1	80555000	82010000	82010000	82065000	3prime	mutant_only	NA	0.209274840485244	0	0	TRUE	medium	81282500	-0.0186469222805581	9.61276710173375	0.00384317056875425	0.951344837590218	0.999723645163422	FALSE	FALSE	unchanged	gained	low	FALSE	55000	1455000	minimal
stripe_0007	chr1	86660000	86870000	86870000	86925000	3prime	mutant_only	NA	0.99680051020582	0	0	FALSE	medium	86765000	0.0517263782539651	11.7241553302745	0.219137979571143	0.646082993526014	0.906521990056679	FALSE	FALSE	unchanged	gained	low	TRUE	55000	210000	minimal
stripe_0009	chr1	119535000	119790000	119905000	119950000	3prime	mutant_only	NA	1.14410229480178e-09	0	0	TRUE	medium	119662500	0.25065936081345	11.2593557315934	4.16988796621107	0.058189803439559	0.622255005575326	FALSE	FALSE	unchanged	gained	medium	TRUE	45000	255000	minimal
stripe_0010	chr1	121890000	122140000	122140000	122195000	3prime	mutant_only	NA	0.898746376627169	0	0	TRUE	medium	122015000	-0.1327648988868	10.8746826113499	0.890452583507231	0.359546147308511	0.786990881200343	FALSE	FALSE	unchanged	gained	low	FALSE	55000	250000	minimal
stripe_0011	chr1	127810000	127875000	127875000	128240000	3prime	mutant_only	NA	0.967111088665285	0	0	FALSE	medium	127842500	0.159547314158914	11.44871520688	2.04748718710453	0.171917353704957	0.764525288968123	FALSE	FALSE	unchanged	gained	low	TRUE	365000	65000	minimal
stripe_0019	chr10	69430000	69475000	69595000	69905000	3prime	mutant_only	NA	3.47917057601036e-09	0	0	TRUE	medium	69452500	-0.0887434011346066	12.1761510077607	1.35025090567255	0.262468226155688	0.783690013721535	FALSE	FALSE	unchanged	gained	low	FALSE	310000	45000	minimal
stripe_0021	chr10	73215000	73700000	73700000	73760000	3prime	mutant_only	NA	0.808455772666241	0	0	FALSE	medium	73457500	-0.0503016981189147	11.0207342180102	0.1327654138958	0.720407039196604	0.953872283380688	FALSE	FALSE	unchanged	gained	low	FALSE	60000	485000	minimal
stripe_0033	chr11	35640000	35920000	35975000	36020000	3prime	mutant_only	NA	1.54980862218491e-33	0	0	FALSE	medium	35780000	-0.1231551112131	11.1537076406011	0.895460143232983	0.358234796765117	0.786990881200343	FALSE	FALSE	unchanged	gained	low	FALSE	45000	280000	minimal
stripe_0040	chr11	61930000	61975000	62035000	62305000	3prime	mutant_only	NA	2.37842014114338e-15	0	0	TRUE	medium	61952500	-0.0154245207691328	13.1257632259443	0.0596784873571747	0.810145353614176	0.969462640726587	FALSE	FALSE	unchanged	gained	low	FALSE	270000	45000	minimal
stripe_0041	chr11	62390000	62635000	62665000	62700000	3prime	mutant_only	NA	7.35401817505976e-12	0	0	TRUE	medium	62512500	-0.029976032747561	11.2269259731614	0.0527193003124079	0.821340025804175	0.97545633847592	FALSE	FALSE	unchanged	gained	low	FALSE	35000	245000	minimal
stripe_0043	chr11	69825000	70070000	70195000	70240000	3prime	mutant_only	NA	5.51221833662035e-29	0	0	TRUE	medium	69947500	-0.129028584725646	11.8658615603481	1.74931347949828	0.204768156006705	0.778470631155158	FALSE	FALSE	unchanged	gained	low	FALSE	45000	245000	minimal
stripe_0046	chr11	83760000	83805000	83925000	84245000	3prime	mutant_only	NA	4.14656821363694e-07	0	0	TRUE	medium	83782500	0.00673194059682221	11.6845298670506	0.00322126190809101	0.9554502045183	0.999723645163422	FALSE	FALSE	unchanged	gained	low	TRUE	320000	45000	minimal
stripe_0055	chr11	109345000	109715000	109840000	109885000	3prime	mutant_only	NA	2.44965667493079e-25	0	0	TRUE	medium	109530000	-0.0244294074071468	11.2027368758128	0.0372602870400563	0.849392817390649	0.976997147631343	FALSE	FALSE	unchanged	gained	low	FALSE	45000	370000	minimal
stripe_0058	chr11	121465000	121725000	121780000	121825000	3prime	mutant_only	NA	3.38419451985237e-15	0	0	TRUE	medium	121595000	-0.118939659112815	11.8184517677968	1.33183278518379	0.26561887576713	0.783690013721535	FALSE	FALSE	unchanged	gained	low	FALSE	45000	260000	minimal
stripe_0062	chr12	39575000	40045000	40045000	40105000	3prime	mutant_only	NA	0.668705590674534	0	1	FALSE	medium	39810000	0.155128641091378	11.4754979454966	1.27633296549261	0.275423650256508	0.783690013721535	FALSE	FALSE	unchanged	gained	low	TRUE	60000	470000	minimal
stripe_0066	chr12	72080000	72125000	72180000	72495000	3prime	mutant_only	NA	1.53331769805912e-12	0	1	TRUE	medium	72102500	0.0229885457634538	12.1454529900951	0.0833367526999786	0.776574324876366	0.960534236639081	FALSE	FALSE	unchanged	gained	low	TRUE	315000	45000	minimal
stripe_0070	chr13	6960000	7400000	7400000	7455000	3prime	mutant_only	NA	0.473170185072838	0	0	FALSE	medium	7180000	-0.268880043974986	11.1064164191184	3.31254055909012	0.0877285329722866	0.622255005575326	FALSE	FALSE	unchanged	gained	low	FALSE	55000	440000	minimal
stripe_0071	chr13	18375000	18430000	18430000	19635000	3prime	mutant_only	NA	0.337983139629509	0	0	FALSE	medium	18402500	-0.0463779892198091	11.3549206342013	0.154588096792503	0.699437356309188	0.943107401724386	FALSE	FALSE	unchanged	gained	low	FALSE	1205000	55000	minimal
