PeakID (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.25x50kb.PC1.txt mm10 -noblanks -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph) (cmd=getDiffExpression.pl all_PC1.txt ctrl ctrl ctrl mut mut mut -pc1 -export regions)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over given bp	ctrl vs. mut Difference	ctrl vs. mut p-value	ctrl vs. mut adj. p-value
chrX-87625000	chrX	87625000	87650000	+	1.01123811510425	NA	intron (NM_001160403, intron 2 of 10)	intron (NM_001160403, intron 2 of 10)	478448	NM_001160403	331461		NM_001160403	ENSMUSG00000052372	Il1rapl1	6330532G10Rik|C030039N24|IL1R8|IL1RAPL|IL1RAPL-1|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	protein-coding	1.011	1.061	1.057	-0.035	0.007	-0.052	-1.06966666666667	8.01414942808815e-10	9.74750226756007e-06
chr10-108675000	chr10	108675000	108700000	+	1.38660609415654	NA	intron (NM_001358504, intron 5 of 11)	intron (NM_001358504, intron 5 of 11)	12660	NM_203660	368203		NM_203660	ENSMUSG00000112039	Brcc3dc	C6.1AL|EG368203|Gm5136	BRCA1/BRCA2-containing complex, subunit 3, domain containing	protein-coding	1.387	1.460	1.397	-0.275	-0.145	-0.145	-1.603	2.1018099133625e-09	9.74750226756007e-06
chrX-87125000	chrX	87125000	87150000	+	0.542481063698697	NA	intron (NM_001160403, intron 5 of 10)	intron (NM_001160403, intron 5 of 10)	-782506	NR_036689	245502		NR_036689		Gm41	-	melanoma antigen, family B, 4 pseudogene	pseudo	0.542	0.563	0.508	-0.556	-0.530	-0.472	-1.057	2.32341371207194e-09	9.74750226756007e-06
chr10-108500000	chr10	108500000	108525000	+	0.849936197573729	NA	intron (NM_001358504, intron 10 of 11)	intron (NM_001358504, intron 10 of 11)	95249	NR_155870	102640148		NR_155870	ENSMUSG00000112532	Gm36283	-	predicted gene, 36283	ncRNA	0.850	0.876	0.791	-0.835	-0.687	-0.737	-1.592	2.55409383447137e-09	9.74750226756007e-06
chr10-108475000	chr10	108475000	108500000	+	0.608930743229005	NA	Intergenic	IMPB_01|Satellite|Satellite	70249	NR_155870	102640148		NR_155870	ENSMUSG00000112532	Gm36283	-	predicted gene, 36283	ncRNA	0.609	0.599	0.514	-0.810	-0.713	-0.759	-1.33466666666667	2.68149907213048e-09	9.74750226756007e-06
chrX-87900000	chrX	87900000	87925000	+	1.30211771340979	NA	intron (NM_001160403, intron 1 of 10)	L1_Mus2|LINE|L1	203448	NM_001160403	331461		NM_001160403	ENSMUSG00000052372	Il1rapl1	6330532G10Rik|C030039N24|IL1R8|IL1RAPL|IL1RAPL-1|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein-like 1	protein-coding	1.302	1.253	1.269	0.056	0.166	0.106	-1.16533333333333	2.7707117524267e-09	9.74750226756007e-06
chr10-108575000	chr10	108575000	108600000	+	1.19531762335636	NA	intron (NM_001358504, intron 9 of 11)	intron (NM_001358504, intron 9 of 11)	112660	NM_203660	368203		NM_203660	ENSMUSG00000112039	Brcc3dc	C6.1AL|EG368203|Gm5136	BRCA1/BRCA2-containing complex, subunit 3, domain containing	protein-coding	1.195	1.299	1.238	-0.729	-0.550	-0.593	-1.868	3.0508551752917e-09	9.74750226756007e-06
chrX-87050000	chrX	87050000	87075000	+	0.519345799729761	NA	intron (NM_001160403, intron 5 of 10)	Lx8b|LINE|L1	-707506	NR_036689	245502		NR_036689		Gm41	-	melanoma antigen, family B, 4 pseudogene	pseudo	0.519	0.557	0.501	-0.537	-0.452	-0.521	-1.029	3.45493258643661e-09	9.74750226756007e-06
chr10-108950000	chr10	108950000	108975000	+	1.45271422077523	NA	intron (NM_001252342, intron 1 of 10)	intron (NM_001252342, intron 1 of 10)	46611	NM_001358501	20979		NM_009306	ENSMUSG00000035864	Syt1	G630098F17Rik|SytI	synaptotagmin I	protein-coding	1.453	1.536	1.485	0.198	0.295	0.291	-1.23	3.921856698001e-09	9.74750226756007e-06
chr9-75775000	chr9	75775000	75800000	+	0.520652344470089	NA	intron (NM_007555, intron 1 of 6)	intron (NM_007555, intron 1 of 6)	12135	NM_007555	12160		NM_007555	ENSMUSG00000032179	Bmp5	se	bone morphogenetic protein 5	protein-coding	0.521	0.527	0.557	-0.579	-0.472	-0.557	-1.071	4.61719641573642e-09	9.78309589822942e-06
