chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
chrX	158890001	158940000	chrX	157450001	158940000	1490000	50000	244966.9408432086	97.0%	0.048	265.1358504112225
chrX	158610001	158650000	chrX	157480001	158650000	1170000	40000	343068.5362477095	99.0%	0.038	147.37907840668169
chr11	3130001	3190000	chr11	3130001	6980000	3850000	60000	103299695.55799742	95.0%	0.001	144.013616045693
chr12	91290001	91330000	chr12	89580001	91330000	1750000	40000	665773.5030379312	98.0%	0.001	136.70921714313687
chr16	23960001	24010000	chr16	23960001	25010000	1050000	50000	1513611.4118500585	99.0%	0.001	132.9064277772911
chr17	9020001	9060000	chr17	9020001	12390000	3370000	40000	492900.2301899572	98.0%	0.001	89.16049113840694
chr18	33740001	33800000	chr18	32920001	33800000	880000	60000	2104358.649441407	99.0%	0.001	77.44043149643846
chr3	135860001	135910000	chr3	135860001	138380000	2520000	50000	467373.25850661204	97.0%	0.0035	67.01131710240031
chrX	158790001	158830000	chrX	157760001	158830000	1070000	40000	253693.28314206214	99.0%	0.077	60.611206243969065
chr8	71810001	71850000	chr8	71810001	74980000	3170000	40000	790884.6651349079	95.0%	0.002	57.65697809816872
chr16	41500001	41540000	chr16	41500001	42150000	650000	40000	2043146.72365542	99.0%	0.001	51.005720218025786
chr5	39610001	39650000	chr5	38080001	39650000	1570000	40000	1286462.9488488238	96.0%	0.002	50.85151915687325
chr14	22890001	22930000	chr14	21630001	22930000	1300000	40000	1430209.2574396583	99.0%	0.003	47.08649634783578
chr13	37270001	37320000	chr13	35970001	37320000	1350000	50000	625208.6924199382	99.0%	0.004	42.03821894529119
chr10	96180001	96230000	chr10	96180001	96980000	800000	50000	1187910.782968021	99.0%	0.01	41.70940278118174
chr12	39460001	39510000	chr12	38090001	39510000	1420000	50000	720300.5481022266	99.0%	0.004	39.61989732889077
chr17	39820001	39860000	chr17	37100001	39860000	2760000	40000	12424244.798913991	95.0%	0.002	39.44853695437033
chr3	141800001	141840000	chr3	139850001	141840000	1990000	40000	770701.0105085972	99.0%	0.004	37.39255641118574
chr14	24470001	24510000	chr14	24470001	26670000	2200000	40000	972669.8045060703	99.0%	0.02	36.28908516370246
chr1	88230001	88280000	chr1	85610001	88280000	2670000	50000	3973723.802298081	99.0%	0.003	35.99639938343473
chr9	33230001	33290000	chr9	33230001	35570000	2340000	60000	478149.8752893799	95.0%	0.004	35.8280345500582
chr10	17690001	17730000	chr10	15810001	17730000	1920000	40000	618552.7982986919	99.0%	0.003	34.820234555899496
chr15	39810001	39850000	chr15	39100001	39850000	750000	40000	1934250.6658597898	99.0%	0.004	33.61664065221668
chr9	90660001	90710000	chr9	90660001	92220000	1560000	50000	809522.1050959111	99.0%	0.007	33.03980757081196
chr10	97300001	97350000	chr10	95680001	97350000	1670000	50000	730454.9658950082	98.0%	0.016	32.66796304369303
chr13	20280001	20330000	chr13	20280001	21320000	1040000	50000	882618.2251939973	99.0%	0.0085	31.157555426402116
chr16	25030001	25080000	chr16	24000001	25080000	1080000	50000	1065576.2542757273	99.0%	0.005	29.882893647811546
chr8	86910001	86960000	chr8	86910001	88090000	1180000	50000	876360.8673762927	98.0%	0.01	29.1811862392466
chr2	21890001	21930000	chr2	20780001	21930000	1150000	40000	1122057.0701349436	99.0%	0.008	28.79084378915556
chr12	107970001	108010000	chr12	105830001	108010000	2180000	40000	427557.35163463914	98.0%	0.004	28.344608685662823
chr4	104880001	104920000	chr4	102940001	104920000	1980000	40000	576913.372351859	98.0%	0.004	27.919215429711933
chr15	40130001	40180000	chr15	40130001	41850000	1720000	50000	665613.4311401702	99.0%	0.004	27.872615065184245
chr2	78020001	78080000	chr2	78020001	79670000	1650000	60000	446125.47567211976	99.0%	0.011	26.856739206923784
chr14	77120001	77160000	chr14	77120001	78550000	1430000	40000	665886.8773363904	99.0%	0.007	26.302517939240616
chr7	112830001	112890000	chr7	112050001	112890000	840000	60000	1382157.3285414611	99.0%	0.008	25.667683587569154
chr14	93870001	93920000	chr14	91050001	93920000	2870000	50000	491444.09306773136	95.0%	0.004	25.389269292381112
chr19	22290001	22360000	chr19	22290001	23380000	1090000	70000	991609.2681301015	98.0%	0.008	24.597964710020143
