chr	50kb	100kb	opt_binsize
chr1	0.68108	0.68659	50kb
chr2	0.69715	0.72193	50kb
chr3	0.63104	0.62505	50kb
chr4	0.69482	0.69605	50kb
chr5	0.62993	0.63678	50kb
chr6	0.67132	0.67001	50kb
chr7	0.78786	0.79396	50kb
chr8	0.6865	0.67641	50kb
chr9	0.69298	0.70376	50kb
chr10	0.58989	0.60052	50kb
chr11	0.77288	0.77359	50kb
chr12	0.75784	0.76336	50kb
chr13	0.60734	0.58003	50kb
chr14	0.68019	0.68812	50kb
chr15	0.60903	0.62237	50kb
chr16	0.66505	0.65623	50kb
chr17	0.77555	0.77089	50kb
chr18	0.68587	0.66273	50kb
chr19	0.79959	0.77831	50kb
