chr	start	end	ATAC.ctrl_ATAC.tagAlign.bgz.readCount	ATAC.ctrl_ATAC.tagAlign.bgz.RPM	ATAC.ctrl_ATAC.tagAlign.bgz.readCount.quantile	ATAC.ctrl_ATAC.tagAlign.bgz.RPM.quantile	ATAC.ctrl_ATAC.tagAlign.bgz.RPKM	ATAC.ctrl_ATAC.tagAlign.bgz.RPKM.quantile	ATAC.RPM	ATAC.RPM.quantile	ATAC.RPKM	ATAC.RPKM.quantile	class	isPromoterElement	isGenicElement	isIntergenicElement	promoterSymbol	genicSymbol	name	normalized_atac	activity_base	activity_base_no_qnorm
chr1	3251831	3252331	128	0.547369	0.175574	0.175574	1.094739	0.176855	0.547369	0.175574	1.094739	0.176855	genic	False	True	False		Xkr4	genic|chr1:3251831-3252331	0.547369	0.547369	0.547369
chr1	3360847	3361347	373	1.595069	0.457306	0.457306	3.190137	0.469446	1.595069	0.457306	3.190137	0.469446	genic	False	True	False		Xkr4	genic|chr1:3360847-3361347	1.595069	1.595069	1.595069
chr1	3369429	3369929	252	1.077633	0.333087	0.333087	2.155267	0.341831	1.077633	0.333087	2.155267	0.341831	genic	False	True	False		Xkr4	genic|chr1:3369429-3369929	1.077633	1.077633	1.077633
chr1	3398914	3399414	136	0.581580	0.182299	0.182299	1.163160	0.183781	0.581580	0.182299	1.163160	0.183781	genic	False	True	False		Xkr4	genic|chr1:3398914-3399414	0.581580	0.581580	0.581580
chr1	3416058	3416558	183	0.782567	0.237380	0.237380	1.565134	0.241814	0.782567	0.237380	1.565134	0.241814	genic	False	True	False		Xkr4	genic|chr1:3416058-3416558	0.782567	0.782567	0.782567
chr1	3447225	3447725	412	1.761845	0.487371	0.487371	3.523690	0.500159	1.761845	0.487371	3.523690	0.500159	genic	False	True	False		Xkr4	genic|chr1:3447225-3447725	1.761845	1.761845	1.761845
chr1	3508433	3508933	200	0.855265	0.261475	0.261475	1.710529	0.266942	0.855265	0.261475	1.710529	0.266942	genic	False	True	False		Xkr4	genic|chr1:3508433-3508933	0.855265	0.855265	0.855265
chr1	3514473	3514973	324	1.385529	0.413828	0.413828	2.771057	0.425276	1.385529	0.413828	2.771057	0.425276	genic	False	True	False		Xkr4	genic|chr1:3514473-3514973	1.385529	1.385529	1.385529
chr1	3517836	3518336	234	1.000660	0.309807	0.309807	2.001319	0.317299	1.000660	0.309807	2.001319	0.317299	genic	False	True	False		Xkr4	genic|chr1:3517836-3518336	1.000660	1.000660	1.000660
chr1	3671248	3671748	698	2.984874	0.629061	0.629061	5.969747	0.643573	2.984874	0.629061	5.969747	0.643573	promoter	True	False	False	Xkr4	Xkr4	promoter|chr1:3671248-3671748	2.984874	2.984874	2.984874
