anchor_id	anchor_chr	anchor_start	anchor_end	median_lost_distance	median_gained_distance	mean_lost_distance	mean_gained_distance	n_lost	n_gained
shared_1	chr14	16400000	16425000	2300000	210000	2300000	210000	1	1
shared_2	chr14	16430000	16440000	2300000	210000	2300000	210000	1	1
shared_3	chr14	21975000	22000000	1425000	600000	1425000	600000	1	1
shared_4	chr14	22570000	22600000	830000	600000	830000	600000	1	1
shared_5	chr14	34800000	34825000	2220000	350000	2220000	433333.3333333333	1	3
shared_6	chr14	57360000	57380000	540000	250000	540000	250000	1	1
shared_7	chr14	104450000	104475000	41200000	425000	41200000	425000	1	1
shared_8	chr14	105875000	105925000	230000	610000	318333.3333333333	610000	9	1
shared_9	chr9	16200000	16225000	6625000	287500	6625000	287500	1	2
shared_10	chr9	29790000	29800000	1590000	170000	1590000	170000	1	1
shared_11	chr9	32150000	32160000	600000	180000	600000	180000	1	1
shared_12	chr9	42925000	42950000	615000	160000	615000	186666.66666666666	1	3
shared_13	chr9	56890000	56900000	320000	45000	320000	45000	1	1
shared_14	chr9	60590000	60600000	90000	320000	90000	320000	1	1
shared_15	chr9	73140000	73150000	835000	305000	835000	305000	2	1
shared_16	chr9	73160000	73170000	835000	305000	835000	305000	2	1
shared_17	chr9	74825000	74875000	19325000	330000	22050000	330000	3	1
shared_18	chr9	79790000	79800000	1350000	195000	1350000	195000	1	1
shared_19	chr9	79805000	79810000	1350000	195000	1350000	195000	1	1
shared_20	chr11	24045000	24075000	2900000	1517500	2900000	1517500	1	2
shared_21	chr11	24080000	24090000	2900000	1220000	2900000	1220000	1	1
shared_22	chr11	29260000	29270000	620000	100000	620000	100000	1	1
shared_23	chr11	31600000	31650000	937500	375000	937500	375000	2	2
shared_24	chr11	33170000	33180000	190000	750000	215000	750000	4	1
shared_25	chr11	33190000	33200000	190000	750000	215000	750000	4	1
shared_26	chr11	34800000	34850000	1160000	670000	1161666.6666666667	638333.3333333334	3	3
shared_27	chr11	35975000	36025000	1250000	70000	2322500	70000	6	1
shared_28	chr11	64440000	64450000	1230000	520000	1230000	520000	1	1
shared_29	chr11	85825000	85875000	50000	325000	50000	287000	1	5
shared_30	chr11	85885000	85890000	50000	300000	50000	300000	1	1
shared_31	chr11	96270000	96300000	432500	307500	432500	307500	2	2
shared_32	chr13	22000000	22050000	1700000	875000	12052857.142857144	1038333.3333333334	7	3
shared_33	chr13	37950000	38000000	3625000	500000	3625000	500000	1	3
shared_34	chr13	48650000	48675000	17300000	150000	17300000	150000	2	1
shared_35	chr13	68575000	68610000	1475000	480000	1475000	480000	1	1
shared_36	chr13	80875000	80900000	3525000	270000	3525000	270000	2	1
shared_37	chr13	92330000	92340000	1430000	430000	1430000	430000	1	1
shared_38	chr13	92350000	92360000	1430000	430000	1430000	430000	1	1
shared_39	chr13	98300000	98325000	55000	275000	55000	275000	1	1
shared_40	chr13	107320000	107350000	1010000	825000	1010000	825000	1	1
shared_41	chr15	25975000	26000000	1190000	330000	1190000	335000	1	3
shared_42	chr15	27175000	27200000	1190000	572500	1190000	603750	1	4
shared_43	chr15	36125000	36150000	1395000	205000	1395000	205000	2	2
shared_44	chr15	40125000	40175000	725000	600000	718333.3333333334	600000	6	1
shared_45	chr15	48775000	48800000	3667500	370000	3667500	370000	2	1
shared_46	chr15	52500000	52525000	1900000	1175000	1900000	1175000	1	1
shared_47	chr15	66875000	66925000	1300000	215000	1300000	215000	1	2
shared_48	chr15	68920000	68950000	2145000	570000	2146250	570000	4	2
shared_49	chr16	25950000	25975000	1500000	230000	1500000	230000	1	1
shared_50	chr16	26230000	26240000	1220000	290000	1220000	290000	1	1
shared_51	chr16	41250000	41275000	910000	575000	910000	575000	1	1
shared_52	chr16	42150000	42200000	767500	725000	767500	815000	2	3
shared_53	chr16	42825000	42850000	760000	330000	828333.3333333334	330000	3	1
shared_54	chr16	42870000	42880000	630000	85000	630000	85000	1	1
shared_55	chr16	42900000	42925000	675000	722500	651666.6666666666	722500	3	2
shared_56	chr16	43130000	43140000	370000	775000	370000	775000	1	2
shared_57	chr16	43150000	43175000	370000	550000	370000	626666.6666666666	1	3
shared_58	chr16	43500000	43550000	600000	275000	533333.3333333334	275000	3	1
shared_59	chr16	43800000	43825000	975000	275000	975000	275000	1	1
shared_60	chr16	49270000	49300000	1240000	45000	1240000	45000	2	1
shared_61	chr16	56675000	56725000	425000	1700000	425000	1700000	2	1
shared_62	chr16	59610000	59620000	2025000	167500	2025000	167500	1	2
shared_63	chr16	59625000	59650000	2025000	167500	2025000	167500	1	2
shared_64	chr16	72970000	73000000	300000	700000	300000	700000	2	2
shared_65	chr16	85800000	85825000	1515000	555000	1515000	555000	2	2
shared_66	chr17	3550000	3580000	1425000	220000	1425000	220000	1	1
shared_67	chr17	14200000	14225000	750000	85000	750000	85000	1	2
shared_68	chr17	15050000	15075000	650000	310000	650000	310000	1	1
shared_69	chr17	15375000	15400000	325000	90000	325000	158333.33333333334	1	3
shared_70	chr17	31685000	31690000	1775000	340000	1775000	340000	1	1
shared_71	chr17	31700000	31725000	1775000	340000	1775000	340000	1	1
shared_72	chr18	4950000	4975000	725000	45000	725000	45000	1	1
shared_73	chr18	45640000	45650000	710000	490000	710000	490000	1	1
shared_74	chr18	58475000	58510000	1075000	570000	1075000	570000	1	1
