#peakID	chr	start	end	strand	PC1
chr10-3075000	chr10	3075000	3100000	+	-0.446046367450524
chr10-3100000	chr10	3100000	3125000	+	-0.425201127704376
chr10-3125000	chr10	3125000	3150000	+	-0.125745357056651
chr10-3150000	chr10	3150000	3175000	+	0.219287880138571
chr10-3175000	chr10	3175000	3200000	+	0.18533152596064
chr10-3200000	chr10	3200000	3225000	+	-0.227384121546701
chr10-3225000	chr10	3225000	3250000	+	-0.265835345751952
chr10-3250000	chr10	3250000	3275000	+	0.0291673166575266
chr10-3275000	chr10	3275000	3300000	+	0.326615209178726
chr10-3300000	chr10	3300000	3325000	+	0.569307473770012
chr10-3325000	chr10	3325000	3350000	+	0.562972744761889
chr10-3350000	chr10	3350000	3375000	+	0.807408210109117
chr10-3375000	chr10	3375000	3400000	+	1.14435509826084
chr10-3400000	chr10	3400000	3425000	+	1.09825099504438
chr10-3425000	chr10	3425000	3450000	+	0.857212565526498
chr10-3450000	chr10	3450000	3475000	+	0.520534911688194
chr10-3475000	chr10	3475000	3500000	+	0.200959340051201
chr10-3500000	chr10	3500000	3525000	+	0.172148748143348
chr10-3525000	chr10	3525000	3550000	+	0.0219188861906507
chr10-3550000	chr10	3550000	3575000	+	-0.349826573686672
chr10-3575000	chr10	3575000	3600000	+	-0.683445517527835
chr10-3600000	chr10	3600000	3625000	+	-0.818155433577194
chr10-3625000	chr10	3625000	3650000	+	-0.829319265543991
chr10-3650000	chr10	3650000	3675000	+	-0.873515669752496
chr10-3675000	chr10	3675000	3700000	+	-0.777947343492305
chr10-3700000	chr10	3700000	3725000	+	-0.617994361248721
chr10-3725000	chr10	3725000	3750000	+	-0.553446889260784
chr10-3750000	chr10	3750000	3775000	+	-0.656520091054683
chr10-3775000	chr10	3775000	3800000	+	-0.74200006509064
chr10-3800000	chr10	3800000	3825000	+	-0.721871282208207
chr10-3825000	chr10	3825000	3850000	+	-0.705430737723537
chr10-3850000	chr10	3850000	3875000	+	-0.680313707583611
chr10-3875000	chr10	3875000	3900000	+	-0.669931119760633
chr10-3900000	chr10	3900000	3925000	+	-0.493162698938025
chr10-3925000	chr10	3925000	3950000	+	0.135872559229462
chr10-3950000	chr10	3950000	3975000	+	1.0326168224162
chr10-3975000	chr10	3975000	4000000	+	1.37342574696187
chr10-4000000	chr10	4000000	4025000	+	1.28604292719223
chr10-4025000	chr10	4025000	4050000	+	1.45035695453891
chr10-4050000	chr10	4050000	4075000	+	1.58016258307997
chr10-4075000	chr10	4075000	4100000	+	1.44400452371738
chr10-4100000	chr10	4100000	4125000	+	1.28104895312326
chr10-4125000	chr10	4125000	4150000	+	1.12922912314253
chr10-4150000	chr10	4150000	4175000	+	0.801948047454401
chr10-4175000	chr10	4175000	4200000	+	0.515871159608572
chr10-4200000	chr10	4200000	4225000	+	0.5792749915835
chr10-4225000	chr10	4225000	4250000	+	0.975854491571132
chr10-4250000	chr10	4250000	4275000	+	1.39714980404028
chr10-4275000	chr10	4275000	4300000	+	1.43718363806314
chr10-4300000	chr10	4300000	4325000	+	1.32852786606001
chr10-4325000	chr10	4325000	4350000	+	1.3791911009575
chr10-4350000	chr10	4350000	4375000	+	1.44404274383437
chr10-4375000	chr10	4375000	4400000	+	1.48264958007059
chr10-4400000	chr10	4400000	4425000	+	1.4505744488315
chr10-4425000	chr10	4425000	4450000	+	1.16045287663286
chr10-4450000	chr10	4450000	4475000	+	0.308678095646822
chr10-4475000	chr10	4475000	4500000	+	-0.24727373254469
chr10-4500000	chr10	4500000	4525000	+	-0.471603061375564
chr10-4525000	chr10	4525000	4550000	+	-0.553793264039347
chr10-4550000	chr10	4550000	4575000	+	-0.477526327501577
chr10-4575000	chr10	4575000	4600000	+	-0.382677835636134
chr10-4600000	chr10	4600000	4625000	+	-0.33665586865407
chr10-4625000	chr10	4625000	4650000	+	-0.328105405302829
chr10-4650000	chr10	4650000	4675000	+	-0.0817463267991039
chr10-4675000	chr10	4675000	4700000	+	0.105395602790693
chr10-4700000	chr10	4700000	4725000	+	-0.0926286593743499
chr10-4725000	chr10	4725000	4750000	+	-0.380602976299996
chr10-4750000	chr10	4750000	4775000	+	-0.603267968564903
chr10-4775000	chr10	4775000	4800000	+	-0.675201379844583
chr10-4800000	chr10	4800000	4825000	+	-0.688951384992826
chr10-4825000	chr10	4825000	4850000	+	-0.674327350378657
chr10-4850000	chr10	4850000	4875000	+	-0.612911832747408
chr10-4875000	chr10	4875000	4900000	+	-0.540739877278319
chr10-4900000	chr10	4900000	4925000	+	-0.489314405473435
chr10-4925000	chr10	4925000	4950000	+	-0.329474782673891
chr10-4950000	chr10	4950000	4975000	+	-0.0804091886040728
chr10-4975000	chr10	4975000	5000000	+	0.399427040116882
chr10-5000000	chr10	5000000	5025000	+	1.07779937393237
chr10-5025000	chr10	5025000	5050000	+	1.42609327860577
chr10-5050000	chr10	5050000	5075000	+	1.57869868143628
chr10-5075000	chr10	5075000	5100000	+	1.63179039028475
chr10-5100000	chr10	5100000	5125000	+	1.60114203347235
chr10-5125000	chr10	5125000	5150000	+	1.60505816742834
chr10-5150000	chr10	5150000	5175000	+	1.64347221361152
chr10-5175000	chr10	5175000	5200000	+	1.6577834064204
chr10-5200000	chr10	5200000	5225000	+	1.65046458509194
chr10-5225000	chr10	5225000	5250000	+	1.65970920072111
chr10-5250000	chr10	5250000	5275000	+	1.65533909169347
chr10-5275000	chr10	5275000	5300000	+	1.63242060956926
chr10-5300000	chr10	5300000	5325000	+	1.66516714857562
chr10-5325000	chr10	5325000	5350000	+	1.64600049102356
chr10-5350000	chr10	5350000	5375000	+	1.65239995208716
chr10-5375000	chr10	5375000	5400000	+	1.69537500960677
chr10-5400000	chr10	5400000	5425000	+	1.70129308844141
chr10-5425000	chr10	5425000	5450000	+	1.71092946600447
chr10-5450000	chr10	5450000	5475000	+	1.70117249362198
chr10-5475000	chr10	5475000	5500000	+	1.69522995786953
chr10-5500000	chr10	5500000	5525000	+	1.69205801151082
chr10-5525000	chr10	5525000	5550000	+	1.70021923506471
chr10-5550000	chr10	5550000	5575000	+	1.61371356570083
chr10-5575000	chr10	5575000	5600000	+	1.30988953713855
chr10-5600000	chr10	5600000	5625000	+	0.962055273584003
chr10-5625000	chr10	5625000	5650000	+	0.514129111435691
chr10-5650000	chr10	5650000	5675000	+	0.109494185770164
chr10-5675000	chr10	5675000	5700000	+	-0.155552329491387
chr10-5700000	chr10	5700000	5725000	+	-0.268141301629104
chr10-5725000	chr10	5725000	5750000	+	-0.241724632013632
chr10-5750000	chr10	5750000	5775000	+	0.0162344259044618
chr10-5775000	chr10	5775000	5800000	+	0.8742961376063
chr10-5800000	chr10	5800000	5825000	+	1.27431547388533
chr10-5825000	chr10	5825000	5850000	+	1.11597120216372
chr10-5850000	chr10	5850000	5875000	+	0.841788829515177
chr10-5875000	chr10	5875000	5900000	+	0.972802682321993
chr10-5900000	chr10	5900000	5925000	+	0.994497551156752
chr10-5925000	chr10	5925000	5950000	+	0.383036531733331
chr10-5950000	chr10	5950000	5975000	+	-0.323227370865195
chr10-5975000	chr10	5975000	6000000	+	-0.501751561824056
chr10-6000000	chr10	6000000	6025000	+	-0.403018233991014
chr10-6025000	chr10	6025000	6050000	+	-0.260278553070257
chr10-6050000	chr10	6050000	6075000	+	-0.48572800909831
chr10-6075000	chr10	6075000	6100000	+	-0.724240509858333
chr10-6100000	chr10	6100000	6125000	+	-0.792147018455942
chr10-6125000	chr10	6125000	6150000	+	-0.821953437523198
chr10-6150000	chr10	6150000	6175000	+	-0.806776128737274
chr10-6175000	chr10	6175000	6200000	+	-0.819388390090988
