chr1	x1	x2	chr2	y1	y2	chr1_chr	chr1_start	chr1_end	chr1_gene_id	chr1_idk	chr1_strand	chr1_gene_name	chr2_chr	chr2_start	chr2_end	chr2_gene_id	chr2_idk	chr2_strand	chr2_gene_name
chr14	12550000	12575000	chr14	13900000	13925000														
chr8	5275000	5300000	chr8	8650000	8675000								chr8	8660492	8661992	13642	0	-	Efnb2
chr8	13500000	13525000	chr8	15000000	15025000								chr8	15010274	15011774	74901	0	+	Kbtbd11
chr14	93700000	93725000	chr14	93850000	93875000														
chr8	99600000	99625000	chr8	100750000	100775000														
chr14	24475000	24500000	chr14	25650000	25675000	chr14	24486308	24487808	218832	0	-	Polr3a							
chr14	24475000	24500000	chr14	25650000	25675000	chr14	24486374	24487874	20088	0	+	Rps24							
chr14	93025000	93050000	chr14	93875000	93900000								chr14	93889929	93891429	211712	0	-	Pcdh9
chr14	14875000	14900000	chr14	15425000	15450000								chr14	15436872	15438372	77981	0	+	B230110C06Rik
chr14	14875000	14900000	chr14	15425000	15450000								chr14	15438237	15439737	218763	0	-	Lrrc3b
chr14	14975000	15000000	chr14	16200000	16225000														
chr14	15125000	15150000	chr14	16200000	16225000														
chr14	101925000	101950000	chr14	102775000	102800000														
chr14	14975000	15000000	chr14	16375000	16400000														
chr8	110775000	110800000	chr8	111450000	111475000														
chr9	99450000	99475000	chr9	99650000	99675000	chr9	99469670	99471170	69797	0	+	1600029I14Rik							
chr9	99450000	99475000	chr9	99650000	99675000	chr9	99450724	99452224	623534	0	+	Nme9							
chr14	20375000	20400000	chr14	21750000	21775000	chr14	20388160	20389660	108671	0	-	Dnajc9	chr14	21749780	21751280	67630	0	+	Samd8
chr14	20375000	20400000	chr14	21750000	21775000	chr14	20388160	20389660	108671	0	-	Dnajc9	chr14	21750431	21751931	27389	0	-	Dusp13b
chr14	20375000	20400000	chr14	21750000	21775000	chr14	20392884	20394384	66242	0	-	Mrps16	chr14	21749780	21751280	67630	0	+	Samd8
chr14	20375000	20400000	chr14	21750000	21775000	chr14	20392884	20394384	66242	0	-	Mrps16	chr14	21750431	21751931	27389	0	-	Dusp13b
chr11	102000000	102025000	chr11	102425000	102450000								chr11	102429564	102431064	14824	0	+	Grn
chr11	102000000	102025000	chr11	102425000	102450000								chr11	102446932	102448432	217219	0	-	Fam171a2
chr11	17675000	17700000	chr11	17850000	17875000														
chr11	61175000	61200000	chr11	61600000	61625000	chr11	61174305	61175805	216825	0	-	Usp22							
chr11	60550000	60575000	chr11	60675000	60700000								chr11	60698972	60700472	16897	0	+	Llgl1
chr11	36525000	36550000	chr11	36675000	36700000														
chr9	99825000	99850000	chr9	100625000	100650000														
chr9	15475000	15500000	chr9	18275000	18300000	chr9	15492681	15494181	170748	0	+	Smco4	chr9	18291374	18292874	66917	0	+	Chordc1
chr9	86550000	86575000	chr9	87025000	87050000	chr9	86571092	86572592	109785	0	-	Pgm3							
chr9	86550000	86575000	chr9	87025000	87050000	chr9	86571240	86572740	69519	0	+	Rwdd2a							
chr9	13875000	13900000	chr9	14675000	14700000														
chr9	100775000	100800000	chr9	101150000	101175000														
chr9	20450000	20475000	chr9	20725000	20750000	chr9	20459412	20460912	22688	0	-	Zfp26	chr9	20745599	20747099	244723	0	-	Olfm2
chr8	117625000	117650000	chr8	119375000	119400000								chr8	119394127	119395627	56690	0	+	Mlycd
chr9	33250000	33275000	chr9	33750000	33775000														
chr9	21600000	21625000	chr9	21850000	21875000	chr9	21607577	21609077	666043	0	-	Gm7904	chr9	21851885	21853385	319899	0	-	Dock6
chr9	21600000	21625000	chr9	21850000	21875000	chr9	21612826	21614326	100316714	0	-	Mir1946b	chr9	21851885	21853385	319899	0	-	Dock6
chr9	21600000	21625000	chr9	21850000	21875000	chr9	21615418	21616918	20586	0	+	Smarca4	chr9	21851885	21853385	319899	0	-	Dock6
chr14	11150000	11175000	chr14	12275000	12300000	chr14	11161285	11162785	14198	0	-	Fhit	chr14	12283225	12284725	218734	0	+	Cep15
chr14	14700000	14725000	chr14	16200000	16225000	chr14	14701528	14703028	218756	0	+	Slc4a7							
chr8	54500000	54525000	chr8	54925000	54950000														
chr10	19575000	19600000	chr10	20300000	20325000	chr10	19591198	19592698	15979	0	+	Ifngr1	chr10	20311718	20313218	72567	0	+	Bclaf1
chr8	63875000	63900000	chr8	64525000	64550000														
chr7	38050000	38075000	chr7	38250000	38275000								chr7	38270673	38272173	66161	0	-	Pop4
chr7	28475000	28500000	chr7	28700000	28725000	chr7	28496190	28497690	70001	0	+	1700028B04Rik	chr7	28716053	28717553	50760	0	+	Fbxo17
chr6	7825000	7850000	chr6	13050000	13075000	chr6	7844091	7845591	94192	0	+	C1galt1	chr6	13069008	13070508	71900	0	+	Tmem106b
chr6	24525000	24550000	chr6	25800000	25825000	chr6	24527263	24528763	68202	0	-	Ndufa5	chr6	25808496	25809996	101185	0	-	Pot1a
chr6	24525000	24550000	chr6	25800000	25825000	chr6	24527393	24528893	78910	0	+	Asb15	chr6	25808496	25809996	101185	0	-	Pot1a
chr6	3475000	3500000	chr6	4900000	4925000	chr6	3497548	3499048	101202	0	-	Hepacam2	chr6	4902166	4903666	243725	0	+	Ppp1r9a
chr6	3475000	3500000	chr6	4900000	4925000	chr6	3497631	3499131	73288	0	+	Vps50	chr6	4902166	4903666	243725	0	+	Ppp1r9a
chr6	3625000	3650000	chr6	5375000	5400000								chr6	5382635	5384135	65255	0	+	Asb4
chr6	93800000	93825000	chr6	94675000	94700000								chr6	94699408	94700908	16206	0	-	Lrig1
chr6	61375000	61400000	chr6	64625000	64650000														
chr6	23450000	23475000	chr6	24625000	24650000														
chr6	55375000	55400000	chr6	55925000	55950000	chr6	55375544	55377044	14602	0	+	Ghrhr							
chr6	55375000	55400000	chr6	55925000	55950000	chr6	55396136	55397636	330324	0	+	6430584L05Rik							
chr6	90800000	90825000	chr6	91350000	91375000														
chr11	109650000	109675000	chr11	109975000	110000000	chr11	109648654	109650154	19084	0	+	Prkar1a	chr11	109995095	109996595	27404	0	-	Abca8b
chr6	104000000	104025000	chr6	104925000	104950000														
chr6	18900000	18925000	chr6	19925000	19950000														
chr6	50100000	50125000	chr6	50525000	50550000	chr6	50109490	50110990	56524	0	+	Pals2							
chr7	29075000	29100000	chr7	29525000	29550000	chr7	29082944	29084444	100316710	0	-	Mir1963							
chr8	83100000	83125000	chr8	83450000	83475000								chr8	83457641	83459141	56367	0	-	Scoc
chr7	138825000	138850000	chr7	139200000	139225000	chr7	138845328	138846828	52432	0	+	Ppp2r2d	chr7	139212237	139213737	76612	0	+	Lrrc27
chr7	138825000	138850000	chr7	139200000	139225000	chr7	138845328	138846828	52432	0	+	Ppp2r2d	chr7	139212557	139214057	57740	0	-	Stk32c
chr7	138825000	138850000	chr7	139200000	139225000	chr7	138845523	138847023	69546	0	-	Mapk1ip1	chr7	139212237	139213737	76612	0	+	Lrrc27
chr7	138825000	138850000	chr7	139200000	139225000	chr7	138845523	138847023	69546	0	-	Mapk1ip1	chr7	139212557	139214057	57740	0	-	Stk32c
chr7	66425000	66450000	chr7	66825000	66850000	chr7	66426767	66428267	56847	0	-	Aldh1a3	chr7	66838984	66840484	233332	0	+	Adamts17
chr8	124375000	124400000	chr8	124675000	124700000														
chr8	115375000	115400000	chr8	115675000	115700000														
chr10	81625000	81650000	chr10	83525000	83550000	chr10	81627047	81628547	50721	0	-	Sirt6	chr10	83533390	83534890	216188	0	-	Aldh1l2
chr10	81625000	81650000	chr10	83525000	83550000	chr10	81627047	81628547	50721	0	-	Sirt6	chr10	83543001	83544501	319277	0	+	Washc4
chr10	81625000	81650000	chr10	83525000	83550000	chr10	81627789	81629289	70615	0	+	Ankrd24	chr10	83533390	83534890	216188	0	-	Aldh1l2
chr10	81625000	81650000	chr10	83525000	83550000	chr10	81627789	81629289	70615	0	+	Ankrd24	chr10	83543001	83544501	319277	0	+	Washc4
chr10	81625000	81650000	chr10	83525000	83550000	chr10	81648308	81649808	100233208	0	+	Gm10778	chr10	83533390	83534890	216188	0	-	Aldh1l2
chr10	81625000	81650000	chr10	83525000	83550000	chr10	81648308	81649808	100233208	0	+	Gm10778	chr10	83543001	83544501	319277	0	+	Washc4
chr10	4425000	4450000	chr10	5800000	5825000	chr10	4431638	4433138	66084	0	-	Rmnd1	chr10	5804850	5806350	67141	0	-	Fbxo5
chr10	4425000	4450000	chr10	5800000	5825000	chr10	4431638	4433138	66084	0	-	Rmnd1	chr10	5823160	5824660	108853	0	-	Mtrf1l
chr10	4425000	4450000	chr10	5800000	5825000	chr10	4431716	4433216	73419	0	+	Armt1	chr10	5804850	5806350	67141	0	-	Fbxo5
chr10	4425000	4450000	chr10	5800000	5825000	chr10	4431716	4433216	73419	0	+	Armt1	chr10	5823160	5824660	108853	0	-	Mtrf1l
chr10	59400000	59425000	chr10	60025000	60050000	chr10	59402909	59404409	69836	0	+	Pla2g12b							
chr10	96100000	96125000	chr10	96900000	96925000														
chr10	16625000	16650000	chr10	17700000	17725000								chr10	17722467	17723967	17684	0	+	Cited2
chr10	5850000	5875000	chr10	6675000	6700000														
chr10	49350000	49375000	chr10	50125000	50150000														
chr10	111300000	111325000	chr10	111925000	111950000														
chr10	40650000	40675000	chr10	40950000	40975000														
chr10	96200000	96225000	chr10	97325000	97350000														
chr7	6150000	6175000	chr7	17050000	17075000	chr7	6155247	6156747	67109	0	-	Zfp787	chr7	17061677	17063177	53417	0	-	Hif3a
chr7	6150000	6175000	chr7	17050000	17075000	chr7	6155247	6156747	67109	0	-	Zfp787	chr7	17073289	17074789	26436	0	+	Psg16
chr7	6150000	6175000	chr7	17050000	17075000	chr7	6171475	6172975	72667	0	+	Zfp444	chr7	17061677	17063177	53417	0	-	Hif3a
chr7	6150000	6175000	chr7	17050000	17075000	chr7	6171475	6172975	72667	0	+	Zfp444	chr7	17073289	17074789	26436	0	+	Psg16
chr7	75125000	75150000	chr7	75875000	75900000														
chr7	138850000	138875000	chr7	139525000	139550000														
chr7	29100000	29125000	chr7	29575000	29600000	chr7	29124429	29125929	20190	0	-	Ryr1							
chr11	60550000	60575000	chr11	60875000	60900000								chr11	60878522	60880022	216821	0	-	Tmem11
chr16	55825000	55850000	chr16	56700000	56725000	chr16	55838149	55839649	80859	0	-	Nfkbiz	chr16	56716700	56718200	21787	0	-	Tfg
chr11	113175000	113200000	chr11	113775000	113800000														
chr1	178125000	178150000	chr1	179125000	179150000														
chr1	58750000	58775000	chr1	59150000	59175000								chr1	59162639	59164139	227157	0	-	Mpp4
chr1	18975000	19000000	chr1	19175000	19200000														
chr1	137525000	137550000	chr1	138025000	138050000														
chr1	24725000	24750000	chr1	25075000	25100000														
chr17	63850000	63875000	chr17	65775000	65800000	chr17	63862311	63863811	14158	0	+	Fer	chr17	65781822	65783322	70351	0	+	Ppp4r1
chr1	58750000	58775000	chr1	59625000	59650000														
chr17	10325000	10350000	chr17	11600000	11625000	chr17	10323851	10325351	76634	0	+	1700110C19Rik							
chr17	78825000	78850000	chr17	79575000	79600000	chr17	78834614	78836114	320473	0	-	Heatr5b							
chr17	78825000	78850000	chr17	79575000	79600000	chr17	78834816	78836316	53951	0	+	Gpatch11							
chr17	31125000	31150000	chr17	31650000	31675000	chr17	31143532	31145032	21785	0	-	Tff2	chr17	31658142	31659642	108121	0	-	U2af1
chr17	31125000	31150000	chr17	31650000	31675000	chr17	31128896	31130396	21786	0	-	Tff3	chr17	31658142	31659642	108121	0	-	U2af1
chr17	36250000	36275000	chr17	36925000	36950000	chr17	36271497	36272997	79263	0	-	Trim39	chr17	36942167	36943667	386454	0	+	Rnf39
chr17	36250000	36275000	chr17	36925000	36950000	chr17	36257319	36258819	67676	0	-	Rpp21	chr17	36942167	36943667	386454	0	+	Rnf39
chr17	32200000	32225000	chr17	32475000	32500000														
chr17	89650000	89675000	chr17	90225000	90250000														
chr16	11400000	11425000	chr16	13100000	13125000								chr16	13108933	13110433	50505	0	+	Ercc4
chr17	10325000	10350000	chr17	11950000	11975000	chr17	10323851	10325351	76634	0	+	1700110C19Rik							
chr1	163400000	163425000	chr1	163900000	163925000	chr1	163402919	163404419	98376	0	-	Gorab							
chr1	151775000	151800000	chr1	153425000	153450000								chr1	153424411	153425911	71836	0	+	Shcbp1l
chr18	57650000	57675000	chr18	57875000	57900000								chr18	57877927	57879427	20496	0	+	Slc12a2
chr19	28000000	28025000	chr19	29800000	29825000	chr19	28010416	28011916	19726	0	-	Rfx3	chr19	29805239	29806739	240613	0	-	Brd10
chr19	28000000	28025000	chr19	29800000	29825000	chr19	28010416	28011916	19726	0	-	Rfx3	chr19	29812224	29813724	240614	0	-	Ranbp6
chr19	53375000	53400000	chr19	53925000	53950000	chr19	53389828	53391328	76479	0	-	Smndc1	chr19	53943555	53945055	56392	0	+	Shoc2
chr19	53375000	53400000	chr19	53925000	53950000	chr19	53389828	53391328	76479	0	-	Smndc1	chr19	53943877	53945377	100503572	0	-	Bbip1
chr19	36325000	36350000	chr19	36550000	36575000	chr19	36347558	36349058	76073	0	+	Pcgf5	chr19	36553888	36555388	226098	0	+	Hectd2
chr19	41100000	41125000	chr19	41475000	41500000								chr19	41481886	41483386	212391	0	+	Lcor
chr6	56800000	56825000	chr6	57675000	57700000								chr6	57691328	57692828	66459	0	-	Pyurf
chr19	27225000	27250000	chr19	27400000	27425000														
chr19	46575000	46600000	chr19	46850000	46875000	chr19	46598333	46599833	226178	0	+	Wbp1l							
chr19	21025000	21050000	chr19	21350000	21375000														
chr19	21575000	21600000	chr19	21725000	21750000														
chr18	74200000	74225000	chr18	75000000	75025000	chr18	74207068	74208568	66468	0	-	Ska1	chr18	75018030	75019530	69190	0	+	Dym
chr18	74200000	74225000	chr18	75000000	75025000	chr18	74207068	74208568	66468	0	-	Ska1	chr18	75005117	75006617	407819	0	+	BC031181
chr18	74200000	74225000	chr18	75000000	75025000	chr18	74215373	74216873	74322	0	+	Cxxc1	chr18	75018030	75019530	69190	0	+	Dym
chr18	74200000	74225000	chr18	75000000	75025000	chr18	74215373	74216873	74322	0	+	Cxxc1	chr18	75005117	75006617	407819	0	+	BC031181
chr18	68925000	68950000	chr18	69500000	69525000														
chr18	7600000	7625000	chr18	7875000	7900000														
chr18	22650000	22675000	chr18	23125000	23150000														
chr18	52950000	52975000	chr18	53450000	53475000								chr18	53463765	53465265	225518	0	+	Prdm6
chr18	64725000	64750000	chr18	65000000	65025000														
chr16	19725000	19750000	chr16	20275000	20300000														
chr11	41425000	41450000	chr11	42150000	42175000														
chr16	39100000	39125000	chr16	40975000	41000000														
chr16	81200000	81225000	chr16	81600000	81625000	chr16	81199946	81201446	17968	0	+	Ncam2							
chr12	29275000	29300000	chr12	29850000	29875000														
chr12	17350000	17375000	chr12	17775000	17800000	chr12	17354641	17356141	100526470	0	+	Mir3066							
chr12	46625000	46650000	chr12	47150000	47175000														
chr12	102500000	102525000	chr12	102900000	102925000								chr12	102898565	102900065	75483	0	+	Cox8c
chr12	89550000	89575000	chr12	90125000	90150000														
chr13	91900000	91925000	chr13	92725000	92750000														
chr12	59200000	59225000	chr12	65050000	65075000	chr12	59218975	59220475	70611	0	-	Fbxo33	chr12	65073257	65074757	30795	0	-	Fkbp3
chr12	59200000	59225000	chr12	65050000	65075000	chr12	59218975	59220475	70611	0	-	Fbxo33	chr12	65074852	65076352	104806	0	+	Fancm
chr13	17675000	17700000	chr13	17925000	17950000	chr13	17694019	17695519	192136	0	-	Sugct	chr13	17943489	17944989	56044	0	-	Rala
chr13	17675000	17700000	chr13	17925000	17950000	chr13	17694441	17695941	66308	0	+	Mplkip	chr13	17943489	17944989	56044	0	-	Rala
chr13	21725000	21750000	chr13	23525000	23550000	chr13	21734313	21735813	319159	0	+	H4c11	chr13	23530299	23531799	69386	0	+	H4c8
chr13	21725000	21750000	chr13	23525000	23550000	chr13	21734313	21735813	319159	0	+	H4c11	chr13	23533155	23534655	319173	0	+	H2ac10
chr13	21725000	21750000	chr13	23525000	23550000	chr13	21734313	21735813	319159	0	+	H4c11	chr13	23534671	23536171	97908	0	+	H3c8
chr13	21725000	21750000	chr13	23525000	23550000	chr13	21734313	21735813	319159	0	+	H4c11	chr13	23542642	23544142	319182	0	-	H2bc9
chr13	21725000	21750000	chr13	23525000	23550000	chr13	21734313	21735813	319159	0	+	H4c11	chr13	23543301	23544801	260423	0	+	H3c7
chr13	21725000	21750000	chr13	23525000	23550000	chr13	21749755	21751255	319160	0	-	H4c12	chr13	23530299	23531799	69386	0	+	H4c8
chr13	21725000	21750000	chr13	23525000	23550000	chr13	21749755	21751255	319160	0	-	H4c12	chr13	23533155	23534655	319173	0	+	H2ac10
chr13	21725000	21750000	chr13	23525000	23550000	chr13	21749755	21751255	319160	0	-	H4c12	chr13	23534671	23536171	97908	0	+	H3c8
chr13	21725000	21750000	chr13	23525000	23550000	chr13	21749755	21751255	319160	0	-	H4c12	chr13	23542642	23544142	319182	0	-	H2bc9
chr13	21725000	21750000	chr13	23525000	23550000	chr13	21749755	21751255	319160	0	-	H4c12	chr13	23543301	23544801	260423	0	+	H3c7
chr13	20600000	20625000	chr13	21025000	21050000														
chr11	21550000	21575000	chr11	23250000	23275000	chr11	21571484	21572984	216560	0	+	Wdpcp	chr11	23255290	23256790	103573	0	+	Xpo1
chr11	21550000	21575000	chr11	23250000	23275000	chr11	21571617	21573117	17449	0	-	Mdh1	chr11	23255290	23256790	103573	0	+	Xpo1
chr11	36225000	36250000	chr11	40575000	40600000														
chr11	69075000	69100000	chr11	70650000	70675000	chr11	69087739	69089239	22318	0	+	Vamp2	chr11	70653894	70655394	18643	0	-	Pfn1
chr11	69075000	69100000	chr11	70650000	70675000	chr11	69087739	69089239	22318	0	+	Vamp2	chr11	70656451	70657951	13808	0	+	Eno3
chr11	69075000	69100000	chr11	70650000	70675000	chr11	69087739	69089239	22318	0	+	Vamp2	chr11	70668666	70670166	216873	0	-	Spag7
chr11	69075000	69100000	chr11	70650000	70675000	chr11	69094466	69095966	18626	0	+	Per1	chr11	70653894	70655394	18643	0	-	Pfn1
chr11	69075000	69100000	chr11	70650000	70675000	chr11	69094466	69095966	18626	0	+	Per1	chr11	70656451	70657951	13808	0	+	Eno3
chr11	69075000	69100000	chr11	70650000	70675000	chr11	69094466	69095966	18626	0	+	Per1	chr11	70668666	70670166	216873	0	-	Spag7
chr11	21650000	21675000	chr11	22600000	22625000														
chr13	111475000	111500000	chr13	112250000	112275000														
chr12	69175000	69200000	chr12	69575000	69600000	chr12	69183333	69184833	66483	0	-	Rpl36al	chr12	69582360	69583860	207965	0	-	Vcpkmt
chr12	69175000	69200000	chr12	69575000	69600000	chr12	69183406	69184906	217664	0	+	Mgat2	chr12	69582360	69583860	207965	0	-	Vcpkmt
chr12	69175000	69200000	chr12	69575000	69600000	chr12	69196460	69197960	414085	0	+	9330151L19Rik	chr12	69582360	69583860	207965	0	-	Vcpkmt
chr12	78050000	78075000	chr12	78825000	78850000														
chr12	31900000	31925000	chr12	35050000	35075000														
chr16	40075000	40100000	chr16	40950000	40975000														
chr16	75750000	75775000	chr16	76200000	76225000	chr16	75766354	75767854	110920	0	-	Hspa13							
chr16	13150000	13175000	chr16	13600000	13625000														
chr16	41500000	41525000	chr16	42100000	42125000														
chr16	49500000	49525000	chr16	49675000	49700000								chr16	49698482	49699982	73916	0	+	Ift57
chr16	37675000	37700000	chr16	37925000	37950000														
chr16	5900000	5925000	chr16	6475000	6500000														
chr16	44725000	44750000	chr16	45150000	45175000	chr16	44723550	44725050	212547	0	+	Nepro	chr16	45157956	45159456	74102	0	-	Slc35a5
chr16	44725000	44750000	chr16	45150000	45175000	chr16	44723550	44725050	212547	0	+	Nepro	chr16	45158034	45159534	67841	0	+	Atg3
chr16	44725000	44750000	chr16	45150000	45175000	chr16	44745613	44747113	66067	0	-	Gtpbp8	chr16	45157956	45159456	74102	0	-	Slc35a5
chr16	44725000	44750000	chr16	45150000	45175000	chr16	44745613	44747113	66067	0	-	Gtpbp8	chr16	45158034	45159534	67841	0	+	Atg3
chr15	21875000	21900000	chr15	23475000	23500000														
chr15	3575000	3600000	chr15	5075000	5100000	chr15	3582742	3584242	14600	0	-	Ghr							
chr15	58925000	58950000	chr15	59650000	59675000	chr15	58932988	58934488	69694	0	-	Tatdn1							
chr15	32425000	32450000	chr15	32700000	32725000														
chr15	41975000	42000000	chr15	42900000	42925000														
chr12	59000000	59025000	chr12	69175000	69200000	chr12	59011267	59012767	20334	0	-	Sec23a	chr12	69183333	69184833	66483	0	-	Rpl36al
chr12	59000000	59025000	chr12	69175000	69200000	chr12	59011267	59012767	20334	0	-	Sec23a	chr12	69183406	69184906	217664	0	+	Mgat2
chr12	59000000	59025000	chr12	69175000	69200000	chr12	59011267	59012767	20334	0	-	Sec23a	chr12	69196460	69197960	414085	0	+	9330151L19Rik
chr12	59000000	59025000	chr12	69175000	69200000	chr12	59012642	59014142	66603	0	+	Gemin2	chr12	69183333	69184833	66483	0	-	Rpl36al
chr12	59000000	59025000	chr12	69175000	69200000	chr12	59012642	59014142	66603	0	+	Gemin2	chr12	69183406	69184906	217664	0	+	Mgat2
chr12	59000000	59025000	chr12	69175000	69200000	chr12	59012642	59014142	66603	0	+	Gemin2	chr12	69196460	69197960	414085	0	+	9330151L19Rik
chr12	9025000	9050000	chr12	11250000	11275000	chr12	9029246	9030746	75516	0	+	Ttc32	chr12	11265051	11266551	209334	0	-	Gen1
chr12	9025000	9050000	chr12	11250000	11275000	chr12	9029246	9030746	75516	0	+	Ttc32	chr12	11265135	11266635	67241	0	+	Smc6
chr16	21475000	21500000	chr16	22025000	22050000														
chr6	125850000	125875000	chr6	126375000	126400000														
chr16	75775000	75800000	chr16	76175000	76200000														
chr6	28700000	28725000	chr6	28800000	28825000														
chr12	8300000	8325000	chr12	9025000	9050000	chr12	8301204	8302704	238057	0	-	Gdf7	chr12	9029246	9030746	75516	0	+	Ttc32
chr12	8300000	8325000	chr12	9025000	9050000	chr12	8312681	8314181	58240	0	+	Hs1bp3	chr12	9029246	9030746	75516	0	+	Ttc32
chr12	52900000	52925000	chr12	54525000	54550000														
chr12	99575000	99600000	chr12	100075000	100100000														
chr12	24550000	24575000	chr12	24950000	24975000	chr12	24571532	24573032	195733	0	+	Grhl1	chr12	24974174	24975674	77480	0	+	Kidins220
chr12	46625000	46650000	chr12	47200000	47225000														
chr12	34900000	34925000	chr12	35150000	35175000	chr12	34916345	34917845	79221	0	-	Hdac9							
chr12	38800000	38825000	chr12	40450000	40475000														
chr12	89550000	89575000	chr12	90050000	90075000														
chr12	32750000	32775000	chr12	32875000	32900000														
chr13	78200000	78225000	chr13	83700000	83725000	chr13	78199007	78200507	13865	0	-	Nr2f1	chr13	83720630	83722130	320203	0	+	Mir9-2hg
chr13	100100000	100125000	chr13	103750000	103775000	chr13	100103320	100104820	544971	0	-	Bdp1	chr13	103773858	103775358	218543	0	-	Srek1
chr13	100100000	100125000	chr13	103750000	103775000	chr13	100107261	100108761	20365	0	+	Serf1	chr13	103773858	103775358	218543	0	-	Srek1
chr13	100100000	100125000	chr13	103750000	103775000	chr13	100124101	100125601	20595	0	+	Smn1	chr13	103773858	103775358	218543	0	-	Srek1
chr13	3625000	3650000	chr13	5850000	5875000	chr13	3633281	3634781	142688	0	+	Asb13	chr13	5857342	5858842	71867	0	-	1700016G22Rik
chr13	3625000	3650000	chr13	5850000	5875000	chr13	3633281	3634781	142688	0	+	Asb13	chr13	5860731	5862231	23849	0	+	Klf6
chr13	103750000	103775000	chr13	105025000	105050000	chr13	103773858	103775358	218543	0	-	Srek1							
chr13	85300000	85325000	chr13	86025000	86050000								chr13	86046154	86047654	12867	0	-	Cox7c
chr12	38625000	38650000	chr12	38750000	38775000														
chr15	53325000	53350000	chr15	53775000	53800000	chr15	53345409	53346909	14042	0	-	Ext1							
chr15	95025000	95050000	chr15	95200000	95225000														
chr15	41150000	41175000	chr15	41825000	41850000	chr15	41172736	41174236	100418302	0	+	4930555K19Rik							
