chr1	x1	x2	chr2	y1	y2	chr1_chr	chr1_start	chr1_end	chr1_gene_id	chr1_idk	chr1_strand	chr1_gene_name	chr2_chr	chr2_start	chr2_end	chr2_gene_id	chr2_idk	chr2_strand	chr2_gene_name
chr15	35275000	35300000	chr15	35925000	35950000	chr15	35295347	35296847	107587	0	+	Osr2	chr15	35937496	35938996	12864	0	-	Cox6c
chr4	123575000	123600000	chr4	123875000	123900000														
chr4	141375000	141400000	chr4	141825000	141850000	chr4	141397974	141399474	12733	0	-	Clcnka	chr4	141843570	141845070	69139	0	+	Ctrcos
chr4	141375000	141400000	chr4	141825000	141850000	chr4	141397974	141399474	12733	0	-	Clcnka	chr4	141845513	141847013	13706	0	-	Cela2a
chr4	141375000	141400000	chr4	141825000	141850000	chr4	141397974	141399474	12733	0	-	Clcnka	chr4	141845609	141847109	76701	0	-	Ctrc
chr4	106600000	106625000	chr4	107325000	107350000	chr4	106616491	106617991	242602	0	-	Cimap2							
chr4	106600000	106625000	chr4	107325000	107350000	chr4	106621681	106623181	230576	0	+	Ttc22							
chr4	69175000	69200000	chr4	69750000	69775000														
chr4	74550000	74575000	chr4	76050000	76075000														
chr4	127175000	127200000	chr4	128875000	128900000								chr4	128882829	128884329	67525	0	+	Trim62
chr4	106950000	106975000	chr4	107800000	107825000								chr4	107801118	107802618	16975	0	+	Lrp8
chr4	106950000	106975000	chr4	107800000	107825000								chr4	107822272	107823772	619295	0	-	Lrp8os2
chr4	85400000	85425000	chr4	86525000	86550000														
chr4	84875000	84900000	chr4	86550000	86575000	chr4	84883558	84885058	338349	0	+	Cntln	chr4	86557578	86559078	75811	0	-	Saxo1
chr4	84875000	84900000	chr4	86550000	86575000	chr4	84883558	84885058	338349	0	+	Cntln	chr4	86557695	86559195	74888	0	+	Saxo1os
chr4	84875000	84900000	chr4	86550000	86575000	chr4	84883558	84885058	338349	0	+	Cntln	chr4	86574917	86576417	68441	0	+	Rraga
chr4	102725000	102750000	chr4	103350000	103375000	chr4	102740546	102742046	73094	0	+	Sgip1							
chr4	11475000	11500000	chr4	15950000	15975000	chr4	11485207	11486707	66185	0	+	Virma	chr4	15957174	15958674	27354	0	+	Nbn
chr5	88775000	88800000	chr5	89050000	89075000														
chr5	92300000	92325000	chr5	92400000	92425000	chr5	92309729	92311229	231452	0	-	Sdad1							
chr5	88775000	88800000	chr5	89225000	89250000														
