stripe_id	chr	pos1	pos2	chr2	pos3	pos4	direction_type	source	pval_ctrl	pval_mut	stripiness_ctrl	stripiness_mut	mean_ctrl	mean_mut	stripe_length	stripe_width	anchor_center	logFC	logCPM	F	PValue	FDR	significant_FDR05	significant_FDR10	direction_edgeR	direction	direction_confidence	direction_consistent	effect_category
stripe_6602	chr8	34195001	34225000	chr8	34195001	35050000	3prime	mutant_only	NA	0.093	NA	-3.78782329233383	NA	68153.1585883881	855000	30000	34210000.5	0.0594437911585563	7.63642189150757	8.09108075683744	0.0117700630608532	0.0401653401951615	TRUE	TRUE	up_in_mutant	gained	high	TRUE	minimal
stripe_6603	chr8	34800001	34820000	chr8	34110001	34820000	5prime	shared	0.027	0.028	5.29871281655615	5.29802156777239	168438.99116906	102509.369479921	710000	20000	34810000.5	0.00299878407848235	7.1689521626155	0.0184103506331489	0.893773673969651	0.936860886068017	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_6604	chr8	35155001	35175000	chr8	34810001	35175000	5prime	control_only	0.098	NA	0.233934672763597	NA	191132.68661648	NA	365000	20000	35165000.5	-0.0333151035766754	6.60270353941156	1.38579891086228	0.256439881234882	0.400130898514461	FALSE	FALSE	unchanged	lost	low	TRUE	minimal
stripe_6605	chr8	35165001	35185000	chr8	35165001	36490000	3prime	control_only	0.088	NA	0.572722729915159	NA	72641.8179011453	NA	1325000	20000	35175000.5	-0.00939551382886777	6.81579144359958	0.189157688873504	0.669464728698284	0.780054460201557	FALSE	FALSE	unchanged	lost	low	TRUE	minimal
stripe_6606	chr8	35450001	35470000	chr8	34685001	35470000	5prime	shared	0.031	0.061	5.82106739532488	1.65829473729835	121855.919149683	80178.0154327046	785000	20000	35460000.5	-0.0632723556693	7.05453724939398	8.36484840721399	0.0106644371107031	0.0372194914502805	TRUE	TRUE	down_in_mutant	unchanged	high	NA	minimal
stripe_6607	chr8	35580001	35600000	chr8	35580001	36195000	3prime	shared	0.026	0.0465	7.25301705525921	3.67354210604477	270127.097145154	184146.517055731	615000	20000	35590000.5	-0.012847338101935	6.92912932455474	0.247629679668784	0.625561420782529	0.745154045343895	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_6608	chr8	35705001	35730000	chr8	35705001	36490000	3prime	control_only	0.068	NA	3.62014748504567	NA	87897.7551739707	NA	785000	25000	35717500.5	0.0201651407589721	7.14359829761075	0.925864270375557	0.350347899094559	0.501550660426134	FALSE	FALSE	unchanged	lost	low	FALSE	minimal
stripe_6609	chr8	35915001	35940000	chr8	35915001	36180000	3prime	mutant_only	NA	0.037	NA	-1.10056172051986	NA	373411.24936485	265000	25000	35927500.5	-0.0519595604877899	7.35083246642987	3.59347870463618	0.0763355017066576	0.163792631823155	FALSE	FALSE	unchanged	gained	low	FALSE	minimal
stripe_6610	chr8	36090001	36120000	chr8	35865001	36120000	5prime	mutant_only	NA	0.067	NA	-3.70566162728205	NA	310055.446353009	255000	30000	36105000.5	-0.0793985257458387	7.48153073373658	11.394524783662	0.00388272208794482	0.0172406894640008	TRUE	TRUE	down_in_mutant	gained	low	FALSE	minimal
stripe_6611	chr8	36170001	36195000	chr8	35830001	36195000	5prime	shared	0.029	0.091	1.30943804923262	-3.02316364857301	402524.002774236	223762.537428063	365000	25000	36182500.5	-0.0893443159257906	7.34880060923829	8.58794588680636	0.00985052311971485	0.034990972317132	TRUE	TRUE	down_in_mutant	unchanged	high	NA	minimal
stripe_6612	chr8	36185001	36205000	chr8	36185001	36610000	3prime	shared	0.027	0.059	7.68661124091768	3.63692248340025	261032.244028271	177083.441776875	425000	20000	36195000.5	-0.0147500694853899	6.63454635574083	0.334562368952136	0.571088574647041	0.701114904017878	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_6613	chr8	36330001	36365000	chr8	35810001	36365000	5prime	control_only	0.084	NA	1.78622254481487	NA	109947.305912524	NA	555000	35000	36347500.5	-0.0131911767935483	7.55043834271724	0.461908339918416	0.506509498190952	0.645446028922323	FALSE	FALSE	unchanged	lost	low	TRUE	minimal
stripe_6614	chr8	36345001	36370000	chr8	36345001	36745000	3prime	shared	0.064	0.077	3.2215986554098	2.68268999703369	214991.940610068	160633.785294666	400000	25000	36357500.5	-0.0367749187859033	7.20055530327504	2.08287534725951	0.168374212329927	0.292584273975771	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_6615	chr8	36485001	36520000	chr8	35850001	36520000	5prime	control_only	0.05	NA	-8.79244212038411	NA	280343.84584699	NA	670000	35000	36502500.5	-0.0887272239057789	8.04658717754066	17.425854564829802	7.2486294845831e-4	0.0049563680826403	TRUE	TRUE	down_in_mutant	lost	high	TRUE	minimal
stripe_6616	chr8	36600001	36620000	chr8	36355001	36620000	5prime	control_only	0.053	NA	4.76328955883259	NA	309104.327751142	NA	265000	20000	36610000.5	-0.0905328113611467	6.39043922102308	5.72680801945665	0.0294076863494221	0.080223558875496	FALSE	TRUE	unchanged	lost	high	TRUE	minimal
stripe_6617	chr8	40295001	40315000	chr8	40295001	41410000	3prime	control_only	0.086	NA	0.96218719555266	NA	135198.987463172	NA	1115000	20000	40305000.5	-0.110665268286061	7.0473732258524	14.1923235125978	0.00170191996290217	0.00925819339228922	TRUE	TRUE	down_in_mutant	lost	high	TRUE	minimal
stripe_6618	chr8	41035001	41055000	chr8	40270001	41055000	5prime	control_only	0.074	NA	0.563933776705412	NA	232527.134966966	NA	785000	20000	41045000.5	-0.0258495483729071	7.00131748168838	0.934388476621337	0.348200874718048	0.499336312752282	FALSE	FALSE	unchanged	lost	low	TRUE	minimal
