chr	context	strand	Read	Position	nMethylated	nUnmethylated	nMethylated(+dups)	nUnmethylated(+dups)
chr1	CHH	OB	1	1	700	47233	794	52824
chr1	CHH	OB	1	10	736	47052	829	52589
chr1	CHH	OB	1	100	778	39517	872	44211
chr1	CHH	OB	1	101	549	44879	600	50124
chr1	CHH	OB	1	11	742	47235	841	52798
chr1	CHH	OB	1	12	725	47125	835	52791
chr1	CHH	OB	1	13	704	47268	811	52765
chr1	CHH	OB	1	14	746	46967	861	52517
chr1	CHH	OB	1	15	684	47146	777	52704
chr1	CHH	OB	1	16	794	47097	905	52743
chr1	CHH	OB	1	17	704	47079	805	52648
chr1	CHH	OB	1	18	695	47255	804	52909
chr1	CHH	OB	1	19	693	47228	777	52804
chr1	CHH	OB	1	2	733	47385	835	53073
chr1	CHH	OB	1	20	742	47370	830	53037
chr1	CHH	OB	1	21	698	47593	771	53349
chr1	CHH	OB	1	22	770	47298	885	52914
chr1	CHH	OB	1	23	725	47582	813	53217
chr1	CHH	OB	1	24	756	47251	865	53030
chr1	CHH	OB	1	25	739	47031	827	52558
chr1	CHH	OB	1	26	733	46949	839	52606
chr1	CHH	OB	1	27	679	47003	771	52598
chr1	CHH	OB	1	28	688	47147	773	52815
chr1	CHH	OB	1	29	716	47330	792	52916
chr1	CHH	OB	1	3	691	47284	795	52980
chr1	CHH	OB	1	30	624	47828	706	53628
chr1	CHH	OB	1	31	741	47122	849	52655
chr1	CHH	OB	1	32	754	47319	857	53007
chr1	CHH	OB	1	33	738	47458	832	53159
chr1	CHH	OB	1	34	724	46980	826	52467
chr1	CHH	OB	1	35	749	47465	859	53024
chr1	CHH	OB	1	36	674	47469	789	52956
chr1	CHH	OB	1	37	692	47389	797	53055
chr1	CHH	OB	1	38	694	47090	786	52688
chr1	CHH	OB	1	39	702	47242	800	52943
chr1	CHH	OB	1	4	697	47391	778	53123
chr1	CHH	OB	1	40	696	47367	778	52964
chr1	CHH	OB	1	41	676	47114	755	52675
chr1	CHH	OB	1	42	736	47355	842	52921
chr1	CHH	OB	1	43	695	46878	787	52477
chr1	CHH	OB	1	44	720	46918	804	52609
chr1	CHH	OB	1	45	701	47247	798	52848
chr1	CHH	OB	1	46	708	47629	790	53364
chr1	CHH	OB	1	47	713	47153	803	52796
chr1	CHH	OB	1	48	754	47435	861	53093
chr1	CHH	OB	1	49	653	46986	732	52709
chr1	CHH	OB	1	5	765	47175	877	52870
chr1	CHH	OB	1	50	683	47373	774	52941
chr1	CHH	OB	1	51	679	47362	756	53134
chr1	CHH	OB	1	52	703	47156	804	52772
chr1	CHH	OB	1	53	678	47230	753	53074
chr1	CHH	OB	1	54	673	46868	748	52500
chr1	CHH	OB	1	55	646	47396	728	53093
chr1	CHH	OB	1	56	670	47579	757	53428
chr1	CHH	OB	1	57	719	46935	811	52674
chr1	CHH	OB	1	58	686	47126	764	52769
chr1	CHH	OB	1	59	699	47451	780	53177
chr1	CHH	OB	1	6	697	47148	785	52777
chr1	CHH	OB	1	60	673	47294	760	52914
chr1	CHH	OB	1	61	666	47364	749	53098
chr1	CHH	OB	1	62	667	46922	747	52625
chr1	CHH	OB	1	63	637	47312	720	52967
chr1	CHH	OB	1	64	635	47136	720	52891
chr1	CHH	OB	1	65	673	47110	761	52705
chr1	CHH	OB	1	66	738	47055	837	52550
chr1	CHH	OB	1	67	675	47175	755	52893
chr1	CHH	OB	1	68	713	46877	807	52554
chr1	CHH	OB	1	69	648	47131	723	52805
chr1	CHH	OB	1	7	751	47283	859	52840
chr1	CHH	OB	1	70	698	47251	775	52821
chr1	CHH	OB	1	71	715	46716	812	52239
chr1	CHH	OB	1	72	721	47122	813	52872
chr1	CHH	OB	1	73	684	46782	763	52312
chr1	CHH	OB	1	74	679	47665	757	53464
chr1	CHH	OB	1	75	693	47336	769	52968
chr1	CHH	OB	1	76	726	46924	821	52549
chr1	CHH	OB	1	77	675	46812	762	52350
chr1	CHH	OB	1	78	725	47407	800	52922
chr1	CHH	OB	1	79	649	47323	739	53006
chr1	CHH	OB	1	8	746	47258	846	53029
chr1	CHH	OB	1	80	735	47320	840	52933
chr1	CHH	OB	1	81	657	47039	744	52728
chr1	CHH	OB	1	82	706	46495	788	52109
chr1	CHH	OB	1	83	596	45829	656	51272
chr1	CHH	OB	1	84	666	46557	746	52117
chr1	CHH	OB	1	85	641	45995	717	51562
chr1	CHH	OB	1	86	655	46479	736	52011
chr1	CHH	OB	1	87	601	46291	680	51754
chr1	CHH	OB	1	88	663	46626	752	52155
chr1	CHH	OB	1	89	661	46024	761	51535
chr1	CHH	OB	1	9	688	47076	788	52776
chr1	CHH	OB	1	90	676	46941	742	52461
chr1	CHH	OB	1	91	665	46668	749	52302
chr1	CHH	OB	1	92	711	46900	802	52553
chr1	CHH	OB	1	93	675	45995	759	51671
chr1	CHH	OB	1	94	754	47887	856	53670
chr1	CHH	OB	1	95	619	43729	712	49037
chr1	CHH	OB	1	96	767	47260	839	52986
chr1	CHH	OB	1	97	668	45005	752	50432
chr1	CHH	OB	1	98	808	45157	931	50602
chr1	CHH	OB	1	99	640	41018	728	45780
chr1	CHH	OB	2	1	736	42302	846	47431
chr1	CHH	OB	2	10	828	47178	942	52849
chr1	CHH	OB	2	100	841	46423	1004	51940
chr1	CHH	OB	2	101	815	46313	928	51867
chr1	CHH	OB	2	11	724	46819	822	52339
chr1	CHH	OB	2	12	885	46059	1047	51570
chr1	CHH	OB	2	13	826	46720	940	52298
chr1	CHH	OB	2	14	738	46220	824	51730
chr1	CHH	OB	2	15	830	46295	981	51778
chr1	CHH	OB	2	16	751	46253	839	51839
chr1	CHH	OB	2	17	797	46422	904	52121
chr1	CHH	OB	2	18	950	47134	1104	52753
chr1	CHH	OB	2	19	784	47728	904	53458
chr1	CHH	OB	2	2	742	42936	843	48195
chr1	CHH	OB	2	20	797	46725	912	52237
chr1	CHH	OB	2	21	746	47523	821	53133
chr1	CHH	OB	2	22	859	46511	966	52077
chr1	CHH	OB	2	23	800	46309	939	51744
chr1	CHH	OB	2	24	827	46901	922	52483
chr1	CHH	OB	2	25	874	46985	998	52633
chr1	CHH	OB	2	26	776	46957	894	52597
chr1	CHH	OB	2	27	813	47058	943	52638
chr1	CHH	OB	2	28	759	46951	871	52506
chr1	CHH	OB	2	29	771	47137	872	52686
chr1	CHH	OB	2	3	904	46456	1037	52087
chr1	CHH	OB	2	30	850	47093	949	52766
chr1	CHH	OB	2	31	868	47255	987	52784
chr1	CHH	OB	2	32	844	47521	978	53179
chr1	CHH	OB	2	33	765	47503	852	53148
chr1	CHH	OB	2	34	874	47275	1004	52917
chr1	CHH	OB	2	35	810	47404	923	53043
chr1	CHH	OB	2	36	707	47360	798	53032
chr1	CHH	OB	2	37	918	47579	1044	53340
chr1	CHH	OB	2	38	823	47384	924	52952
chr1	CHH	OB	2	39	796	47103	883	52842
chr1	CHH	OB	2	4	806	52794	916	59010
chr1	CHH	OB	2	40	906	47407	1066	53071
chr1	CHH	OB	2	41	815	47376	921	53023
chr1	CHH	OB	2	42	816	47486	932	53142
chr1	CHH	OB	2	43	868	47355	994	52929
chr1	CHH	OB	2	44	762	47324	861	52912
chr1	CHH	OB	2	45	860	47256	960	52869
chr1	CHH	OB	2	46	872	47429	1005	52986
chr1	CHH	OB	2	47	887	47625	1008	53364
chr1	CHH	OB	2	48	776	47372	868	52975
chr1	CHH	OB	2	49	840	47462	938	53072
chr1	CHH	OB	2	5	850	51650	958	57735
chr1	CHH	OB	2	50	803	47440	918	53062
chr1	CHH	OB	2	51	809	47297	897	52892
chr1	CHH	OB	2	52	878	47318	1024	52997
chr1	CHH	OB	2	53	879	47572	986	53143
chr1	CHH	OB	2	54	779	47190	891	52804
chr1	CHH	OB	2	55	948	47235	1113	52774
chr1	CHH	OB	2	56	864	47495	990	53026
chr1	CHH	OB	2	57	780	47525	903	53174
chr1	CHH	OB	2	58	834	47181	958	52712
chr1	CHH	OB	2	59	774	47162	865	52725
chr1	CHH	OB	2	6	850	48997	997	54809
chr1	CHH	OB	2	60	838	47363	968	53163
chr1	CHH	OB	2	61	838	47530	964	53102
chr1	CHH	OB	2	62	803	47044	931	52548
chr1	CHH	OB	2	63	782	47342	871	53022
chr1	CHH	OB	2	64	845	47171	978	52839
chr1	CHH	OB	2	65	877	47577	1002	53184
chr1	CHH	OB	2	66	813	47124	902	52700
chr1	CHH	OB	2	67	875	47214	1030	52936
chr1	CHH	OB	2	68	781	47349	871	52839
chr1	CHH	OB	2	69	825	47073	937	52541
chr1	CHH	OB	2	7	908	49866	1049	55832
chr1	CHH	OB	2	70	898	47744	1051	53458
chr1	CHH	OB	2	71	790	47258	914	52858
chr1	CHH	OB	2	72	888	47024	1007	52653
chr1	CHH	OB	2	73	863	47131	994	52687
chr1	CHH	OB	2	74	866	46910	977	52458
chr1	CHH	OB	2	75	796	47455	917	53057
chr1	CHH	OB	2	76	847	47573	981	53254
chr1	CHH	OB	2	77	891	47106	1021	52607
chr1	CHH	OB	2	78	783	47015	889	52637
chr1	CHH	OB	2	79	811	47086	935	52626
chr1	CHH	OB	2	8	730	45911	828	51254
chr1	CHH	OB	2	80	943	47169	1083	52753
chr1	CHH	OB	2	81	830	47265	949	52862
chr1	CHH	OB	2	82	914	47156	1085	52797
chr1	CHH	OB	2	83	814	47193	922	52891
chr1	CHH	OB	2	84	829	46914	918	52520
chr1	CHH	OB	2	85	944	47191	1093	52774
chr1	CHH	OB	2	86	864	47199	967	52828
chr1	CHH	OB	2	87	720	47342	817	53146
chr1	CHH	OB	2	88	862	47293	1000	52962
chr1	CHH	OB	2	89	828	46834	930	52479
