chr	context	strand	Read	Position	nMethylated	nUnmethylated	nMethylated(+dups)	nUnmethylated(+dups)
chr1	CHH	OB	1	1	868	55933	975	61968
chr1	CHH	OB	1	10	955	56273	1056	62260
chr1	CHH	OB	1	100	807	46959	898	51957
chr1	CHH	OB	1	101	755	53042	833	58813
chr1	CHH	OB	1	11	862	56256	952	62378
chr1	CHH	OB	1	12	863	56087	968	62333
chr1	CHH	OB	1	13	848	55985	932	61894
chr1	CHH	OB	1	14	853	56052	944	62204
chr1	CHH	OB	1	15	905	55968	1007	62117
chr1	CHH	OB	1	16	811	56203	903	62471
chr1	CHH	OB	1	17	872	56403	979	62639
chr1	CHH	OB	1	18	825	56226	917	62340
chr1	CHH	OB	1	19	807	55796	916	61820
chr1	CHH	OB	1	2	882	56319	987	62408
chr1	CHH	OB	1	20	808	56299	902	62385
chr1	CHH	OB	1	21	857	56042	940	62154
chr1	CHH	OB	1	22	900	55987	996	62105
chr1	CHH	OB	1	23	828	56025	927	62090
chr1	CHH	OB	1	24	860	56297	959	62535
chr1	CHH	OB	1	25	835	56458	922	62526
chr1	CHH	OB	1	26	815	56206	912	62444
chr1	CHH	OB	1	27	839	55996	932	62141
chr1	CHH	OB	1	28	824	56332	934	62521
chr1	CHH	OB	1	29	789	56332	880	62560
chr1	CHH	OB	1	3	879	56493	997	62744
chr1	CHH	OB	1	30	808	56162	902	62344
chr1	CHH	OB	1	31	858	56119	966	62256
chr1	CHH	OB	1	32	827	56349	922	62410
chr1	CHH	OB	1	33	799	56394	898	62632
chr1	CHH	OB	1	34	847	56448	950	62701
chr1	CHH	OB	1	35	830	56364	906	62502
chr1	CHH	OB	1	36	809	56158	916	62419
chr1	CHH	OB	1	37	806	56181	912	62174
chr1	CHH	OB	1	38	791	56526	877	62681
chr1	CHH	OB	1	39	831	55951	928	62162
chr1	CHH	OB	1	4	865	56541	968	62820
chr1	CHH	OB	1	40	789	56204	876	62372
chr1	CHH	OB	1	41	817	56181	924	62375
chr1	CHH	OB	1	42	777	55978	880	62122
chr1	CHH	OB	1	43	794	56308	891	62471
