chr	context	strand	Read	Position	nMethylated	nUnmethylated	nMethylated(+dups)	nUnmethylated(+dups)
chr1	CHH	OB	1	1	914	55510	1076	64651
chr1	CHH	OB	1	10	835	56644	1002	65722
chr1	CHH	OB	1	100	727	55866	837	65064
chr1	CHH	OB	1	101	782	55918	910	64956
chr1	CHH	OB	1	102	720	56397	831	65551
chr1	CHH	OB	1	103	661	56084	767	65225
chr1	CHH	OB	1	104	716	56472	834	65542
chr1	CHH	OB	1	105	701	56358	834	65707
chr1	CHH	OB	1	106	699	55889	817	65169
chr1	CHH	OB	1	107	706	55653	820	64725
chr1	CHH	OB	1	108	708	55737	810	64975
chr1	CHH	OB	1	109	720	55746	834	64861
chr1	CHH	OB	1	11	884	57047	1047	66256
chr1	CHH	OB	1	110	701	55542	821	64559
chr1	CHH	OB	1	111	677	55492	787	64461
chr1	CHH	OB	1	112	752	55286	880	64543
chr1	CHH	OB	1	113	685	55026	793	64080
chr1	CHH	OB	1	114	724	55047	861	64034
chr1	CHH	OB	1	115	684	54849	806	63675
chr1	CHH	OB	1	116	700	55259	789	64208
chr1	CHH	OB	1	117	761	54895	885	64073
chr1	CHH	OB	1	118	756	54583	890	63802
chr1	CHH	OB	1	119	751	54956	886	64093
chr1	CHH	OB	1	12	812	57057	962	66165
chr1	CHH	OB	1	120	709	54710	825	63661
chr1	CHH	OB	1	121	690	54112	796	63119
chr1	CHH	OB	1	122	712	54531	825	63661
chr1	CHH	OB	1	123	695	54345	819	63391
chr1	CHH	OB	1	124	752	54261	881	63119
chr1	CHH	OB	1	125	672	54128	807	63233
chr1	CHH	OB	1	126	692	53947	820	63034
chr1	CHH	OB	1	127	688	53828	814	62765
chr1	CHH	OB	1	128	695	53700	831	62794
chr1	CHH	OB	1	129	665	53469	780	62516
chr1	CHH	OB	1	13	813	56957	971	65931
chr1	CHH	OB	1	130	674	53464	777	62223
chr1	CHH	OB	1	131	680	52940	813	61715
chr1	CHH	OB	1	132	712	53079	825	62023
chr1	CHH	OB	1	133	629	52642	748	61478
chr1	CHH	OB	1	134	645	52909	758	61997
chr1	CHH	OB	1	135	638	51801	746	60421
chr1	CHH	OB	1	136	708	52300	834	61112
chr1	CHH	OB	1	137	646	51497	772	60266
chr1	CHH	OB	1	138	640	51679	748	60475
chr1	CHH	OB	1	139	571	51017	667	59602
chr1	CHH	OB	1	14	847	56764	1002	65997
chr1	CHH	OB	1	140	593	51127	694	59888
chr1	CHH	OB	1	141	594	50782	697	59485
chr1	CHH	OB	1	142	609	50568	712	59175
chr1	CHH	OB	1	143	620	50776	734	59374
chr1	CHH	OB	1	144	612	51326	712	60230
chr1	CHH	OB	1	145	611	49677	719	58365
chr1	CHH	OB	1	146	632	50057	743	58729
chr1	CHH	OB	1	147	643	48463	753	56807
chr1	CHH	OB	1	148	745	47568	867	55826
chr1	CHH	OB	1	149	911	45591	1064	53477
chr1	CHH	OB	1	15	829	57135	990	66341
chr1	CHH	OB	1	150	967	41820	1130	49092
