chr	Boundary	Gap_Score	TAD_Score1	TAD_Score2	Differential	Enriched_In	Type	robust_in_ctrl	robust_in_mut	robustness	shift_distance	shift_distance_kb
chr1	89200000	-0.340410127754503	4.321649609199079	4.309909666943654	Non-Differential	Matrix 2	Non-Differential	TRUE	TRUE	Both	NA	NA
chr1	89225000	-0.5538425525615532	2.7778817582723825	2.8516803567570466	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	119925000	1.3973101572465965	2.1391630178985186	1.7531787732971085	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	146200000	-3.1394791994711415	2.3114639212267853	3.023233517245799	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only	NA	NA
chr3	31775000	1.6124995953192562	2.182193318328063	1.8110256254972223	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr4	66425000	-3.748331545624848	0.56588927791447	1.537720747515391	Differential	Matrix 2	Merge	FALSE	FALSE	Neither	NA	NA
chr4	122425000	-3.40810546759398	1.686960102579558	2.5621335242320935	Shifted	Matrix 2	Shifted	FALSE	FALSE	Neither	1	0.001
chr6	64700000	0.7369713923282976	1.672583360816008	1.4770853597412372	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr7	58875000	-0.8805053345211199	1.544112815727493	1.797662767740728	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	123550000	-1.547787645612109	1.687409257111584	2.092533032452517	Non-Differential	Matrix 2	Non-Differential	TRUE	TRUE	Both	NA	NA
chr8	123575000	9.775481010041256	2.095418900362001	-0.5874561283894313	Shifted	Matrix 1	Shifted	TRUE	FALSE	Control_only	1	0.001
chr8	123600000	-10.871091670902898	0.684139214389185	3.638345443806053	Shifted	Matrix 2	Shifted	TRUE	TRUE	Both	1	0.001
chr9	124225000	-3.3247527800361194	5.957535428327171	6.6576717734699535	NA	Matrix 2	NA	TRUE	TRUE	Both	NA	NA
chr12	60275000	1.2397295807524664	1.530785446469867	1.1759195601432173	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr12	113950000	1.5836358866098537	1.6954896079387738	1.2445286697629394	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr13	119575000	-0.09952130585970152	2.7321531895535203	2.7342245221486485	Non-Differential	Matrix 2	Non-Differential	TRUE	TRUE	Both	NA	NA
chr15	65275000	1.9774945526428016	1.9185280068710109	1.4753118357199535	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr16	26200000	0.2101138665401164	1.6260062530904835	1.5570229523962016	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr17	39825000	-2.5532034217212813	1.056208253690928	1.542561899814506	Differential	Matrix 2	Merge	FALSE	FALSE	Neither	NA	NA
chr17	39850000	-1.5423034576692138	1.7776771038909456	2.0577835742056134	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr19	50550000	0.2547842303110905	1.7380149678461578	1.680181379994781	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
